,"(mm) Precipitation (CHIRPS) at Hambantota, 2007-01-01 to 2025-12-31"
"2010-03-21",12.0365
"2010-03-22",0.8114
"2010-03-23",0
"2010-03-24",0.023
"2010-03-25",0
"2010-03-26",6.4302
"2010-03-27",16.8385
"2010-03-28",0.1545
"2010-03-29",11.7628
"2010-03-30",0.7688
"2010-03-31",0
"2010-04-01",0.5645
"2010-04-02",0
"2010-04-03",0
"2010-04-04",0.2417
"2010-04-05",7.8447
"2010-04-06",3.1895
"2010-04-07",4.1208
"2010-04-08",10.7523
"2010-04-09",1.9477
"2010-04-10",8.1121
"2010-04-11",1.4028
"2010-04-12",1.5231
"2010-04-13",4.8166
"2010-04-14",15.5662
"2010-04-15",0.1165
"2010-04-16",4.8926
"2010-04-17",4.971
"2010-04-18",2.5956
"2010-04-19",5.1005
"2010-04-20",9.6557
"2010-04-21",9.6821
"2010-04-22",12.057
"2010-04-23",14.5183
"2010-04-24",12.4485
"2010-04-25",7.2557
"2010-04-26",9.1983
"2010-04-27",0.0306
"2010-04-28",0
"2010-04-29",4.8147
"2010-04-30",0.8316
"2010-05-01",0
"2010-05-02",13.3914
"2010-05-03",9.9447
"2010-05-04",8.885
"2010-05-05",13.4535
"2010-05-06",16.5498
"2010-05-07",8.5582
"2010-05-08",3.2411
"2010-05-09",16.8044
"2010-05-10",0
"2010-05-11",1.5767
"2010-05-12",2.7284
"2010-05-13",0.0709
"2010-05-14",7.5374
"2010-05-15",5.7311
"2010-05-16",18.4145
"2010-05-17",20.4291
"2010-05-18",14.8374
"2010-05-19",18.3409
"2010-05-20",17.8384
"2010-05-21",4.0067
"2010-05-22",0.1081
"2010-05-23",16.2412
"2010-05-24",0.4766
"2010-05-25",0.3241
"2010-05-26",0
"2010-05-27",0
"2010-05-28",0
"2010-05-29",0
"2010-05-30",0
"2010-05-31",0.1123
"2010-06-01",0
"2010-06-02",0
"2010-06-03",0
"2010-06-04",0
"2010-06-05",2.1239
"2010-06-06",5.9128
"2010-06-07",3.3799
"2010-06-08",15.9896
"2010-06-09",3.1965
"2010-06-10",10.0059
"2010-06-11",30.772
"2010-06-12",0
"2010-06-13",0
"2010-06-14",0
"2010-06-15",4.4899
"2010-06-16",0
"2010-06-17",0
"2010-06-18",0
"2010-06-19",1.4014
"2010-06-20",0
"2010-06-21",4.9221
"2010-06-22",3.8036
"2010-06-23",5.6121
"2010-06-24",0
"2010-06-25",0
"2010-06-26",0
"2010-06-27",0
"2010-06-28",0.0978
"2010-06-29",0
"2010-06-30",0
"2010-07-01",0
"2010-07-02",0.8604
"2010-07-03",0
"2010-07-04",0
"2010-07-05",12.1124
"2010-07-06",17.5669
"2010-07-07",0
"2010-07-08",0.338
"2010-07-09",0
"2010-07-10",0.0082
"2010-07-11",5.7582
"2010-07-12",0.6488
"2010-07-13",0.6035
"2010-07-14",0
"2010-07-15",0
"2010-07-16",2.1688
"2010-07-17",0.133
"2010-07-18",0.5492
"2010-07-19",10.3243
"2010-07-20",4.6636
"2010-07-21",0
"2010-07-22",0.0276
"2010-07-23",0
"2010-07-24",0
"2010-07-25",0
"2010-07-26",0
"2010-07-27",2.3224
"2010-07-28",3.723
"2010-07-29",1.2281
"2010-07-30",0.369
"2010-07-31",0
"2010-08-01",0
"2010-08-02",0.0106
"2010-08-03",3.2663
"2010-08-04",0.1278
"2010-08-05",0.0561
"2010-08-06",0
"2010-08-07",0
"2010-08-08",0
"2010-08-09",0
"2010-08-10",0
"2010-08-11",0.2944
"2010-08-12",5.1587
"2010-08-13",0
"2010-08-14",0.2199
"2010-08-15",9.9523
"2010-08-16",1.6201
"2010-08-17",0
"2010-08-18",0
"2010-08-19",22.5411
"2010-08-20",15.7585
"2010-08-21",19.4529
"2010-08-22",0
"2010-08-23",0
"2010-08-24",3.9867
"2010-08-25",0
"2010-08-26",1.2325
"2010-08-27",0
"2010-08-28",0
"2010-08-29",5.0165
"2010-08-30",0
"2010-08-31",0.5225
"2010-09-01",0
"2010-09-02",0
"2010-09-03",1.0292
"2010-09-04",0
"2010-09-05",0
"2010-09-06",0
"2010-09-07",0
"2010-09-08",0.006
"2010-09-09",0.3057
"2010-09-10",7.2323
"2010-09-11",0.2238
"2010-09-12",1.5712
"2010-09-13",1.1915
"2010-09-14",4.0735
"2010-09-15",0
"2010-09-16",0
"2010-09-17",0
"2010-09-18",0
"2010-09-19",0.2856
"2010-09-20",1.1811
"2010-09-21",1.7497
"2010-09-22",12.1116
"2010-09-23",4.7355
"2010-09-24",8.2445
"2010-09-25",0.1347
"2010-09-26",2.4966
"2010-09-27",4.062
"2010-09-28",14.1735
"2010-09-29",10.0325
"2010-09-30",1.0081
"2010-10-01",9.8151
"2010-10-02",13.5278
"2010-10-03",5.2364
"2010-10-04",0
"2010-10-05",0
"2010-10-06",1.2966
"2010-10-07",8.6484
"2010-10-08",13.4988
"2010-10-09",1.1399
"2010-10-10",39.038
"2010-10-11",0.1929
"2010-10-12",0.4845
"2010-10-13",0
"2010-10-14",0.3623
"2010-10-15",0
"2010-10-16",0
"2010-10-17",0
"2010-10-18",0
"2010-10-19",0.747
"2010-10-20",0
"2010-10-21",0
"2010-10-22",0
"2010-10-23",0
"2010-10-24",0
"2010-10-25",0
"2010-10-26",0.0929
"2010-10-27",17.2856
"2010-10-28",18.1707
"2010-10-29",5.0723
"2010-10-30",0
"2010-10-31",3.5053
"2010-11-01",9.6887
"2010-11-02",1.1755
"2010-11-03",5.3086
"2010-11-04",10.7804
"2010-11-05",8.7812
"2010-11-06",33.4745
"2010-11-07",7.2088
"2010-11-08",0
"2010-11-09",3.7348
"2010-11-10",25.2505
"2010-11-11",1.2409
"2010-11-12",1.7517
"2010-11-13",2.6814
"2010-11-14",0
"2010-11-15",18.1943
"2010-11-16",2.1599
"2010-11-17",3.7237
"2010-11-18",0.0921
"2010-11-19",12.3113
"2010-11-20",19.7936
"2010-11-21",16.7174
"2010-11-22",48.9054
"2010-11-23",28.5998
"2010-11-24",18.1694
"2010-11-25",0.0806
"2010-11-26",4.2504
"2010-11-27",5.103
"2010-11-28",8.5914
"2010-11-29",2.553
"2010-11-30",25.677
"2010-12-01",22.8643
"2010-12-02",35.8304
"2010-12-03",40.2679
"2010-12-04",13.7515
"2010-12-05",4.3723
"2010-12-06",1.2847
"2010-12-07",43.5823
"2010-12-08",2.2922
"2010-12-09",42.2646
"2010-12-10",0
"2010-12-11",0.6774
"2010-12-12",0
"2010-12-13",0
"2010-12-14",0
"2010-12-15",0
"2010-12-16",0.0471
"2010-12-17",0
"2010-12-18",0.013
"2010-12-19",0.1552
"2010-12-20",3.4026
"2010-12-21",6.4222
"2010-12-22",20.47
"2010-12-23",20.8468
"2010-12-24",18.1965
"2010-12-25",10.9647
"2010-12-26",2.198
"2010-12-27",2.8062
"2010-12-28",3.865
"2010-12-29",4.0183
"2010-12-30",19.5182
"2010-12-31",15.182
"2011-01-01",25.8239
"2011-01-02",1.2599
"2011-01-03",13.1125
"2011-01-04",15.4706
"2011-01-05",20.0195
"2011-01-06",5.6369
"2011-01-07",11.517
"2011-01-08",24.6871
"2011-01-09",42.6956
"2011-01-10",32.2032
"2011-01-11",24.3238
"2011-01-12",24.7753
"2011-01-13",0.051
"2011-01-14",0
"2011-01-15",0
"2011-01-16",0
"2011-01-17",0
"2011-01-18",0
"2011-01-19",0
"2011-01-20",0
"2011-01-21",0
"2011-01-22",0
"2011-01-23",0
"2011-01-24",0
"2011-01-25",3.4851
"2011-01-26",20.5713
"2011-01-27",14.3773
"2011-01-28",18.5606
"2011-01-29",5.9021
"2011-01-30",1.8381
"2011-01-31",11.3281
"2011-02-01",77.7149
"2011-02-02",32.5406
"2011-02-03",1.6505
"2011-02-04",2.5864
"2011-02-05",1.4835
"2011-02-06",19.7587
"2011-02-07",37.5677
"2011-02-08",2.4007
"2011-02-09",2.7543
"2011-02-10",7.9302
"2011-02-11",0
"2011-02-12",0
"2011-02-13",0
"2011-02-14",0.7441
"2011-02-15",3.1838
"2011-02-16",0.988
"2011-02-17",0
"2011-02-18",0
"2011-02-19",0
"2011-02-20",0
"2011-02-21",0.0348
"2011-02-22",0.9006
"2011-02-23",0
"2011-02-24",0
"2011-02-25",6.7172
"2011-02-26",5.6346
"2011-02-27",0.448
"2011-02-28",6.3969
"2011-03-01",1.1177
"2011-03-02",4.6142
"2011-03-03",23.1969
"2011-03-04",0
"2011-03-05",1.9577
"2011-03-06",0
"2011-03-07",0
"2011-03-08",0
"2011-03-09",0
"2011-03-10",0
"2011-03-11",0
"2011-03-12",4.0075
"2011-03-13",11.4799
"2011-03-14",0.0987
"2011-03-15",2.9299
"2011-03-16",3.7964
"2011-03-17",0
"2011-03-18",0
"2011-03-19",0.3367
"2011-03-20",1.5586
"2011-03-21",1.2352
"2011-03-22",2.8561
"2011-03-23",2.1018
"2011-03-24",8.94
"2011-03-25",6.0426
"2011-03-26",3.257
"2011-03-27",12.9353
"2011-03-28",13.8464
"2011-03-29",13.0719
"2011-03-30",1.9047
"2011-03-31",0
"2011-04-01",0
"2011-04-02",0.0164
"2011-04-03",0
"2011-04-04",0.0288
"2011-04-05",0
"2011-04-06",0
"2011-04-07",0.3165
"2011-04-08",5.1372
"2011-04-09",10.6204
"2011-04-10",0.0419
"2011-04-11",8.6479
"2011-04-12",10.474
"2011-04-13",2.417
"2011-04-14",3.3198
"2011-04-15",11.6328
"2011-04-16",3.2138
"2011-04-17",3.1461
"2011-04-18",0.9626
"2011-04-19",15.7241
"2011-04-20",0.6912
"2011-04-21",1.9402
"2011-04-22",9.7894
"2011-04-23",11.0605
"2011-04-24",13.9244
"2011-04-25",5.6207
"2011-04-26",9.1985
"2011-04-27",18.0029
"2011-04-28",23.0173
"2011-04-29",6.4282
"2011-04-30",3.1514
"2011-05-01",1.9459
"2011-05-02",0.0108
"2011-05-03",0
"2011-05-04",2.8825
"2011-05-05",0.4001
"2011-05-06",3.5034
"2011-05-07",0.3731
"2011-05-08",0
"2011-05-09",0
"2011-05-10",0
"2011-05-11",0
"2011-05-12",0.03
"2011-05-13",2.8401
"2011-05-14",0
"2011-05-15",2.2504
"2011-05-16",0
"2011-05-17",0.6113
"2011-05-18",0.8279
"2011-05-19",0
"2011-05-20",0.1668
"2011-05-21",0
"2011-05-22",0
"2011-05-23",1.855
"2011-05-24",0.02
"2011-05-25",6.7848
"2011-05-26",3.3673
"2011-05-27",7.5901
"2011-05-28",0.944
"2011-05-29",0
"2011-05-30",0
"2011-05-31",0.1109
"2011-06-01",0.901
"2011-06-02",1.4823
"2011-06-03",0
"2011-06-04",0
"2011-06-05",0.0227
"2011-06-06",0.7902
"2011-06-07",0
"2011-06-08",0
"2011-06-09",0
"2011-06-10",0
"2011-06-11",0
"2011-06-12",0
"2011-06-13",0.2843
"2011-06-14",0.0035
"2011-06-15",16.3388
"2011-06-16",0
"2011-06-17",0
"2011-06-18",0
"2011-06-19",0
"2011-06-20",0
"2011-06-21",0
"2011-06-22",0
"2011-06-23",0
"2011-06-24",0
"2011-06-25",0.0383
"2011-06-26",0
"2011-06-27",0
"2011-06-28",1.0064
"2011-06-29",0.0013
"2011-06-30",0
"2011-07-01",0.0068
"2011-07-02",0.9505
"2011-07-03",0
"2011-07-04",0.0531
"2011-07-05",0.0093
"2011-07-06",2.0743
"2011-07-07",0
"2011-07-08",0
"2011-07-09",3.618
"2011-07-10",0
"2011-07-11",5.2609
"2011-07-12",0.8044
"2011-07-13",0
"2011-07-14",2.4907
"2011-07-15",0.7758
"2011-07-16",0.757
"2011-07-17",0
"2011-07-18",0
"2011-07-19",0
"2011-07-20",8.3914
"2011-07-21",0.5867
"2011-07-22",0.3486
"2011-07-23",0
"2011-07-24",6.2398
"2011-07-25",8.9076
"2011-07-26",3.8103
"2011-07-27",0
"2011-07-28",0.9763
"2011-07-29",0.0046
"2011-07-30",1.1286
"2011-07-31",0.052
"2011-08-01",0.1272
"2011-08-02",0
"2011-08-03",3.5191
"2011-08-04",15.1438
"2011-08-05",5.4926
"2011-08-06",0
"2011-08-07",0
"2011-08-08",0.0105
"2011-08-09",0
"2011-08-10",0
"2011-08-11",0
"2011-08-12",0
"2011-08-13",0.7875
"2011-08-14",2.9043
"2011-08-15",13.4244
"2011-08-16",0
"2011-08-17",3.3015
"2011-08-18",0
"2011-08-19",0
"2011-08-20",0
"2011-08-21",0
"2011-08-22",0
"2011-08-23",31.5178
"2011-08-24",3.6738
"2011-08-25",14.4768
"2011-08-26",0
"2011-08-27",0.1443
"2011-08-28",8.5977
"2011-08-29",0
"2011-08-30",11.2644
"2011-08-31",4.512
"2011-09-01",0.946
"2011-09-02",2.1931
"2011-09-03",0
"2011-09-04",0
"2011-09-05",0.1811
"2011-09-06",1.7464
"2011-09-07",0.2038
"2011-09-08",0
"2011-09-09",0.4585
"2011-09-10",0
"2011-09-11",8.6324
"2011-09-12",14.508
"2011-09-13",4.8786
"2011-09-14",5.4616
"2011-09-15",0
"2011-09-16",0
"2011-09-17",0.2976
"2011-09-18",0
"2011-09-19",0
"2011-09-20",0
"2011-09-21",0
"2011-09-22",0.0944
"2011-09-23",0
"2011-09-24",0
"2011-09-25",0
"2011-09-26",0.0009
"2011-09-27",0
"2011-09-28",0
"2011-09-29",0
"2011-09-30",0.0075
"2011-10-01",0
"2011-10-02",0.2462
"2011-10-03",0.2589
"2011-10-04",6.6038
"2011-10-05",4.3172
"2011-10-06",0.2691
"2011-10-07",0
"2011-10-08",0
"2011-10-09",0.9837
"2011-10-10",5.3334
"2011-10-11",0.7625
"2011-10-12",5.2057
"2011-10-13",5.3149
"2011-10-14",1.9426
"2011-10-15",0.001
"2011-10-16",0
"2011-10-17",0
"2011-10-18",0
"2011-10-19",1.0042
"2011-10-20",5.616
"2011-10-21",8.0594
"2011-10-22",13.6247
"2011-10-23",9.8029
"2011-10-24",9.7435
"2011-10-25",14.5679
"2011-10-26",3.2184
"2011-10-27",8.804
"2011-10-28",20.0254
"2011-10-29",29.3453
"2011-10-30",26.0308
"2011-10-31",2.3032
"2011-11-01",6.3964
"2011-11-02",2.6375
"2011-11-03",10.5996
"2011-11-04",3.8498
"2011-11-05",2.6411
"2011-11-06",7.8925
"2011-11-07",2.1531
"2011-11-08",2.3566
"2011-11-09",0.3527
"2011-11-10",3.4964
"2011-11-11",0
"2011-11-12",0.3705
"2011-11-13",1.0805
"2011-11-14",0
"2011-11-15",7.6334
"2011-11-16",4.22
"2011-11-17",5.7775
"2011-11-18",7.9843
"2011-11-19",1.1975
"2011-11-20",5.9415
"2011-11-21",10.9284
"2011-11-22",12.9098
"2011-11-23",39.6637
"2011-11-24",26.4763
"2011-11-25",16.4844
"2011-11-26",22.3305
"2011-11-27",12.6987
"2011-11-28",6.7624
"2011-11-29",0.761
"2011-11-30",16.7297
"2011-12-01",0.0609
"2011-12-02",0.1608
"2011-12-03",2.1852
"2011-12-04",0
"2011-12-05",0.4153
"2011-12-06",0.8784
"2011-12-07",0
"2011-12-08",0
"2011-12-09",0.0941
"2011-12-10",2.2112
"2011-12-11",9.7891
"2011-12-12",5.8829
"2011-12-13",9.6542
"2011-12-14",16.9889
"2011-12-15",15.0351
"2011-12-16",12.7066
"2011-12-17",0.3128
"2011-12-18",0.7378
"2011-12-19",17.1945
"2011-12-20",19.0021
"2011-12-21",8.9558
"2011-12-22",15.3243
"2011-12-23",24.8083
"2011-12-24",1.215
"2011-12-25",0
"2011-12-26",0
"2011-12-27",0.9792
"2011-12-28",1.3586
"2011-12-29",0
"2011-12-30",0
"2011-12-31",0
"2012-01-01",0
"2012-01-02",0
"2012-01-03",0
"2012-01-04",0.0749
"2012-01-05",4.1838
"2012-01-06",39.9032
"2012-01-07",0.0518
"2012-01-08",0
"2012-01-09",0
"2012-01-10",0
"2012-01-11",0.3898
"2012-01-12",0
"2012-01-13",0
"2012-01-14",0
"2012-01-15",0.6047
"2012-01-16",0
"2012-01-17",0.0359
"2012-01-18",0
"2012-01-19",0
"2012-01-20",0
"2012-01-21",0.1522
"2012-01-22",1.6401
"2012-01-23",0.0951
"2012-01-24",0
"2012-01-25",0
"2012-01-26",0
"2012-01-27",0
"2012-01-28",0
"2012-01-29",0
"2012-01-30",0.0101
"2012-01-31",0
"2012-02-01",0
"2012-02-02",0
"2012-02-03",0
"2012-02-04",0.0279
"2012-02-05",10.6847
"2012-02-06",10.9377
"2012-02-07",1.8257
"2012-02-08",19.9107
"2012-02-09",3.7449
"2012-02-10",0
"2012-02-11",0
"2012-02-12",0
"2012-02-13",1.4187
"2012-02-14",25.4147
"2012-02-15",5.1412
"2012-02-16",3.5899
"2012-02-17",0
"2012-02-18",0
"2012-02-19",0.325
"2012-02-20",0
"2012-02-21",0.3082
"2012-02-22",2.627
"2012-02-23",0
"2012-02-24",2.281
"2012-02-25",0
"2012-02-26",0.2115
"2012-02-27",10.1058
"2012-02-28",6.4192
"2012-02-29",0
"2012-03-01",0
"2012-03-02",0
"2012-03-03",0
"2012-03-04",1.8547
"2012-03-05",0
"2012-03-06",0
"2012-03-07",2.8152
"2012-03-08",0
"2012-03-09",0
"2012-03-10",1.7299
"2012-03-11",3.9415
"2012-03-12",1.5442
"2012-03-13",0.0777
"2012-03-14",1.5851
"2012-03-15",3.7229
"2012-03-16",8.6552
"2012-03-17",6.7077
"2012-03-18",0
"2012-03-19",0
"2012-03-20",0
"2012-03-21",0
"2012-03-22",0
"2012-03-23",0
"2012-03-24",0
"2012-03-25",0
"2012-03-26",0
"2012-03-27",0
"2012-03-28",2.8847
"2012-03-29",23.5446
"2012-03-30",8.482
"2012-03-31",8.293
"2012-04-01",5.5277
"2012-04-02",0.6729
"2012-04-03",2.3442
"2012-04-04",4.5225
"2012-04-05",4.8954
"2012-04-06",3.6396
"2012-04-07",1.9993
"2012-04-08",7.4317
"2012-04-09",4.698
"2012-04-10",12.636
"2012-04-11",12.1498
"2012-04-12",17.2144
"2012-04-13",4.9147
"2012-04-14",23.8603
"2012-04-15",18.5201
"2012-04-16",11.2832
"2012-04-17",5.4241
"2012-04-18",5.19
"2012-04-19",5.4272
"2012-04-20",8.3039
"2012-04-21",14.2277
"2012-04-22",2.9908
"2012-04-23",14.4505
"2012-04-24",8.3877
"2012-04-25",0
"2012-04-26",0
"2012-04-27",0
"2012-04-28",3.4234
"2012-04-29",2.4206
"2012-04-30",1.4371
"2012-05-01",0
"2012-05-02",0
"2012-05-03",0
"2012-05-04",0
"2012-05-05",0
"2012-05-06",0
"2012-05-07",0
"2012-05-08",0.005
"2012-05-09",2.0091
"2012-05-10",0
"2012-05-11",0
"2012-05-12",0
"2012-05-13",0
"2012-05-14",0
"2012-05-15",0
"2012-05-16",0
"2012-05-17",0
"2012-05-18",0
"2012-05-19",0
"2012-05-20",0.0423
"2012-05-21",5.302
"2012-05-22",0
"2012-05-23",0.624
"2012-05-24",4.6052
"2012-05-25",4.454
"2012-05-26",11.2582
"2012-05-27",0
"2012-05-28",6.2712
"2012-05-29",0
"2012-05-30",4.3165
"2012-05-31",0
"2012-06-01",0.4682
"2012-06-02",0
"2012-06-03",0.7599
"2012-06-04",0
"2012-06-05",0.2857
"2012-06-06",3.1057
"2012-06-07",0
"2012-06-08",1.3295
"2012-06-09",2.3372
"2012-06-10",2.7278
"2012-06-11",2.9871
"2012-06-12",2.4034
"2012-06-13",10.0517
"2012-06-14",0
"2012-06-15",0
"2012-06-16",0
"2012-06-17",2.7025
"2012-06-18",7.8108
"2012-06-19",0
"2012-06-20",0.1707
"2012-06-21",7.2163
"2012-06-22",0
"2012-06-23",0.7846
"2012-06-24",0.0225
"2012-06-25",1.0971
"2012-06-26",0
"2012-06-27",0
"2012-06-28",0
"2012-06-29",0.4132
"2012-06-30",5.8791
"2012-07-01",0.2764
"2012-07-02",12.3632
"2012-07-03",0
"2012-07-04",0.2422
"2012-07-05",0
"2012-07-06",0
"2012-07-07",0
"2012-07-08",0.705
"2012-07-09",0
"2012-07-10",0.0663
"2012-07-11",0
"2012-07-12",0
"2012-07-13",4.653
"2012-07-14",8.7586
"2012-07-15",8.8248
"2012-07-16",0
"2012-07-17",0
"2012-07-18",0
"2012-07-19",0
"2012-07-20",0
"2012-07-21",0.6599
"2012-07-22",0
"2012-07-23",0
"2012-07-24",0
"2012-07-25",0
"2012-07-26",0
"2012-07-27",0
"2012-07-28",0
"2012-07-29",0
"2012-07-30",0
"2012-07-31",0
"2012-08-01",0
"2012-08-02",0
"2012-08-03",4.4023
"2012-08-04",3.0112
"2012-08-05",0.5051
"2012-08-06",0.7185
"2012-08-07",0.1817
"2012-08-08",0
"2012-08-09",0
"2012-08-10",0.0159
"2012-08-11",0.0833
"2012-08-12",0
"2012-08-13",0
"2012-08-14",0
"2012-08-15",0
"2012-08-16",6.6674
"2012-08-17",0.0161
"2012-08-18",0.1071
"2012-08-19",0
"2012-08-20",0
"2012-08-21",6.5439
"2012-08-22",0.6872
"2012-08-23",0.624
"2012-08-24",2.9941
"2012-08-25",0.8612
"2012-08-26",1.2707
"2012-08-27",3.9049
"2012-08-28",8.6432
"2012-08-29",19.0596
"2012-08-30",2.5252
"2012-08-31",18.7518
"2012-09-01",5.7337
"2012-09-02",0
"2012-09-03",1.7698
"2012-09-04",0
"2012-09-05",0
"2012-09-06",0
"2012-09-07",5.0217
"2012-09-08",7.9834
"2012-09-09",1.3154
"2012-09-10",2.0148
"2012-09-11",0
"2012-09-12",0.0005
"2012-09-13",2.6904
"2012-09-14",0
"2012-09-15",0.3069
"2012-09-16",1.3194
"2012-09-17",0.1488
"2012-09-18",6.6639
"2012-09-19",0.1774
"2012-09-20",0.1407
"2012-09-21",5.3568
"2012-09-22",30.4599
"2012-09-23",9.5983
"2012-09-24",5.5521
"2012-09-25",0.6825
"2012-09-26",0
"2012-09-27",0.7341
"2012-09-28",0.1675
"2012-09-29",0
"2012-09-30",0.2487
"2012-10-01",0
"2012-10-02",0
"2012-10-03",0
"2012-10-04",0
"2012-10-05",0
"2012-10-06",0
"2012-10-07",0
"2012-10-08",1.4253
"2012-10-09",12.3846
"2012-10-10",6.8189
"2012-10-11",1.4674
"2012-10-12",0
"2012-10-13",1.2422
"2012-10-14",18.6008
"2012-10-15",2.7424
"2012-10-16",28.4526
"2012-10-17",13.678
"2012-10-18",24.5974
"2012-10-19",2.2747
"2012-10-20",4.9245
"2012-10-21",13.7844
"2012-10-22",9.1417
"2012-10-23",17.3107
"2012-10-24",3.1022
"2012-10-25",4.4459
"2012-10-26",0.5202
"2012-10-27",4.1087
"2012-10-28",22.3579
"2012-10-29",27.212
"2012-10-30",33.2977
"2012-10-31",27.311
"2012-11-01",32.3685
"2012-11-02",4.9174
"2012-11-03",20.3784
"2012-11-04",0.4336
"2012-11-05",0.2585
"2012-11-06",5.1776
"2012-11-07",0.9688
"2012-11-08",2.8807
"2012-11-09",14.186
"2012-11-10",12.8523
"2012-11-11",13.6043
"2012-11-12",16.9608
"2012-11-13",6.5866
"2012-11-14",4.2742
"2012-11-15",8.0692
"2012-11-16",1.5807
"2012-11-17",1.7191
"2012-11-18",0.8287
"2012-11-19",0
"2012-11-20",4.6337
"2012-11-21",0
"2012-11-22",0.1782
"2012-11-23",12.7595
"2012-11-24",4.9134
"2012-11-25",7.8013
"2012-11-26",9.7079
"2012-11-27",0.2556
"2012-11-28",2.2447
"2012-11-29",29.1644
"2012-11-30",7.281
"2012-12-01",0
"2012-12-02",0
"2012-12-03",0
"2012-12-04",0
"2012-12-05",0
"2012-12-06",20.3332
"2012-12-07",0.1036
"2012-12-08",9.4225
"2012-12-09",3.3215
"2012-12-10",0
"2012-12-11",0
"2012-12-12",0
"2012-12-13",0
"2012-12-14",3.1401
"2012-12-15",15.8488
"2012-12-16",23.2661
"2012-12-17",72.0772
"2012-12-18",42.6994
"2012-12-19",32.9947
"2012-12-20",0.9275
"2012-12-21",5.4915
"2012-12-22",37.7898
"2012-12-23",16.5912
"2012-12-24",1.0209
"2012-12-25",2.3959
"2012-12-26",22.408
"2012-12-27",0.143
"2012-12-28",0
"2012-12-29",0
"2012-12-30",12.9345
"2012-12-31",3.8614
"2013-01-01",8.0766
"2013-01-02",2.9914
"2013-01-03",16.7248
"2013-01-04",20.558
"2013-01-05",13.9638
"2013-01-06",10.9535
"2013-01-07",41.7534
"2013-01-08",0
"2013-01-09",0.0123
"2013-01-10",7.1251
"2013-01-11",11.8787
"2013-01-12",5.302
"2013-01-13",6.5318
"2013-01-14",0
"2013-01-15",0
"2013-01-16",0
"2013-01-17",0
"2013-01-18",0
"2013-01-19",0
"2013-01-20",0.602
"2013-01-21",0
"2013-01-22",0
"2013-01-23",5.1182
"2013-01-24",27.4614
"2013-01-25",9.2572
"2013-01-26",0
"2013-01-27",0
"2013-01-28",0
"2013-01-29",0
"2013-01-30",0
"2013-01-31",0
"2013-02-01",0
"2013-02-02",0
"2013-02-03",0
"2013-02-04",1.8563
"2013-02-05",0.512
"2013-02-06",26.0075
"2013-02-07",29.9457
"2013-02-08",13.5993
"2013-02-09",2.2166
"2013-02-10",0.6486
"2013-02-11",14.241
"2013-02-12",28.1627
"2013-02-13",27.4123
"2013-02-14",7.5977
"2013-02-15",8.3424
"2013-02-16",0.3888
"2013-02-17",4.6565
"2013-02-18",5.1957
"2013-02-19",1.5258
"2013-02-20",0
"2013-02-21",0
"2013-02-22",0
"2013-02-23",0
"2013-02-24",0
"2013-02-25",0
"2013-02-26",0
"2013-02-27",0
"2013-02-28",1.9237
"2013-03-01",0
"2013-03-02",0
"2013-03-03",27.6223
"2013-03-04",9.7173
"2013-03-05",7.1494
"2013-03-06",9.458
"2013-03-07",1.1487
"2013-03-08",2.2684
"2013-03-09",10.6993
"2013-03-10",0.0556
"2013-03-11",5.1353
"2013-03-12",5.1684
"2013-03-13",10.2953
"2013-03-14",4.0548
"2013-03-15",1.065
"2013-03-16",0.2082
"2013-03-17",0.1292
"2013-03-18",5.7425
"2013-03-19",6.9678
"2013-03-20",3.4482
"2013-03-21",3.0647
"2013-03-22",0
"2013-03-23",5.2308
"2013-03-24",15.1334
"2013-03-25",17.9496
"2013-03-26",9.9123
"2013-03-27",4.0534
"2013-03-28",0
"2013-03-29",0.3996
"2013-03-30",0
"2013-03-31",4.1887
"2013-04-01",9.1842
"2013-04-02",2.3564
"2013-04-03",0.1935
"2013-04-04",7.6465
"2013-04-05",0.2622
"2013-04-06",0
"2013-04-07",0.1037
"2013-04-08",1.6045
"2013-04-09",0.0439
"2013-04-10",0.6363
"2013-04-11",7.1368
"2013-04-12",4.2484
"2013-04-13",2.8872
"2013-04-14",1.9405
"2013-04-15",0.2213
"2013-04-16",0
"2013-04-17",0
"2013-04-18",0
"2013-04-19",0
"2013-04-20",0
"2013-04-21",0
"2013-04-22",0.7692
"2013-04-23",0
"2013-04-24",5.7088
"2013-04-25",11.059
"2013-04-26",0.4574
"2013-04-27",0.5924
"2013-04-28",1.1114
"2013-04-29",4.9841
"2013-04-30",9.8271
"2013-05-01",0.2486
"2013-05-02",6.4112
"2013-05-03",10.5679
"2013-05-04",7.1722
"2013-05-05",8.9267
"2013-05-06",16.7128
"2013-05-07",0
"2013-05-08",5.527
"2013-05-09",3.8896
"2013-05-10",8.9954
"2013-05-11",2.7338
"2013-05-12",24.855
"2013-05-13",34.4766
"2013-05-14",0
"2013-05-15",1.8281
"2013-05-16",0
"2013-05-17",0
"2013-05-18",0.2735
"2013-05-19",10.7498
"2013-05-20",20.643
"2013-05-21",0.6107
"2013-05-22",0
"2013-05-23",0
"2013-05-24",0
"2013-05-25",0
"2013-05-26",0
"2013-05-27",0.8482
"2013-05-28",0
"2013-05-29",0
"2013-05-30",0
"2013-05-31",25.3792
"2013-06-01",5.0404
"2013-06-02",0.1417
"2013-06-03",7.2904
"2013-06-04",3.7254
"2013-06-05",1.4947
"2013-06-06",0.0786
