,"(deg C) Mean Temperature (ERA5) at Nuwara Eliya, 2007-01-01 to 2025-12-31"
"2007-09-02",23.825
"2007-09-03",23.5406
"2007-09-04",23.7446
"2007-09-05",23.1253
"2007-09-06",22.7505
"2007-09-07",23.7535
"2007-09-08",23.6682
"2007-09-09",22.0014
"2007-09-10",24.062
"2007-09-11",24.1848
"2007-09-12",23.3288
"2007-09-13",23.6202
"2007-09-14",23.1786
"2007-09-15",23.2779
"2007-09-16",23.4431
"2007-09-17",22.9315
"2007-09-18",23.4369
"2007-09-19",23.4932
"2007-09-20",23.2786
"2007-09-21",23.6393
"2007-09-22",23.2404
"2007-09-23",23.1094
"2007-09-24",23.6232
"2007-09-25",23.8349
"2007-09-26",24.049
"2007-09-27",23.8317
"2007-09-28",23.7606
"2007-09-29",23.4871
"2007-09-30",23.3513
"2007-10-01",23.3047
"2007-10-02",22.5503
"2007-10-03",23.134
"2007-10-04",23.3779
"2007-10-05",23.0432
"2007-10-06",22.9328
"2007-10-07",22.8126
"2007-10-08",22.3175
"2007-10-09",23.1536
"2007-10-10",23.6325
"2007-10-11",22.5559
"2007-10-12",22.9812
"2007-10-13",23.2786
"2007-10-14",22.6191
"2007-10-15",22.766
"2007-10-16",22.9358
"2007-10-17",22.8009
"2007-10-18",22.1482
"2007-10-19",23.1699
"2007-10-20",20.7742
"2007-10-21",22.0586
"2007-10-22",21.2992
"2007-10-23",22.428
"2007-10-24",23.3251
"2007-10-25",23.4861
"2007-10-26",21.9338
"2007-10-27",22.0931
"2007-10-28",22.6273
"2007-10-29",22.4992
"2007-10-30",22.7019
"2007-10-31",23.6562
"2007-11-01",23.193
"2007-11-02",22.7616
"2007-11-03",22.7231
"2007-11-04",22.9101
"2007-11-05",23.6061
"2007-11-06",22.3995
"2007-11-07",22.2122
"2007-11-08",22.8733
"2007-11-09",22.9736
"2007-11-10",23.2037
"2007-11-11",22.9463
"2007-11-12",23.0474
"2007-11-13",22.9253
"2007-11-14",22.5662
"2007-11-15",22.7961
"2007-11-16",22.124
"2007-11-17",21.2446
"2007-11-18",22.9629
"2007-11-19",22.4806
"2007-11-20",23.3538
