,"(deg C) Mean Temperature (ERA5) at Hambantota, 2007-01-01 to 2025-12-31"
"2007-09-02",27.025
"2007-09-03",26.5622
"2007-09-04",26.7199
"2007-09-05",26.2985
"2007-09-06",25.8333
"2007-09-07",27.2808
"2007-09-08",26.3994
"2007-09-09",24.5435
"2007-09-10",26.6884
"2007-09-11",26.3426
"2007-09-12",25.8615
"2007-09-13",26.4979
"2007-09-14",26.7754
"2007-09-15",26.731
"2007-09-16",26.7478
"2007-09-17",26.3275
"2007-09-18",26.8527
"2007-09-19",26.8861
"2007-09-20",26.7122
"2007-09-21",27.2045
"2007-09-22",26.9117
"2007-09-23",26.9649
"2007-09-24",27.1474
"2007-09-25",27.0762
"2007-09-26",27.292
"2007-09-27",27.079
"2007-09-28",26.5167
"2007-09-29",26.9695
"2007-09-30",27.3296
"2007-10-01",26.8026
"2007-10-02",25.917
"2007-10-03",26.4864
"2007-10-04",26.6948
"2007-10-05",26.1313
"2007-10-06",25.5809
"2007-10-07",25.5838
"2007-10-08",26.029
"2007-10-09",26.3541
"2007-10-10",26.1456
"2007-10-11",25.3339
"2007-10-12",26.137
"2007-10-13",26.5358
"2007-10-14",26.3294
"2007-10-15",26.0089
"2007-10-16",25.831
"2007-10-17",24.9181
"2007-10-18",24.562
"2007-10-19",25.591
"2007-10-20",23.9389
"2007-10-21",24.7208
"2007-10-22",24.5183
"2007-10-23",25.5683
"2007-10-24",25.72
"2007-10-25",25.7069
"2007-10-26",24.7216
"2007-10-27",25.6999
"2007-10-28",26.108
"2007-10-29",25.9426
"2007-10-30",25.9929
"2007-10-31",26.4899
"2007-11-01",25.6865
"2007-11-02",24.9132
"2007-11-03",24.8464
"2007-11-04",25.5001
"2007-11-05",25.8924
"2007-11-06",24.9426
"2007-11-07",24.652
"2007-11-08",25.1027
"2007-11-09",25.1948
"2007-11-10",25.6924
"2007-11-11",25.7543
"2007-11-12",25.5655
"2007-11-13",25.5187
"2007-11-14",25.7465
"2007-11-15",25.5087
"2007-11-16",25.3786
"2007-11-17",24.809
"2007-11-18",25.6888
"2007-11-19",24.8399
"2007-11-20",25.5325
"2007-11-21",25.0557
"2007-11-22",25.259
"2007-11-23",25.7552
"2007-11-24",25.7511
"2007-11-25",25.8357
"2007-11-26",25.1535
"2007-11-27",25.3794
"2007-11-28",25.7184
"2007-11-29",25.2438
"2007-11-30",24.9477
"2007-12-01",25.6189
"2007-12-02",24.3336
"2007-12-03",25.2671
"2007-12-04",25.4689
"2007-12-05",24.911
"2007-12-06",25.2761
"2007-12-07",24.7856
"2007-12-08",25.2608
"2007-12-09",24.8291
"2007-12-10",24.937
"2007-12-11",25.3552
"2007-12-12",25.2341
"2007-12-13",24.5546
"2007-12-14",25.2724
"2007-12-15",24.2212
"2007-12-16",24.6469
"2007-12-17",25.1141
"2007-12-18",24.9599
"2007-12-19",24.3705
"2007-12-20",24.7976
"2007-12-21",24.5894
"2007-12-22",23.7906
"2007-12-23",23.7317
"2007-12-24",25.3946
"2007-12-25",24.7328
"2007-12-26",24.5837
"2007-12-27",24.5769
"2007-12-28",24.8341
"2007-12-29",24.6669
"2007-12-30",24.4369
"2007-12-31",24.3309
"2008-01-01",24.5032
"2008-01-02",24.6667
"2008-01-03",24.8636
"2008-01-04",24.9211
"2008-01-05",25.2606
"2008-01-06",24.361
"2008-01-07",24.2931
"2008-01-08",24.1695
"2008-01-09",24.4598
"2008-01-10",24.6551
"2008-01-11",24.2086
"2008-01-12",24.3331
"2008-01-13",23.9687
"2008-01-14",24.5401
"2008-01-15",24.1106
"2008-01-16",24.277
"2008-01-17",24.2224
"2008-01-18",24.087
"2008-01-19",24.2255
"2008-01-20",25.5485
"2008-01-21",25.2756
"2008-01-22",25.3
"2008-01-23",25.3478
"2008-01-24",26.0714
"2008-01-25",26.1374
"2008-01-26",26.0024
"2008-01-27",26.444
"2008-01-28",25.9921
"2008-01-29",26.265
"2008-01-30",26.3465
"2008-01-31",26.5835
"2008-02-01",26.4612
"2008-02-02",26.8131
"2008-02-03",26.7412
"2008-02-04",26.5388
"2008-02-05",26.982
"2008-02-06",25.7207
"2008-02-07",24.7929
"2008-02-08",25.4784
"2008-02-09",25.8348
"2008-02-10",26.3408
"2008-02-11",26.1443
"2008-02-12",25.4979
"2008-02-13",25.5699
"2008-02-14",25.6155
"2008-02-15",25.7396
"2008-02-16",25.5017
"2008-02-17",25.9964
"2008-02-18",25.6414
"2008-02-19",26.0239
"2008-02-20",25.683
"2008-02-21",25.6977
"2008-02-22",25.8689
"2008-02-23",25.7476
"2008-02-24",24.7915
"2008-02-25",24.611
"2008-02-26",25.603
"2008-02-27",24.9907
"2008-02-28",25.2801
"2008-02-29",25.0487
"2008-03-01",25.879
"2008-03-02",26.4313
"2008-03-03",25.7471
"2008-03-04",25.4411
"2008-03-05",25.23
"2008-03-06",24.6767
"2008-03-07",25.7983
"2008-03-08",26.2279
"2008-03-09",23.9898
"2008-03-10",24.5698
"2008-03-11",24.6465
"2008-03-12",24.9311
"2008-03-13",25.569
"2008-03-14",25.1811
"2008-03-15",24.7425
"2008-03-16",24.2336
"2008-03-17",24.2605
"2008-03-18",24.3287
"2008-03-19",24.8965
"2008-03-20",25.1566
"2008-03-21",25.6942
"2008-03-22",26.4742
"2008-03-23",26.8669
"2008-03-24",25.6543
"2008-03-25",26.1014
"2008-03-26",26.4511
"2008-03-27",26.4081
"2008-03-28",26.1193
"2008-03-29",26.1286
"2008-03-30",26.485
"2008-03-31",26.1125
"2008-04-01",26.1768
"2008-04-02",24.9604
"2008-04-03",25.5006
"2008-04-04",25.793
"2008-04-05",25.821
"2008-04-06",25.1578
"2008-04-07",25.191
"2008-04-08",24.8584
"2008-04-09",24.8425
"2008-04-10",25.0247
"2008-04-11",25.8255
"2008-04-12",25.191
"2008-04-13",26.0234
"2008-04-14",25.7725
"2008-04-15",25.8639
"2008-04-16",25.7367
"2008-04-17",25.8696
"2008-04-18",26.2785
"2008-04-19",26.2655
"2008-04-20",26.3753
"2008-04-21",27.3688
"2008-04-22",27.0602
"2008-04-23",27.3304
"2008-04-24",26.3872
"2008-04-25",25.2719
"2008-04-26",25.8608
"2008-04-27",25.8307
"2008-04-28",24.3145
"2008-04-29",27.0415
"2008-04-30",27.6301
"2008-05-01",27.3083
"2008-05-02",27.1926
"2008-05-03",27.3539
"2008-05-04",27.2524
"2008-05-05",26.972
"2008-05-06",26.7599
"2008-05-07",26.5272
"2008-05-08",26.468
"2008-05-09",25.8631
"2008-05-10",27.3085
"2008-05-11",27.8497
"2008-05-12",27.0181
