,"(deg C) Mean Temperature (ERA5) at Ratnapura, 2007-01-01 to 2025-12-31"
"2007-09-02",24.215
"2007-09-03",24.0585
"2007-09-04",24.2596
"2007-09-05",23.5984
"2007-09-06",23.275
"2007-09-07",24.457
"2007-09-08",24.1056
"2007-09-09",22.3631
"2007-09-10",24.5688
"2007-09-11",24.5205
"2007-09-12",23.7374
"2007-09-13",24.1578
"2007-09-14",23.8774
"2007-09-15",23.9246
"2007-09-16",24.0921
"2007-09-17",23.5836
"2007-09-18",24.0967
"2007-09-19",24.1652
"2007-09-20",23.9597
"2007-09-21",24.2324
"2007-09-22",23.9196
"2007-09-23",23.8911
"2007-09-24",24.2913
"2007-09-25",24.461
"2007-09-26",24.6141
"2007-09-27",24.4594
"2007-09-28",23.9569
"2007-09-29",24.2217
"2007-09-30",24.0615
"2007-10-01",23.8827
"2007-10-02",23.0847
"2007-10-03",23.6562
"2007-10-04",23.7689
"2007-10-05",23.5762
"2007-10-06",23.371
"2007-10-07",23.3494
"2007-10-08",23.1247
"2007-10-09",23.7216
"2007-10-10",24.1515
"2007-10-11",23.1714
"2007-10-12",23.6331
"2007-10-13",23.9213
"2007-10-14",23.495
"2007-10-15",23.5944
"2007-10-16",23.6277
"2007-10-17",23.4107
"2007-10-18",22.8684
"2007-10-19",24.0311
"2007-10-20",21.6215
"2007-10-21",22.9333
"2007-10-22",22.2284
"2007-10-23",23.3518
"2007-10-24",23.878
"2007-10-25",24.137
"2007-10-26",22.6983
"2007-10-27",23.3001
"2007-10-28",23.5637
"2007-10-29",23.475
"2007-10-30",23.6486
"2007-10-31",24.6901
"2007-11-01",24.1762
"2007-11-02",23.6038
"2007-11-03",23.3525
"2007-11-04",23.6532
"2007-11-05",24.2349
"2007-11-06",23.126
"2007-11-07",22.9248
"2007-11-08",23.6153
"2007-11-09",23.7937
"2007-11-10",24.0567
"2007-11-11",23.9016
"2007-11-12",23.8857
"2007-11-13",24.0181
"2007-11-14",23.7609
"2007-11-15",23.4788
"2007-11-16",23.0977
"2007-11-17",22.888
"2007-11-18",23.9216
"2007-11-19",23.5297
"2007-11-20",23.9329
"2007-11-21",23.4432
"2007-11-22",23.5906
"2007-11-23",23.9296
"2007-11-24",24.3959
"2007-11-25",24.2996
"2007-11-26",23.419
"2007-11-27",23.9838
"2007-11-28",24.3727
"2007-11-29",23.5032
"2007-11-30",23.2031
"2007-12-01",23.6248
"2007-12-02",22.8813
"2007-12-03",23.7772
"2007-12-04",23.9912
"2007-12-05",23.1419
"2007-12-06",23.5839
"2007-12-07",23.0044
"2007-12-08",23.5688
"2007-12-09",23.4839
"2007-12-10",23.538
"2007-12-11",23.8332
"2007-12-12",23.4608
"2007-12-13",23.0296
"2007-12-14",23.5791
"2007-12-15",23.3469
"2007-12-16",23.1854
"2007-12-17",23.6144
"2007-12-18",23.15
"2007-12-19",23.384
"2007-12-20",23.5205
"2007-12-21",23.4544
"2007-12-22",22.705
"2007-12-23",22.1935
"2007-12-24",24.0373
"2007-12-25",23.279
"2007-12-26",23.1095
"2007-12-27",22.7896
"2007-12-28",23.1524
"2007-12-29",23.0164
"2007-12-30",22.9502
"2007-12-31",22.8043
"2008-01-01",22.8916
"2008-01-02",23.4391
"2008-01-03",23.1167
"2008-01-04",23.3359
"2008-01-05",23.5507
"2008-01-06",23.1569
"2008-01-07",23.0632
"2008-01-08",22.9828
"2008-01-09",23.2951
"2008-01-10",23.297
"2008-01-11",23.1739
"2008-01-12",23.186
"2008-01-13",22.5831
"2008-01-14",23.133
"2008-01-15",22.8352
"2008-01-16",22.5257
"2008-01-17",22.7837
"2008-01-18",22.4697
"2008-01-19",22.9927
"2008-01-20",23.964
"2008-01-21",23.7178
"2008-01-22",23.2909
"2008-01-23",23.876
"2008-01-24",24.1412
"2008-01-25",24.1572
"2008-01-26",23.9919
"2008-01-27",23.979
"2008-01-28",23.7041
"2008-01-29",24.0293
"2008-01-30",24.4363
"2008-01-31",24.4636
"2008-02-01",24.1197
"2008-02-02",24.6276
"2008-02-03",24.5767
"2008-02-04",24.5925
"2008-02-05",25.0443
"2008-02-06",23.6185
"2008-02-07",23.2581
"2008-02-08",23.7518
"2008-02-09",24.4731
"2008-02-10",24.7731
"2008-02-11",24.5435
"2008-02-12",23.9894
"2008-02-13",23.6652
"2008-02-14",23.7095
"2008-02-15",23.924
"2008-02-16",23.8401
"2008-02-17",23.9855
"2008-02-18",23.706
"2008-02-19",23.7968
"2008-02-20",24.0255
"2008-02-21",23.756
"2008-02-22",23.8198
"2008-02-23",23.1882
"2008-02-24",22.3147
"2008-02-25",21.9558
"2008-02-26",23.7907
"2008-02-27",23.5384
"2008-02-28",23.7352
"2008-02-29",23.3957
"2008-03-01",24.0539
"2008-03-02",24.5519
"2008-03-03",23.8507
"2008-03-04",23.9025
"2008-03-05",23.5877
"2008-03-06",22.9404
"2008-03-07",23.7749
"2008-03-08",24.1969
"2008-03-09",23.025
"2008-03-10",23.2662
"2008-03-11",23.0163
"2008-03-12",23.3977
"2008-03-13",24.023
"2008-03-14",23.7473
"2008-03-15",23.1837
"2008-03-16",22.91
"2008-03-17",23.4028
"2008-03-18",22.9745
"2008-03-19",23.6965
"2008-03-20",24.1611
"2008-03-21",24.6277
"2008-03-22",25.0557
"2008-03-23",25.5554
"2008-03-24",23.765
"2008-03-25",24.5704
"2008-03-26",24.7227
"2008-03-27",24.7267
"2008-03-28",24.5331
"2008-03-29",24.5141
"2008-03-30",24.62
"2008-03-31",24.2179
"2008-04-01",24.5603
"2008-04-02",23.2748
"2008-04-03",24.052
"2008-04-04",24.188
"2008-04-05",24.4157
"2008-04-06",23.791
"2008-04-07",23.3851
"2008-04-08",23.2896
"2008-04-09",23.4885
"2008-04-10",23.3862
"2008-04-11",24.3272
"2008-04-12",23.2895
"2008-04-13",24.2125
"2008-04-14",24.4601
"2008-04-15",24.4369
"2008-04-16",24.3318
"2008-04-17",24.1646
"2008-04-18",24.7202
"2008-04-19",24.7889
"2008-04-20",24.4774
"2008-04-21",25.3215
"2008-04-22",25.0685
"2008-04-23",25.2567
"2008-04-24",24.4952
"2008-04-25",23.4779
"2008-04-26",24.1183
"2008-04-27",23.9216
"2008-04-28",22.6152
"2008-04-29",24.8602
"2008-04-30",25.6929
"2008-05-01",25.3981
"2008-05-02",25.2011
"2008-05-03",25.3499
"2008-05-04",25.3682
"2008-05-05",24.9354
"2008-05-06",24.7817
"2008-05-07",24.4522
"2008-05-08",24.7078
"2008-05-09",23.4209
"2008-05-10",24.962
"2008-05-11",25.3857
"2008-05-12",24.6548
"2008-05-13",24.8632
"2008-05-14",24.5905
"2008-05-15",24.7266
"2008-05-16",25.0362
"2008-05-17",25.0744
"2008-05-18",25.4351
"2008-05-19",25.28
"2008-05-20",25.1023
"2008-05-21",25.3088
"2008-05-22",25.164
"2008-05-23",24.9976
"2008-05-24",24.8001
"2008-05-25",24.8056
"2008-05-26",24.8088
"2008-05-27",24.0026
"2008-05-28",24.8881
"2008-05-29",24.1158
"2008-05-30",24.28
"2008-05-31",23.9793
"2008-06-01",23.129
"2008-06-02",23.2105
"2008-06-03",22.8952
"2008-06-04",24.5162
"2008-06-05",24.7047
"2008-06-06",24.7942
"2008-06-07",24.408
"2008-06-08",24.6717
"2008-06-09",24.2883
"2008-06-10",24.8853
"2008-06-11",24.5196
"2008-06-12",24.4351
"2008-06-13",24.8482
"2008-06-14",24.4968
"2008-06-15",24.3705
"2008-06-16",24.6527
"2008-06-17",24.6804
"2008-06-18",24.0222
"2008-06-19",24.5378
"2008-06-20",24.7395
"2008-06-21",24.0444
"2008-06-22",23.8158
"2008-06-23",23.6558
"2008-06-24",24.0124
"2008-06-25",23.8306
"2008-06-26",24.038
"2008-06-27",24.4463
"2008-06-28",24.3736
"2008-06-29",24.4867
"2008-06-30",24.6374
"2008-07-01",22.8258
"2008-07-02",24.7147
"2008-07-03",24.8079
"2008-07-04",24.8451
"2008-07-05",24.9192
"2008-07-06",24.3821
"2008-07-07",23.8919
"2008-07-08",24.1298
"2008-07-09",24.7241
"2008-07-10",24.014
"2008-07-11",23.3265
"2008-07-12",24.0281
"2008-07-13",24.0264
"2008-07-14",24.0203
"2008-07-15",22.2842
"2008-07-16",23.3856
"2008-07-17",23.5818
"2008-07-18",23.511
"2008-07-19",23.0054
"2008-07-20",23.8249
"2008-07-21",23.781
"2008-07-22",23.766
"2008-07-23",22.865
"2008-07-24",23.3444
"2008-07-25",23.9255
"2008-07-26",23.4483
"2008-07-27",23.4617
"2008-07-28",22.6667
"2008-07-29",23.5003
"2008-07-30",23.6543
"2008-07-31",23.813
"2008-08-01",23.8334
"2008-08-02",24.2649
"2008-08-03",23.7086
"2008-08-04",24.1292
"2008-08-05",23.7537
"2008-08-06",24.0491
"2008-08-07",23.7431
"2008-08-08",23.8843
"2008-08-09",23.9733
"2008-08-10",24.3074
"2008-08-11",24.3302
"2008-08-12",23.9345
"2008-08-13",24.2762
"2008-08-14",23.9283
"2008-08-15",24.1133
"2008-08-16",23.8702
"2008-08-17",23.5981
"2008-08-18",24.1955
"2008-08-19",24.4988
"2008-08-20",24.3231
"2008-08-21",23.4622
"2008-08-22",24.2105
"2008-08-23",23.6845
"2008-08-24",23.7409
"2008-08-25",23.6292
"2008-08-26",23.1197
"2008-08-27",23.417
"2008-08-28",23.4262
"2008-08-29",22.8354
"2008-08-30",22.2941
"2008-08-31",22.9953
"2008-09-01",23.951
"2008-09-02",24.3206
"2008-09-03",24.6827
"2008-09-04",23.1602
"2008-09-05",23.1445
"2008-09-06",22.5626
"2008-09-07",22.6582
"2008-09-08",23.1671
"2008-09-09",24.4145
"2008-09-10",24.55
"2008-09-11",23.6732
"2008-09-12",24.2714
"2008-09-13",24.5134
"2008-09-14",24.3757
"2008-09-15",23.7473
"2008-09-16",24.4005
"2008-09-17",24.7953
"2008-09-18",24.503
"2008-09-19",23.9542
"2008-09-20",24.3778
"2008-09-21",24.2544
"2008-09-22",24.5057
"2008-09-23",24.3278
"2008-09-24",24.391
"2008-09-25",24.5589
"2008-09-26",24.5619
"2008-09-27",24.5726
