,"(deg C) Mean Temperature (ERA5) at Polonnaruwa, 2007-01-01 to 2025-12-31"
"2007-09-02",28.7798
"2007-09-03",29.0074
"2007-09-04",29.1788
"2007-09-05",28.6343
"2007-09-06",28.6273
"2007-09-07",28.8783
"2007-09-08",28.2836
"2007-09-09",26.4525
"2007-09-10",28.7975
"2007-09-11",28.9123
"2007-09-12",27.7732
"2007-09-13",28.449
"2007-09-14",27.8252
"2007-09-15",28.083
"2007-09-16",27.844
"2007-09-17",27.4998
"2007-09-18",27.7019
"2007-09-19",28.4562
"2007-09-20",28.1735
"2007-09-21",28.6311
"2007-09-22",28.2309
"2007-09-23",27.7594
"2007-09-24",28.6234
"2007-09-25",28.9941
"2007-09-26",29.3477
"2007-09-27",28.8104
"2007-09-28",28.4686
"2007-09-29",28.7297
"2007-09-30",28.6757
"2007-10-01",28.6777
"2007-10-02",27.7364
"2007-10-03",28.3715
"2007-10-04",28.7628
"2007-10-05",27.938
"2007-10-06",27.875
"2007-10-07",27.9013
"2007-10-08",27.24
"2007-10-09",28.5874
"2007-10-10",28.2716
"2007-10-11",26.5416
"2007-10-12",27.5868
"2007-10-13",27.8336
"2007-10-14",26.3598
"2007-10-15",26.4616
"2007-10-16",26.46
"2007-10-17",26.0127
"2007-10-18",25.6039
"2007-10-19",26.5606
"2007-10-20",24.6659
"2007-10-21",26.0847
"2007-10-22",24.4095
"2007-10-23",25.5879
"2007-10-24",26.2188
"2007-10-25",26.6551
"2007-10-26",25.119
"2007-10-27",24.7445
"2007-10-28",26.2881
"2007-10-29",26.9061
"2007-10-30",26.8288
"2007-10-31",27.9409
"2007-11-01",26.0927
"2007-11-02",25.6511
"2007-11-03",25.8197
"2007-11-04",26.2088
"2007-11-05",27.0308
"2007-11-06",25.6153
"2007-11-07",25.6063
"2007-11-08",26.1521
"2007-11-09",26.2548
"2007-11-10",26.2823
"2007-11-11",25.96
"2007-11-12",25.8528
"2007-11-13",25.9817
"2007-11-14",25.6966
"2007-11-15",25.7953
"2007-11-16",24.9336
"2007-11-17",23.9389
