,"(deg C) Mean Temperature (ERA5) at Matara, 2007-01-01 to 2025-12-31"
"2007-09-02",25.8408
"2007-09-03",25.5755
"2007-09-04",25.7671
"2007-09-05",24.805
"2007-09-06",24.5999
"2007-09-07",25.9261
"2007-09-08",25.2802
"2007-09-09",23.6981
"2007-09-10",25.9063
"2007-09-11",25.5663
"2007-09-12",24.9775
"2007-09-13",25.4822
"2007-09-14",25.5094
"2007-09-15",25.6621
"2007-09-16",25.5934
"2007-09-17",25.0948
"2007-09-18",25.7054
"2007-09-19",25.7128
"2007-09-20",25.3841
"2007-09-21",25.6601
"2007-09-22",25.4802
"2007-09-23",25.4704
"2007-09-24",25.6621
"2007-09-25",25.6597
"2007-09-26",26.0546
"2007-09-27",25.8822
"2007-09-28",25.2158
"2007-09-29",26.0048
"2007-09-30",26.0985
"2007-10-01",25.5548
"2007-10-02",24.5116
"2007-10-03",25.1544
"2007-10-04",25.1122
"2007-10-05",25.0373
"2007-10-06",24.9227
"2007-10-07",24.7789
"2007-10-08",24.7403
"2007-10-09",25.1967
"2007-10-10",25.2301
"2007-10-11",24.4639
"2007-10-12",25.181
"2007-10-13",25.3872
"2007-10-14",25.1342
"2007-10-15",24.9963
"2007-10-16",25.0636
"2007-10-17",24.5261
"2007-10-18",24.1602
"2007-10-19",25.2438
"2007-10-20",23.1593
"2007-10-21",24.1172
"2007-10-22",23.6281
"2007-10-23",24.9889
"2007-10-24",25.1527
"2007-10-25",25.2487
"2007-10-26",24.0641
"2007-10-27",25.0021
"2007-10-28",25.1486
"2007-10-29",25.2198
"2007-10-30",25.3642
"2007-10-31",26.4131
"2007-11-01",25.7878
"2007-11-02",24.8658
"2007-11-03",24.5588
"2007-11-04",25.255
"2007-11-05",25.6799
"2007-11-06",24.4569
"2007-11-07",24.2714
"2007-11-08",24.9011
"2007-11-09",25.2675
"2007-11-10",25.5486
"2007-11-11",25.5898
"2007-11-12",25.3312
"2007-11-13",25.4674
"2007-11-14",25.62
"2007-11-15",25.1309
"2007-11-16",25.0646
"2007-11-17",24.8982
"2007-11-18",25.5397
"2007-11-19",25.0683
"2007-11-20",25.3198
"2007-11-21",25.153
"2007-11-22",25.0765
"2007-11-23",25.3742
"2007-11-24",25.4904
"2007-11-25",25.5978
"2007-11-26",25.0362
"2007-11-27",25.4521
"2007-11-28",25.4005
"2007-11-29",25.0868
"2007-11-30",24.7957
"2007-12-01",25.4652
"2007-12-02",24.289
"2007-12-03",25.2489
"2007-12-04",25.4958
"2007-12-05",24.775
"2007-12-06",25.0232
"2007-12-07",24.5161
"2007-12-08",24.8527
"2007-12-09",24.7914
"2007-12-10",24.4732
"2007-12-11",25.0911
"2007-12-12",24.9672
"2007-12-13",24.3797
"2007-12-14",24.9817
"2007-12-15",24.4801
"2007-12-16",24.5532
"2007-12-17",24.8553
"2007-12-18",24.5215
"2007-12-19",24.4781
"2007-12-20",24.9997
"2007-12-21",24.7056
"2007-12-22",24.0884
"2007-12-23",23.6707
"2007-12-24",25.5368
"2007-12-25",24.8628
"2007-12-26",25.0095
"2007-12-27",24.5151
"2007-12-28",24.7723
"2007-12-29",24.5846
"2007-12-30",24.674
"2007-12-31",24.6565
"2008-01-01",24.4529
"2008-01-02",24.7
"2008-01-03",24.635
"2008-01-04",24.67
"2008-01-05",25.1339
"2008-01-06",24.5445
"2008-01-07",24.4272
"2008-01-08",24.4802
"2008-01-09",24.601
"2008-01-10",24.6074
"2008-01-11",24.3814
"2008-01-12",24.4589
"2008-01-13",24.1433
"2008-01-14",24.9813
"2008-01-15",24.6178
"2008-01-16",24.4319
"2008-01-17",24.5549
"2008-01-18",24.4008
"2008-01-19",24.5782
"2008-01-20",25.5418
"2008-01-21",25.2467
"2008-01-22",25.0244
"2008-01-23",25.3985
"2008-01-24",25.7116
"2008-01-25",25.6394
"2008-01-26",25.618
"2008-01-27",25.5952
"2008-01-28",25.4801
"2008-01-29",25.6885
"2008-01-30",25.6549
"2008-01-31",26.0124
"2008-02-01",25.6302
"2008-02-02",26.0804
"2008-02-03",26.0059
"2008-02-04",25.7628
"2008-02-05",26.2825
"2008-02-06",25.2393
"2008-02-07",24.6548
"2008-02-08",25.0925
"2008-02-09",25.789
"2008-02-10",26.2084
"2008-02-11",26.0318
"2008-02-12",25.4347
"2008-02-13",25.5203
"2008-02-14",25.3774
"2008-02-15",25.4054
"2008-02-16",25.2275
"2008-02-17",25.9385
"2008-02-18",25.553
"2008-02-19",25.5071
"2008-02-20",25.5698
"2008-02-21",25.1591
"2008-02-22",25.4178
"2008-02-23",25.1849
"2008-02-24",24.3458
"2008-02-25",24.1835
"2008-02-26",25.4454
"2008-02-27",24.773
"2008-02-28",25.2189
"2008-02-29",24.737
"2008-03-01",25.5257
"2008-03-02",25.7716
"2008-03-03",25.2091
"2008-03-04",25.2701
"2008-03-05",24.9731
"2008-03-06",24.6164
"2008-03-07",25.448
"2008-03-08",26.0865
"2008-03-09",24.3997
"2008-03-10",24.5461
"2008-03-11",24.4934
"2008-03-12",24.9357
"2008-03-13",25.5399
