,"(deg C) Mean Temperature (ERA5) at Kandy, 2007-01-01 to 2025-12-31"
"2007-09-02",24.7836
"2007-09-03",24.5885
"2007-09-04",24.7861
"2007-09-05",24.0872
"2007-09-06",23.8665
"2007-09-07",24.7534
"2007-09-08",24.4952
"2007-09-09",22.8435
"2007-09-10",24.9039
"2007-09-11",25.0658
"2007-09-12",24.1994
"2007-09-13",24.5347
"2007-09-14",24.0393
"2007-09-15",24.1528
"2007-09-16",24.2367
"2007-09-17",23.7692
"2007-09-18",24.2358
"2007-09-19",24.347
"2007-09-20",24.1147
"2007-09-21",24.5339
"2007-09-22",24.1051
"2007-09-23",23.9263
"2007-09-24",24.5435
"2007-09-25",24.8038
"2007-09-26",25.0748
"2007-09-27",24.8149
"2007-09-28",24.7902
"2007-09-29",24.5312
"2007-09-30",24.4748
"2007-10-01",24.3322
"2007-10-02",23.5053
"2007-10-03",24.1347
"2007-10-04",24.3744
"2007-10-05",23.9595
"2007-10-06",23.8708
"2007-10-07",23.7569
"2007-10-08",23.1413
"2007-10-09",24.1743
"2007-10-10",24.5135
"2007-10-11",23.2977
"2007-10-12",23.8343
"2007-10-13",24.1566
"2007-10-14",23.4105
"2007-10-15",23.4656
"2007-10-16",23.6663
"2007-10-17",23.4234
"2007-10-18",22.736
"2007-10-19",23.7827
"2007-10-20",21.516
"2007-10-21",22.8162
"2007-10-22",21.9683
"2007-10-23",23.1372
"2007-10-24",24.0339
"2007-10-25",24.1275
"2007-10-26",22.5854
"2007-10-27",22.6669
"2007-10-28",23.3151
"2007-10-29",23.2537
"2007-10-30",23.488
"2007-10-31",24.487
"2007-11-01",23.8473
"2007-11-02",23.3511
"2007-11-03",23.3652
"2007-11-04",23.5631
"2007-11-05",24.2677
"2007-11-06",23.0243
"2007-11-07",22.8398
"2007-11-08",23.5378
"2007-11-09",23.6437
"2007-11-10",23.9665
"2007-11-11",23.5841
"2007-11-12",23.6446
"2007-11-13",23.5141
"2007-11-14",23.299
"2007-11-15",23.6004
"2007-11-16",22.9052
"2007-11-17",21.7267
"2007-11-18",23.5573
"2007-11-19",22.9946
"2007-11-20",24.0437
"2007-11-21",23.5817
"2007-11-22",23.7046
"2007-11-23",23.7339
"2007-11-24",24.02
"2007-11-25",23.2255
"2007-11-26",22.9081
"2007-11-27",23.962
"2007-11-28",24.5484
"2007-11-29",23.5578
"2007-11-30",22.8215
"2007-12-01",23.3254
"2007-12-02",22.7913
"2007-12-03",23.1346
"2007-12-04",23.3548
"2007-12-05",23.1024
"2007-12-06",23.5729
"2007-12-07",22.7926
"2007-12-08",23.6177
"2007-12-09",23.1839
"2007-12-10",23.4177
"2007-12-11",23.5048
"2007-12-12",22.233
"2007-12-13",22.2225
"2007-12-14",23.4111
"2007-12-15",22.7949
"2007-12-16",22.5876
"2007-12-17",22.7956
"2007-12-18",23.1045
"2007-12-19",23.128
"2007-12-20",23.5278
"2007-12-21",23.6171
"2007-12-22",22.3021
"2007-12-23",22.0727
"2007-12-24",23.4134
"2007-12-25",22.3844
"2007-12-26",21.7933
"2007-12-27",22.1524
"2007-12-28",22.3985
"2007-12-29",22.2891
"2007-12-30",22.1844
"2007-12-31",21.9396
"2008-01-01",22.026
"2008-01-02",22.3767
"2008-01-03",22.1892
"2008-01-04",23.7326
"2008-01-05",23.3555
"2008-01-06",22.7792
"2008-01-07",22.3682
"2008-01-08",22.1709
"2008-01-09",22.6406
"2008-01-10",23.3218
"2008-01-11",23.0345
"2008-01-12",22.6544
"2008-01-13",22.6777
"2008-01-14",22.5368
"2008-01-15",22.0856
"2008-01-16",22.3606
"2008-01-17",22.1702
"2008-01-18",22.089
"2008-01-19",21.9184
"2008-01-20",23.4241
"2008-01-21",23.5587
"2008-01-22",23.2662
"2008-01-23",22.9217
"2008-01-24",23.8546
"2008-01-25",23.8902
"2008-01-26",23.963
"2008-01-27",23.944
"2008-01-28",23.5559
"2008-01-29",23.9341
"2008-01-30",24.2903
"2008-01-31",24.1277
"2008-02-01",24.1881
"2008-02-02",24.1074
"2008-02-03",23.8354
"2008-02-04",23.4103
"2008-02-05",24.5334
"2008-02-06",23.3129
"2008-02-07",22.8854
"2008-02-08",23.1733
"2008-02-09",23.9727
"2008-02-10",24.1378
"2008-02-11",24.3693
"2008-02-12",23.7839
"2008-02-13",23.7433
"2008-02-14",23.853
"2008-02-15",23.9733
"2008-02-16",23.8535
"2008-02-17",23.497
"2008-02-18",23.2684
"2008-02-19",23.4894
"2008-02-20",24.0918
"2008-02-21",23.7458
"2008-02-22",23.3614
"2008-02-23",22.0841
"2008-02-24",21.1696
"2008-02-25",21.0526
"2008-02-26",23.1542
"2008-02-27",23.4646
"2008-02-28",23.4433
"2008-02-29",22.7744
"2008-03-01",23.8548
"2008-03-02",24.3216
"2008-03-03",23.6089
"2008-03-04",23.5221
"2008-03-05",23.5351
"2008-03-06",22.9148
"2008-03-07",23.5079
"2008-03-08",23.5762
"2008-03-09",22.7602
"2008-03-10",23.1701
"2008-03-11",22.5789
"2008-03-12",22.8936
"2008-03-13",23.6458
"2008-03-14",23.4834
"2008-03-15",23.2252
"2008-03-16",22.5128
"2008-03-17",23.5224
"2008-03-18",22.5933
"2008-03-19",23.3109
"2008-03-20",23.9761
"2008-03-21",24.6874
"2008-03-22",24.8772
"2008-03-23",25.2746
"2008-03-24",23.2824
"2008-03-25",24.4465
