,"(mm) Precipitation (CHIRPS) at Matara, 2007-01-01 to 2025-12-31"
"2010-03-11",0
"2010-03-12",0
"2010-03-13",10.4425
"2010-03-14",11.0987
"2010-03-15",0.0239
"2010-03-16",2.7675
"2010-03-17",0
"2010-03-18",9.1391
"2010-03-19",0.0264
"2010-03-20",0.4978
"2010-03-21",31.7461
"2010-03-22",0
"2010-03-23",1.3175
"2010-03-24",0.4572
"2010-03-25",0
"2010-03-26",15.5989
"2010-03-27",21.5133
"2010-03-28",3.1352
"2010-03-29",26.5857
"2010-03-30",7.9904
"2010-03-31",0.0471
"2010-04-01",1.119
"2010-04-02",0
"2010-04-03",0
"2010-04-04",4.3476
"2010-04-05",13.2353
"2010-04-06",12.956
"2010-04-07",11.1674
"2010-04-08",12.8008
"2010-04-09",4.9087
"2010-04-10",17.6086
"2010-04-11",10.7769
"2010-04-12",3.3731
"2010-04-13",6.2893
"2010-04-14",20.6718
"2010-04-15",0.7749
"2010-04-16",12.1596
"2010-04-17",11.3859
"2010-04-18",13.3024
"2010-04-19",3.0588
"2010-04-20",11.0804
"2010-04-21",28.2703
"2010-04-22",15.7534
"2010-04-23",28.9291
"2010-04-24",17.1624
"2010-04-25",6.0186
"2010-04-26",21.0928
"2010-04-27",0.7576
"2010-04-28",0.7236
"2010-04-29",6.3649
"2010-04-30",0.6141
"2010-05-01",0
"2010-05-02",6.6052
"2010-05-03",2.2457
"2010-05-04",18.3079
"2010-05-05",42.8377
"2010-05-06",31.7939
"2010-05-07",18.3956
"2010-05-08",19.434
"2010-05-09",33.4511
"2010-05-10",0
"2010-05-11",17.3163
"2010-05-12",12.1122
"2010-05-13",2.637
"2010-05-14",29.6721
"2010-05-15",6.2323
"2010-05-16",53.4469
"2010-05-17",54.5105
"2010-05-18",44.8747
"2010-05-19",46.4662
"2010-05-20",41.5453
"2010-05-21",43.9318
"2010-05-22",0
"2010-05-23",33.1589
"2010-05-24",8.5752
"2010-05-25",29.3368
"2010-05-26",0
"2010-05-27",0
"2010-05-28",0
"2010-05-29",0
"2010-05-30",0
"2010-05-31",0
"2010-06-01",0
"2010-06-02",0
"2010-06-03",1.3605
"2010-06-04",0
"2010-06-05",16.9443
"2010-06-06",24.2676
"2010-06-07",18.4405
"2010-06-08",44.3578
"2010-06-09",10.6246
"2010-06-10",20.991
"2010-06-11",96.6089
"2010-06-12",0.3348
"2010-06-13",0
"2010-06-14",0
"2010-06-15",13.9349
"2010-06-16",7.2604
"2010-06-17",0
"2010-06-18",0
"2010-06-19",0.386
"2010-06-20",0
"2010-06-21",11.9007
"2010-06-22",0.5192
"2010-06-23",62.4492
"2010-06-24",2.0612
"2010-06-25",0
"2010-06-26",0
"2010-06-27",0
"2010-06-28",0.2686
"2010-06-29",0
"2010-06-30",0
"2010-07-01",3.6084
"2010-07-02",4.968
"2010-07-03",0
"2010-07-04",16.6509
"2010-07-05",29.3408
"2010-07-06",40.7233
"2010-07-07",4.3118
"2010-07-08",8.3062
"2010-07-09",1.6615
"2010-07-10",0
"2010-07-11",11.8844
"2010-07-12",0.7826
"2010-07-13",6.4415
"2010-07-14",0.5738
"2010-07-15",1.0844
"2010-07-16",9.0148
"2010-07-17",4.9013
"2010-07-18",11.2783
"2010-07-19",27.5109
"2010-07-20",8.8941
"2010-07-21",0
"2010-07-22",5.1969
"2010-07-23",0
"2010-07-24",0
"2010-07-25",0
"2010-07-26",0.6997
"2010-07-27",1.1408
"2010-07-28",1.8676
"2010-07-29",3.5959
"2010-07-30",0
"2010-07-31",0
"2010-08-01",0
"2010-08-02",0.0351
"2010-08-03",0.4396
"2010-08-04",0.0006
"2010-08-05",0
"2010-08-06",0
"2010-08-07",0
"2010-08-08",0
"2010-08-09",0
"2010-08-10",0
"2010-08-11",0
"2010-08-12",0.1175
"2010-08-13",0
"2010-08-14",8.9155
"2010-08-15",57.8162
"2010-08-16",1.6939
"2010-08-17",0
"2010-08-18",0
"2010-08-19",33.5819
"2010-08-20",27.9783
"2010-08-21",34.3013
"2010-08-22",0
"2010-08-23",0
"2010-08-24",10.9153
"2010-08-25",0
"2010-08-26",4.902
"2010-08-27",0
"2010-08-28",0
"2010-08-29",22.155
"2010-08-30",1.8096
"2010-08-31",0.2725
"2010-09-01",0
"2010-09-02",0.1107
"2010-09-03",4.3204
"2010-09-04",0.0472
"2010-09-05",0
"2010-09-06",0
"2010-09-07",0
"2010-09-08",0
"2010-09-09",2.3662
"2010-09-10",26.299
"2010-09-11",0.0444
"2010-09-12",6.1934
"2010-09-13",6.2768
"2010-09-14",10.3095
"2010-09-15",0
"2010-09-16",0
"2010-09-17",0
"2010-09-18",0
"2010-09-19",0
"2010-09-20",3.6453
"2010-09-21",13.8466
"2010-09-22",35.5249
"2010-09-23",24.7417
"2010-09-24",27.7015
"2010-09-25",0.5023
"2010-09-26",13.8047
"2010-09-27",5.9903
"2010-09-28",29.1457
"2010-09-29",19.8544
"2010-09-30",6.4548
"2010-10-01",39.5438
"2010-10-02",10.0894
"2010-10-03",12.9627
"2010-10-04",0
"2010-10-05",0
"2010-10-06",3.6092
"2010-10-07",23.2373
"2010-10-08",27.7198
"2010-10-09",5.9567
"2010-10-10",46.4104
"2010-10-11",0.5686
"2010-10-12",0.0732
"2010-10-13",0
"2010-10-14",1.9595
"2010-10-15",0
"2010-10-16",0
"2010-10-17",0
"2010-10-18",0
"2010-10-19",0
"2010-10-20",0
"2010-10-21",0
"2010-10-22",0
"2010-10-23",0
"2010-10-24",0
"2010-10-25",0
"2010-10-26",0.0705
"2010-10-27",20.3573
"2010-10-28",33.6633
"2010-10-29",12.2314
"2010-10-30",0
"2010-10-31",3.7513
"2010-11-01",11.6498
"2010-11-02",3.8065
"2010-11-03",3.074
"2010-11-04",16.0402
"2010-11-05",6.8891
"2010-11-06",41.1484
"2010-11-07",20.3196
"2010-11-08",0
"2010-11-09",2.9729
"2010-11-10",39.8874
"2010-11-11",8.8309
"2010-11-12",3.298
"2010-11-13",23.0667
"2010-11-14",0.2162
"2010-11-15",19.9299
"2010-11-16",4.5987
"2010-11-17",10.6881
"2010-11-18",2.0594
"2010-11-19",6.6857
"2010-11-20",28.1232
"2010-11-21",26.6821
"2010-11-22",72.6284
"2010-11-23",25.6224
"2010-11-24",25.3025
"2010-11-25",5.8758
"2010-11-26",12.4412
"2010-11-27",0
"2010-11-28",22.2921
"2010-11-29",1.4744
"2010-11-30",23.1776
"2010-12-01",40.0702
"2010-12-02",29.1468
"2010-12-03",34.1908
"2010-12-04",6.5554
"2010-12-05",0.7616
"2010-12-06",9.3593
"2010-12-07",59.1502
"2010-12-08",12.0298
"2010-12-09",48.1948
"2010-12-10",0.4405
"2010-12-11",0
"2010-12-12",0
"2010-12-13",0
"2010-12-14",0
"2010-12-15",0
"2010-12-16",2.2329
"2010-12-17",0.9223
"2010-12-18",4.3108
"2010-12-19",0
"2010-12-20",3.3935
"2010-12-21",16.0469
"2010-12-22",12.0939
"2010-12-23",33.8114
"2010-12-24",24.9647
"2010-12-25",5.9514
"2010-12-26",3.3343
"2010-12-27",2.6757
"2010-12-28",2.4196
"2010-12-29",2.0072
"2010-12-30",16.7527
"2010-12-31",7.118
"2011-01-01",31.6201
"2011-01-02",9.8212
"2011-01-03",6.2719
"2011-01-04",7.3478
"2011-01-05",33.6894
"2011-01-06",2.2561
"2011-01-07",19.4472
"2011-01-08",23.5194
"2011-01-09",42.5751
"2011-01-10",23.4669
"2011-01-11",22.4089
"2011-01-12",24.8772
"2011-01-13",0
"2011-01-14",0
"2011-01-15",0
"2011-01-16",0
"2011-01-17",0
"2011-01-18",0
"2011-01-19",0
"2011-01-20",0
"2011-01-21",0
"2011-01-22",0
"2011-01-23",0
"2011-01-24",0
"2011-01-25",0
"2011-01-26",17.3512
"2011-01-27",3.2975
"2011-01-28",30.5781
"2011-01-29",6.5374
"2011-01-30",11.9497
"2011-01-31",14.3599
"2011-02-01",95.7322
"2011-02-02",25.7833
"2011-02-03",0.8485
"2011-02-04",0.2827
"2011-02-05",6.1081
"2011-02-06",16.3079
"2011-02-07",51.2661
"2011-02-08",10.8312
"2011-02-09",9.8789
"2011-02-10",9.3957
"2011-02-11",2.4787
"2011-02-12",0
"2011-02-13",0
"2011-02-14",2.0473
"2011-02-15",9.3791
"2011-02-16",0.1233
"2011-02-17",0
"2011-02-18",0
"2011-02-19",4.0966
"2011-02-20",1.0062
"2011-02-21",5.6279
"2011-02-22",2.9846
"2011-02-23",0
"2011-02-24",0.8909
"2011-02-25",12.023
"2011-02-26",22.3464
"2011-02-27",0.3553
"2011-02-28",7.1454
"2011-03-01",0.5622
"2011-03-02",3.357
"2011-03-03",30.455
"2011-03-04",0
"2011-03-05",4.3918
"2011-03-06",0
"2011-03-07",0.1267
"2011-03-08",0
"2011-03-09",0
"2011-03-10",0
"2011-03-11",0
"2011-03-12",1.9
"2011-03-13",8.8066
"2011-03-14",1.5551
"2011-03-15",12.5859
"2011-03-16",21.7249
"2011-03-17",0.6519
"2011-03-18",0.0064
"2011-03-19",0.9965
"2011-03-20",6.4184
"2011-03-21",3.0567
"2011-03-22",6.5539
"2011-03-23",8.2204
"2011-03-24",12.0666
"2011-03-25",12.0178
"2011-03-26",12.8176
"2011-03-27",14.2732
"2011-03-28",35.4093
"2011-03-29",28.1635
"2011-03-30",8.7602
"2011-03-31",0
"2011-04-01",0
"2011-04-02",0.823
"2011-04-03",0
"2011-04-04",0
"2011-04-05",0
"2011-04-06",0
"2011-04-07",1.1815
"2011-04-08",4.8662
"2011-04-09",13.6566
"2011-04-10",2.3199
"2011-04-11",15.5184
"2011-04-12",13.7518
"2011-04-13",6.709
"2011-04-14",7.5306
"2011-04-15",12.0587
"2011-04-16",6.4538
"2011-04-17",11.4452
"2011-04-18",6.042
"2011-04-19",21.6825
"2011-04-20",7.2429
"2011-04-21",13.2722
"2011-04-22",14.1683
"2011-04-23",13.6091
"2011-04-24",9.9874
"2011-04-25",19.585
"2011-04-26",20.9314
"2011-04-27",33.0424
"2011-04-28",37.2025
"2011-04-29",11.8091
"2011-04-30",0.9554
"2011-05-01",8.8039
"2011-05-02",0.0525
"2011-05-03",0
"2011-05-04",4.655
"2011-05-05",0
"2011-05-06",0
"2011-05-07",0.7878
"2011-05-08",0
"2011-05-09",0
"2011-05-10",0
"2011-05-11",0
"2011-05-12",0
"2011-05-13",0.2994
"2011-05-14",0
"2011-05-15",0
"2011-05-16",0
"2011-05-17",4.0244
"2011-05-18",0.9188
"2011-05-19",0
"2011-05-20",1.9497
"2011-05-21",2.7076
"2011-05-22",0
"2011-05-23",0
"2011-05-24",0
"2011-05-25",45.183
"2011-05-26",20.6052
"2011-05-27",58.291
"2011-05-28",3.8522
"2011-05-29",0
"2011-05-30",0
"2011-05-31",2.6067
"2011-06-01",16.2545
"2011-06-02",13.736
"2011-06-03",0
"2011-06-04",0
"2011-06-05",0
"2011-06-06",8.0029
"2011-06-07",0
"2011-06-08",0
"2011-06-09",0
"2011-06-10",0
"2011-06-11",0
"2011-06-12",0
"2011-06-13",3.8663
"2011-06-14",0
"2011-06-15",30.702
"2011-06-16",0
"2011-06-17",0
"2011-06-18",0
"2011-06-19",0
"2011-06-20",0
"2011-06-21",0
"2011-06-22",0
"2011-06-23",0
"2011-06-24",0
"2011-06-25",0
"2011-06-26",0
"2011-06-27",0
"2011-06-28",0.1354
"2011-06-29",0
"2011-06-30",0
"2011-07-01",0.1012
"2011-07-02",3.0737
"2011-07-03",0
"2011-07-04",0.0776
"2011-07-05",0.3176
"2011-07-06",4.9574
"2011-07-07",0
"2011-07-08",0
"2011-07-09",8.4236
"2011-07-10",0
"2011-07-11",13.7046
"2011-07-12",0
"2011-07-13",0.2706
"2011-07-14",5.6732
"2011-07-15",3.2486
"2011-07-16",3.0589
"2011-07-17",0.689
"2011-07-18",0
"2011-07-19",0
"2011-07-20",21.5485
"2011-07-21",4.238
"2011-07-22",2.5722
"2011-07-23",1.5184
"2011-07-24",20.5017
"2011-07-25",22.6134
"2011-07-26",16.5316
"2011-07-27",0
"2011-07-28",0
"2011-07-29",0.5556
"2011-07-30",0.9616
"2011-07-31",1.3384
"2011-08-01",0
"2011-08-02",0
"2011-08-03",8.3838
"2011-08-04",50.7536
"2011-08-05",5.1235
"2011-08-06",0.6988
"2011-08-07",0
"2011-08-08",2.5599
"2011-08-09",0
"2011-08-10",0.1466
"2011-08-11",0
"2011-08-12",0
"2011-08-13",0.0056
"2011-08-14",5.353
"2011-08-15",24.7987
"2011-08-16",0
"2011-08-17",10.6261
"2011-08-18",0
"2011-08-19",0
"2011-08-20",0
"2011-08-21",0
"2011-08-22",0
"2011-08-23",56.756
"2011-08-24",9.0306
"2011-08-25",23.6402
"2011-08-26",0
"2011-08-27",0
"2011-08-28",20.9343
"2011-08-29",0
"2011-08-30",27.0013
"2011-08-31",10.8126
"2011-09-01",0
"2011-09-02",17.1605
"2011-09-03",0
"2011-09-04",0
"2011-09-05",0.7471
"2011-09-06",7.4045
"2011-09-07",2.8613
"2011-09-08",0
"2011-09-09",1.1381
"2011-09-10",0
"2011-09-11",31.8994
"2011-09-12",42.4479
"2011-09-13",28.7929
"2011-09-14",9.6733
"2011-09-15",0
"2011-09-16",0
"2011-09-17",0.7484
"2011-09-18",0
"2011-09-19",0
"2011-09-20",0
"2011-09-21",0
"2011-09-22",0.4227
"2011-09-23",0
"2011-09-24",0
"2011-09-25",0
"2011-09-26",0.8902
"2011-09-27",0
"2011-09-28",0
"2011-09-29",0
"2011-09-30",0.2783
"2011-10-01",0
"2011-10-02",0
"2011-10-03",0.1649
"2011-10-04",5.9587
"2011-10-05",9.2495
"2011-10-06",0
"2011-10-07",0
"2011-10-08",0.0309
"2011-10-09",0.1476
"2011-10-10",8.2674
"2011-10-11",0.0375
"2011-10-12",3.8752
"2011-10-13",6.8732
"2011-10-14",3.0438
"2011-10-15",0
"2011-10-16",0.0114
"2011-10-17",0
"2011-10-18",0
"2011-10-19",10.037
"2011-10-20",15.4618
"2011-10-21",16.1731
"2011-10-22",14.5128
"2011-10-23",20.9092
"2011-10-24",15.7243
"2011-10-25",20.4591
"2011-10-26",5.4955
"2011-10-27",13.9024
"2011-10-28",31.6997
"2011-10-29",39.9125
"2011-10-30",29.5686
"2011-10-31",7.0633
"2011-11-01",17.5059
"2011-11-02",1.6071
"2011-11-03",6.947
"2011-11-04",4.2175
"2011-11-05",15.6332
"2011-11-06",11.6696
"2011-11-07",10.993
"2011-11-08",9.0511
"2011-11-09",0.1535
"2011-11-10",1.1332
"2011-11-11",0
"2011-11-12",3.8832
"2011-11-13",7.4456
"2011-11-14",4.7606
"2011-11-15",28.4509
"2011-11-16",1.3173
"2011-11-17",17.7891
"2011-11-18",17.4853
"2011-11-19",8.9727
"2011-11-20",5.386
"2011-11-21",8.2947
"2011-11-22",1.5389
"2011-11-23",39.3365
"2011-11-24",41.6672
"2011-11-25",13.0614
"2011-11-26",24.0412
"2011-11-27",25.3714
"2011-11-28",19.5595
"2011-11-29",2.5623
"2011-11-30",12.2537
"2011-12-01",4.1449
"2011-12-02",1.3205
"2011-12-03",0.1111
"2011-12-04",0.3231
"2011-12-05",3.5459
"2011-12-06",5.8513
"2011-12-07",0
"2011-12-08",0
"2011-12-09",2.0809
"2011-12-10",5.6828
"2011-12-11",10.8312
"2011-12-12",11.2594
"2011-12-13",4.4009
"2011-12-14",16.7743
"2011-12-15",9.147
"2011-12-16",11.995
"2011-12-17",0.2298
"2011-12-18",4.6419
"2011-12-19",14.0425
"2011-12-20",19.7353
"2011-12-21",8.8971
"2011-12-22",17.2551
"2011-12-23",19.7164
"2011-12-24",0.322
"2011-12-25",0
"2011-12-26",0
"2011-12-27",4.2948
"2011-12-28",0.4692
"2011-12-29",0
"2011-12-30",0
"2011-12-31",0
"2012-01-01",0
"2012-01-02",0
"2012-01-03",0
"2012-01-04",0.5239
"2012-01-05",3.3072
"2012-01-06",21.2062
"2012-01-07",0.9629
"2012-01-08",4.044
"2012-01-09",10.2019
"2012-01-10",0
"2012-01-11",4.629
"2012-01-12",0.1579
"2012-01-13",0
"2012-01-14",0.0498
"2012-01-15",0
"2012-01-16",0
"2012-01-17",1.5525
"2012-01-18",0
"2012-01-19",0
"2012-01-20",0
"2012-01-21",0.4333
"2012-01-22",5.3889
"2012-01-23",0.2559
"2012-01-24",0
"2012-01-25",0
"2012-01-26",0
"2012-01-27",0
"2012-01-28",0.838
"2012-01-29",0.3808
"2012-01-30",0.1005
"2012-01-31",0
"2012-02-01",0
"2012-02-02",0
"2012-02-03",0.9944
"2012-02-04",2.9281
"2012-02-05",16.3565
"2012-02-06",4.3036
"2012-02-07",9.2359
"2012-02-08",10.1825
"2012-02-09",0
"2012-02-10",6.876
"2012-02-11",2.6741
"2012-02-12",0
"2012-02-13",2.1066
"2012-02-14",21.6695
"2012-02-15",14.0508
"2012-02-16",19.2206
"2012-02-17",0.5283
"2012-02-18",0
"2012-02-19",2.137
"2012-02-20",0
"2012-02-21",1.7134
"2012-02-22",1.2067
"2012-02-23",0
"2012-02-24",5.3683
"2012-02-25",0
"2012-02-26",0
"2012-02-27",26.8794
"2012-02-28",5.8103
"2012-02-29",0.6127
"2012-03-01",1.2253
"2012-03-02",0
"2012-03-03",0
"2012-03-04",0
"2012-03-05",0
"2012-03-06",0
"2012-03-07",27.5731
"2012-03-08",0
"2012-03-09",0
"2012-03-10",5.2722
"2012-03-11",1.4493
"2012-03-12",8.1862
"2012-03-13",5.8402
"2012-03-14",8.519
"2012-03-15",17.1791
"2012-03-16",9.7114
"2012-03-17",3.1778
"2012-03-18",0.8004
"2012-03-19",1.8125
"2012-03-20",0
"2012-03-21",0
"2012-03-22",0
"2012-03-23",0
"2012-03-24",0.113
"2012-03-25",0
"2012-03-26",0
"2012-03-27",1.2373
"2012-03-28",3.8887
"2012-03-29",18.957
"2012-03-30",0
"2012-03-31",0
"2012-04-01",2.0646
"2012-04-02",0.1474
"2012-04-03",0.3738
"2012-04-04",4.8319
"2012-04-05",0
"2012-04-06",0.3225
"2012-04-07",2.7124
"2012-04-08",14.7887
"2012-04-09",14.6128
"2012-04-10",15.8916
"2012-04-11",24.9401
"2012-04-12",25.8366
"2012-04-13",2.7504
"2012-04-14",35.9197
"2012-04-15",33.1132
"2012-04-16",16.981
"2012-04-17",5.8958
"2012-04-18",10.7649
"2012-04-19",2.2156
"2012-04-20",16.2176
"2012-04-21",32.7017
"2012-04-22",0.5439
"2012-04-23",30.3631
"2012-04-24",13.523
"2012-04-25",0
"2012-04-26",0
"2012-04-27",0
"2012-04-28",15.7736
"2012-04-29",13.7352
"2012-04-30",10.6235
"2012-05-01",0
"2012-05-02",0
"2012-05-03",0
"2012-05-04",0
"2012-05-05",0
"2012-05-06",0
"2012-05-07",0
"2012-05-08",0
"2012-05-09",0.2969
"2012-05-10",0
"2012-05-11",0
"2012-05-12",0
"2012-05-13",0
"2012-05-14",0
"2012-05-15",0
"2012-05-16",0
"2012-05-17",0
"2012-05-18",0
"2012-05-19",0.0472
"2012-05-20",0
"2012-05-21",2.3716
"2012-05-22",0
"2012-05-23",10.0685
"2012-05-24",24.6075
"2012-05-25",51.9005
"2012-05-26",30.8634
"2012-05-27",0
"2012-05-28",8.5626
"2012-05-29",0
"2012-05-30",0
"2012-05-31",0
"2012-06-01",9.342
"2012-06-02",0
"2012-06-03",4.1471
"2012-06-04",0
"2012-06-05",4.1255
"2012-06-06",12.9052
"2012-06-07",0.8
"2012-06-08",9.075
"2012-06-09",5.8481
"2012-06-10",7.1117
"2012-06-11",7.7798
"2012-06-12",5.5106
"2012-06-13",22.898
"2012-06-14",0
"2012-06-15",0
"2012-06-16",0
"2012-06-17",12.1818
"2012-06-18",17.2539
"2012-06-19",0
"2012-06-20",0.947
"2012-06-21",21.1937
"2012-06-22",0
"2012-06-23",10.6422
"2012-06-24",6.7039
"2012-06-25",1.4359
"2012-06-26",0
"2012-06-27",0.7888
"2012-06-28",0
"2012-06-29",0
"2012-06-30",18.9848
"2012-07-01",14.0643
"2012-07-02",33.87
"2012-07-03",0
"2012-07-04",0.074
"2012-07-05",0
"2012-07-06",0
"2012-07-07",0
"2012-07-08",6.6687
"2012-07-09",0.1615
"2012-07-10",6.5799
"2012-07-11",0
"2012-07-12",0.0808
"2012-07-13",10.7459
"2012-07-14",21.1428
"2012-07-15",22.2466
"2012-07-16",0.8948
"2012-07-17",0
"2012-07-18",0
"2012-07-19",0
"2012-07-20",0.0349
"2012-07-21",0.7321
"2012-07-22",0
"2012-07-23",0
"2012-07-24",0
"2012-07-25",0
"2012-07-26",0
"2012-07-27",0
"2012-07-28",0
"2012-07-29",0
"2012-07-30",0
"2012-07-31",0
"2012-08-01",0
"2012-08-02",0
"2012-08-03",0.2665
"2012-08-04",3.8079
"2012-08-05",3.613
"2012-08-06",0.1683
"2012-08-07",0.5859
"2012-08-08",0
"2012-08-09",0
"2012-08-10",1.136
"2012-08-11",0.2202
"2012-08-12",0
"2012-08-13",1.0485
"2012-08-14",0
"2012-08-15",0
"2012-08-16",2.7507
"2012-08-17",20.5118
"2012-08-18",0.4283
"2012-08-19",0
"2012-08-20",0.4215
"2012-08-21",14.3801
"2012-08-22",0.6358
"2012-08-23",0.4111
"2012-08-24",20.1286
"2012-08-25",14.1458
"2012-08-26",1.3793
"2012-08-27",48.331
"2012-08-28",24.9547
"2012-08-29",68.4824
"2012-08-30",2.9122
"2012-08-31",6.8134
"2012-09-01",9.3968
"2012-09-02",0.2008
"2012-09-03",7.4238
"2012-09-04",6.829
"2012-09-05",0
"2012-09-06",0
"2012-09-07",22.0889
"2012-09-08",25.9537
"2012-09-09",6.7864
"2012-09-10",9.6371
"2012-09-11",0
"2012-09-12",0
"2012-09-13",11.7747
"2012-09-14",1.3442
"2012-09-15",4.8678
"2012-09-16",8.2412
"2012-09-17",5.8788
"2012-09-18",22.0825
"2012-09-19",0
"2012-09-20",4.4557
"2012-09-21",19.609
"2012-09-22",100.4355
"2012-09-23",20.6206
"2012-09-24",30.8588
"2012-09-25",0.2082
"2012-09-26",0
"2012-09-27",3.4374
"2012-09-28",1.7819
"2012-09-29",0
"2012-09-30",0
"2012-10-01",0
"2012-10-02",0
"2012-10-03",0
"2012-10-04",0
"2012-10-05",0
"2012-10-06",0
"2012-10-07",1.6122
"2012-10-08",3.8626
"2012-10-09",23.3292
"2012-10-10",20.9837
"2012-10-11",0
"2012-10-12",0.3024
"2012-10-13",0
"2012-10-14",37.2332
"2012-10-15",7.2463
"2012-10-16",34.0494
"2012-10-17",25.0743
"2012-10-18",38.1689
"2012-10-19",9.2721
"2012-10-20",10.584
"2012-10-21",21.8761
"2012-10-22",18.9329
"2012-10-23",36.2636
"2012-10-24",12.5044
"2012-10-25",8.0349
"2012-10-26",2.5657
"2012-10-27",12.379
"2012-10-28",37.0951
"2012-10-29",43.1932
"2012-10-30",49.6553
"2012-10-31",42.4792
"2012-11-01",42.3187
"2012-11-02",6.8581
"2012-11-03",23.326
"2012-11-04",2.25
"2012-11-05",0
"2012-11-06",15.5925
"2012-11-07",3.7773
"2012-11-08",4.876
"2012-11-09",6.1464
"2012-11-10",21.0181
"2012-11-11",13.9114
"2012-11-12",15.1342
"2012-11-13",16.8081
"2012-11-14",1.8515
"2012-11-15",13.9114
"2012-11-16",9.3267
"2012-11-17",3.7492
"2012-11-18",0
"2012-11-19",0
"2012-11-20",14.8934
"2012-11-21",0
"2012-11-22",0
"2012-11-23",24.9898
"2012-11-24",26.3007
"2012-11-25",23.4233
"2012-11-26",17.9302
"2012-11-27",0.1761
"2012-11-28",8.0418
"2012-11-29",28.3626
"2012-11-30",11.9301
"2012-12-01",0
"2012-12-02",0
"2012-12-03",0
"2012-12-04",0.0827
"2012-12-05",0
"2012-12-06",16.9524
"2012-12-07",0
"2012-12-08",4.9307
"2012-12-09",7.3242
"2012-12-10",0
"2012-12-11",0
"2012-12-12",0.0875
"2012-12-13",0
"2012-12-14",4.6846
"2012-12-15",8.8379
"2012-12-16",18.4122
"2012-12-17",69.8709
"2012-12-18",43.6753
"2012-12-19",34.4536
"2012-12-20",0
"2012-12-21",3.9603
"2012-12-22",28.3786
"2012-12-23",13.1825
"2012-12-24",0
"2012-12-25",19.2936
"2012-12-26",22.8269
"2012-12-27",1.1834
"2012-12-28",0
"2012-12-29",5.268
"2012-12-30",7.722
"2012-12-31",7.5095
"2013-01-01",1.2678
"2013-01-02",4.6812
"2013-01-03",14.9318
"2013-01-04",17.4857
"2013-01-05",11.9397
"2013-01-06",7.6824
"2013-01-07",45.2879
"2013-01-08",0
"2013-01-09",3.2991
"2013-01-10",9.9641
"2013-01-11",12.9838
"2013-01-12",1.6543
"2013-01-13",3.1349
"2013-01-14",0
"2013-01-15",0
"2013-01-16",0
"2013-01-17",0
"2013-01-18",0
"2013-01-19",0
"2013-01-20",3.8505
"2013-01-21",0
"2013-01-22",0
"2013-01-23",2.393
"2013-01-24",5.858
"2013-01-25",4.8312
"2013-01-26",0
"2013-01-27",0
"2013-01-28",0
"2013-01-29",0
"2013-01-30",0
"2013-01-31",0
"2013-02-01",0
"2013-02-02",0
"2013-02-03",0
"2013-02-04",3.3614
"2013-02-05",0
"2013-02-06",25.373
"2013-02-07",39.2118
"2013-02-08",12.2021
"2013-02-09",10.4346
"2013-02-10",0.3393
"2013-02-11",13.8682
"2013-02-12",39.3183
"2013-02-13",48.5359
"2013-02-14",9.265
"2013-02-15",9.551
"2013-02-16",2.6588
"2013-02-17",9.3407
"2013-02-18",9.7879
"2013-02-19",10.9332
"2013-02-20",2.7158
"2013-02-21",1.0321
"2013-02-22",0
"2013-02-23",0
"2013-02-24",0
"2013-02-25",0
"2013-02-26",0
"2013-02-27",0
"2013-02-28",3.8649
"2013-03-01",9.8023
"2013-03-02",0.8274
"2013-03-03",0.4443
"2013-03-04",19.4628
"2013-03-05",0.5366
"2013-03-06",2.0315
"2013-03-07",4.4497
"2013-03-08",9.8571
"2013-03-09",21.9554
"2013-03-10",1.733
"2013-03-11",12.3467
"2013-03-12",7.8584
"2013-03-13",0.7753
"2013-03-14",5.4745
"2013-03-15",8.7091
"2013-03-16",6.2106
"2013-03-17",3.6564
"2013-03-18",14.9711
"2013-03-19",6.9702
"2013-03-20",10.7881
"2013-03-21",9.1105
"2013-03-22",0.0965
"2013-03-23",11.6122
"2013-03-24",7.2388
"2013-03-25",33.8365
"2013-03-26",13.9442
"2013-03-27",8.3088
"2013-03-28",2.0666
"2013-03-29",3.0474
"2013-03-30",0
"2013-03-31",2.2193
"2013-04-01",8.7917
"2013-04-02",1.7976
"2013-04-03",2.6452
"2013-04-04",10.527
"2013-04-05",0.9483
"2013-04-06",0
"2013-04-07",1.4313
"2013-04-08",6.9441
"2013-04-09",4.7749
"2013-04-10",4.5774
"2013-04-11",0.7691
"2013-04-12",8.7262
"2013-04-13",9.0055
"2013-04-14",4.5237
"2013-04-15",2.5249
"2013-04-16",0
"2013-04-17",0
"2013-04-18",0
"2013-04-19",0
"2013-04-20",0
"2013-04-21",0
"2013-04-22",5.6168
"2013-04-23",0.5109
"2013-04-24",8.0821
"2013-04-25",14.79
"2013-04-26",3.6546
"2013-04-27",4.5802
"2013-04-28",0.79
"2013-04-29",2.1311
"2013-04-30",16.4436
"2013-05-01",4.7462
"2013-05-02",11.9853
"2013-05-03",26.8675
"2013-05-04",16.9176
"2013-05-05",16.7352
"2013-05-06",37.4221
"2013-05-07",0.3185
"2013-05-08",6.059
"2013-05-09",6.9887
"2013-05-10",15.8133
"2013-05-11",2.0664
"2013-05-12",43.7858
"2013-05-13",70.7335
"2013-05-14",0
"2013-05-15",8.0363
"2013-05-16",0
"2013-05-17",0
"2013-05-18",0.5214
"2013-05-19",19.4721
"2013-05-20",43.9403
