,"(mm) Precipitation (CHIRPS) at Puttalam, 2007-01-01 to 2025-12-31"
"2010-03-11",0
"2010-03-12",0.8834
"2010-03-13",0.7171
"2010-03-14",0
"2010-03-15",0
"2010-03-16",0
"2010-03-17",0
"2010-03-18",1.6282
"2010-03-19",0
"2010-03-20",0
"2010-03-21",0
"2010-03-22",0
"2010-03-23",0
"2010-03-24",2.8538
"2010-03-25",1.1547
"2010-03-26",11.8888
"2010-03-27",19.6432
"2010-03-28",5.2978
"2010-03-29",13.5287
"2010-03-30",12.7498
"2010-03-31",0
"2010-04-01",1.0203
"2010-04-02",0
"2010-04-03",0
"2010-04-04",8.3042
"2010-04-05",12.1427
"2010-04-06",6.6342
"2010-04-07",9.2677
"2010-04-08",1.8967
"2010-04-09",11.5406
"2010-04-10",8.2953
"2010-04-11",0.0021
"2010-04-12",0.0763
"2010-04-13",1.2268
"2010-04-14",6.3534
"2010-04-15",6.9745
"2010-04-16",16.8749
"2010-04-17",24.2037
"2010-04-18",3.9082
"2010-04-19",3.6452
"2010-04-20",0.1237
"2010-04-21",1.1333
"2010-04-22",6.2369
"2010-04-23",11.8753
"2010-04-24",10.6291
"2010-04-25",0.7777
"2010-04-26",24.703
"2010-04-27",12.4573
"2010-04-28",7.5033
"2010-04-29",32.1106
"2010-04-30",20.8585
"2010-05-01",0.0021
"2010-05-02",1.2189
"2010-05-03",0.4655
"2010-05-04",0.2719
"2010-05-05",1.0953
"2010-05-06",1.8706
"2010-05-07",0.1746
"2010-05-08",10.7712
"2010-05-09",5.3906
"2010-05-10",5.5943
"2010-05-11",3.6914
"2010-05-12",2.3365
"2010-05-13",1.504
"2010-05-14",10.8426
"2010-05-15",3.3462
"2010-05-16",2.4592
"2010-05-17",15.5443
"2010-05-18",9.2955
"2010-05-19",11.1484
"2010-05-20",23.6668
"2010-05-21",12.0533
"2010-05-22",8.074
"2010-05-23",0.3624
"2010-05-24",0.3506
"2010-05-25",0.4599
"2010-05-26",0.153
"2010-05-27",0
"2010-05-28",0
"2010-05-29",0
"2010-05-30",0
"2010-05-31",0
"2010-06-01",0
"2010-06-02",0
"2010-06-03",0
"2010-06-04",1.2695
"2010-06-05",3.3129
"2010-06-06",1.6777
"2010-06-07",0.4868
"2010-06-08",15.7595
"2010-06-09",1.1403
"2010-06-10",3.8931
"2010-06-11",4.7698
"2010-06-12",1.4591
"2010-06-13",0.1998
"2010-06-14",0
"2010-06-15",2.2441
"2010-06-16",18.2787
"2010-06-17",2.1105
"2010-06-18",0
"2010-06-19",0
"2010-06-20",6.4135
"2010-06-21",1.009
"2010-06-22",0
"2010-06-23",2.4401
"2010-06-24",0
"2010-06-25",0
"2010-06-26",0
"2010-06-27",0
"2010-06-28",1.7147
"2010-06-29",0.0398
"2010-06-30",1.5923
"2010-07-01",0
"2010-07-02",0.029
"2010-07-03",0
"2010-07-04",0.8367
"2010-07-05",0.6659
"2010-07-06",4.7649
"2010-07-07",5.8362
"2010-07-08",7.8714
"2010-07-09",4.5279
"2010-07-10",3.2768
"2010-07-11",4.0812
"2010-07-12",1.0787
"2010-07-13",0.035
"2010-07-14",0.8617
"2010-07-15",0.1883
"2010-07-16",0.7315
"2010-07-17",1.5074
"2010-07-18",1.0242
"2010-07-19",2.2986
"2010-07-20",0.0174
"2010-07-21",0.1723
"2010-07-22",0.6107
"2010-07-23",2.0533
"2010-07-24",0
"2010-07-25",0.0321
"2010-07-26",0.3495
"2010-07-27",0.138
"2010-07-28",0.9232
"2010-07-29",0.0228
"2010-07-30",1.7813
"2010-07-31",0
"2010-08-01",0
"2010-08-02",0.9246
"2010-08-03",0.4534
"2010-08-04",0.1524
"2010-08-05",0.0285
"2010-08-06",0
"2010-08-07",0.0436
"2010-08-08",0.0004
"2010-08-09",0.534
"2010-08-10",0.1458
"2010-08-11",1.5098
"2010-08-12",3.1206
"2010-08-13",0.1652
"2010-08-14",4.3315
"2010-08-15",0.7323
"2010-08-16",0.0314
"2010-08-17",0.4625
"2010-08-18",0.0079
"2010-08-19",6.9064
"2010-08-20",11.728
"2010-08-21",11.9887
"2010-08-22",0.532
"2010-08-23",0.2052
"2010-08-24",3.6342
"2010-08-25",0.9666
"2010-08-26",0.444
"2010-08-27",0.2847
"2010-08-28",0.0009
"2010-08-29",3.3494
"2010-08-30",1.1194
"2010-08-31",0.0932
"2010-09-01",0
"2010-09-02",0.9344
"2010-09-03",5.1826
"2010-09-04",0
"2010-09-05",0
"2010-09-06",0.1717
"2010-09-07",0
"2010-09-08",1.386
"2010-09-09",1.8067
"2010-09-10",4.6899
"2010-09-11",7.0013
"2010-09-12",5.9885
"2010-09-13",6.338
"2010-09-14",5.707
"2010-09-15",0
"2010-09-16",0
"2010-09-17",5.3975
"2010-09-18",0.2306
"2010-09-19",5.4541
"2010-09-20",15.9754
"2010-09-21",12.5881
"2010-09-22",11.9269
"2010-09-23",11.3826
"2010-09-24",4.9089
"2010-09-25",2.1603
"2010-09-26",16.0957
"2010-09-27",15.3877
"2010-09-28",32.3975
"2010-09-29",18.5912
"2010-09-30",31.1871
"2010-10-01",28.6029
"2010-10-02",32.5257
"2010-10-03",19.139
"2010-10-04",0.1362
"2010-10-05",1.9526
"2010-10-06",1.8567
"2010-10-07",0.0644
"2010-10-08",1.8574
"2010-10-09",2.3736
"2010-10-10",7.9043
"2010-10-11",0.2931
"2010-10-12",0.7887
"2010-10-13",0
"2010-10-14",0.0022
"2010-10-15",0
"2010-10-16",0
"2010-10-17",0
"2010-10-18",0.4001
"2010-10-19",4.1432
"2010-10-20",2.8399
"2010-10-21",0.0104
"2010-10-22",0.0399
"2010-10-23",0
"2010-10-24",0
"2010-10-25",2.0991
"2010-10-26",4.9697
"2010-10-27",5.2179
"2010-10-28",14.591
"2010-10-29",13.1439
"2010-10-30",9.0303
"2010-10-31",12.0066
"2010-11-01",0.2202
"2010-11-02",0.254
"2010-11-03",1.3694
"2010-11-04",18.241
"2010-11-05",9.961
"2010-11-06",28.1545
"2010-11-07",13.045
"2010-11-08",2.7484
"2010-11-09",2.7498
"2010-11-10",4.3991
"2010-11-11",0
"2010-11-12",5.5696
"2010-11-13",14.5303
"2010-11-14",0
"2010-11-15",0.9982
"2010-11-16",0
"2010-11-17",16.2639
"2010-11-18",26.1003
"2010-11-19",19.9942
"2010-11-20",18.7833
"2010-11-21",28.9241
"2010-11-22",39.3242
"2010-11-23",21.3244
"2010-11-24",52.6499
"2010-11-25",13.6916
"2010-11-26",19.308
"2010-11-27",12.814
"2010-11-28",14.0329
"2010-11-29",2.5485
"2010-11-30",48.5325
"2010-12-01",26.8315
"2010-12-02",16.2204
"2010-12-03",31.3349
"2010-12-04",20.7122
"2010-12-05",16.7036
"2010-12-06",0.1029
"2010-12-07",17.3146
"2010-12-08",38.6977
"2010-12-09",2.7955
"2010-12-10",0.0032
"2010-12-11",0
"2010-12-12",0.1171
"2010-12-13",0
"2010-12-14",10.9872
"2010-12-15",0.5727
"2010-12-16",0.022
"2010-12-17",0.0017
"2010-12-18",0
"2010-12-19",0.0139
"2010-12-20",1.6551
"2010-12-21",14.0254
"2010-12-22",20.3271
"2010-12-23",9.9607
"2010-12-24",5.4265
"2010-12-25",1.3195
"2010-12-26",2.6411
"2010-12-27",2.6098
"2010-12-28",8.0126
"2010-12-29",1.1767
"2010-12-30",13.0298
"2010-12-31",0.9946
"2011-01-01",1.6988
"2011-01-02",3.2814
"2011-01-03",3.7749
"2011-01-04",0.8825
"2011-01-05",3.0075
"2011-01-06",0.0135
"2011-01-07",4.7585
"2011-01-08",9.1179
"2011-01-09",33.6109
"2011-01-10",16.0303
"2011-01-11",13.3941
"2011-01-12",14.3839
"2011-01-13",4.6448
"2011-01-14",1.7218
"2011-01-15",0.7935
"2011-01-16",0
"2011-01-17",0
"2011-01-18",0
"2011-01-19",0
"2011-01-20",0
"2011-01-21",0
"2011-01-22",0
"2011-01-23",0
"2011-01-24",0
"2011-01-25",0
"2011-01-26",9.3362
"2011-01-27",0.0027
"2011-01-28",3.4808
"2011-01-29",0.002
"2011-01-30",2.1031
"2011-01-31",19.3751
"2011-02-01",18.9767
"2011-02-02",24.3026
"2011-02-03",19.054
"2011-02-04",1.5774
"2011-02-05",0.0046
"2011-02-06",7.0501
"2011-02-07",41.2844
"2011-02-08",3.6473
"2011-02-09",0.1764
"2011-02-10",0
"2011-02-11",0
"2011-02-12",0
"2011-02-13",0
"2011-02-14",0
"2011-02-15",0.132
"2011-02-16",0
"2011-02-17",0
"2011-02-18",0
"2011-02-19",0.7656
"2011-02-20",8.1045
"2011-02-21",20.0631
"2011-02-22",0.5146
"2011-02-23",0
"2011-02-24",0.3525
"2011-02-25",0
"2011-02-26",0.906
"2011-02-27",3.0587
"2011-02-28",8.4039
"2011-03-01",0.0017
"2011-03-02",0.0019
"2011-03-03",1.1107
"2011-03-04",6.6185
"2011-03-05",3.9141
"2011-03-06",0
"2011-03-07",0
"2011-03-08",0.0265
"2011-03-09",0
"2011-03-10",0
"2011-03-11",0
"2011-03-12",5.7998
"2011-03-13",6.4351
"2011-03-14",1.0632
"2011-03-15",0.0025
"2011-03-16",0.0026
"2011-03-17",0
"2011-03-18",0
"2011-03-19",0
"2011-03-20",5.4
"2011-03-21",9.3678
"2011-03-22",2.0032
"2011-03-23",6.004
"2011-03-24",0.7278
"2011-03-25",13.3295
"2011-03-26",3.8292
"2011-03-27",0
"2011-03-28",2.2535
"2011-03-29",0.3212
"2011-03-30",2.2663
"2011-03-31",0
"2011-04-01",0
"2011-04-02",0
"2011-04-03",0
"2011-04-04",0
"2011-04-05",0
"2011-04-06",0
"2011-04-07",0.0378
"2011-04-08",0.0017
"2011-04-09",4.2443
"2011-04-10",6.4254
"2011-04-11",17.5495
"2011-04-12",15.5866
"2011-04-13",6.2997
"2011-04-14",0.1014
"2011-04-15",11.4372
"2011-04-16",19.0847
"2011-04-17",30.0547
"2011-04-18",35.6738
"2011-04-19",25.8094
"2011-04-20",35.3844
"2011-04-21",24.3571
"2011-04-22",24.5261
"2011-04-23",42.1546
"2011-04-24",19.6513
"2011-04-25",29.2051
"2011-04-26",13.3468
"2011-04-27",30.3056
"2011-04-28",28.9929
"2011-04-29",0.0885
"2011-04-30",4.9858
"2011-05-01",8.2874
"2011-05-02",8.6564
"2011-05-03",0.9478
"2011-05-04",6.5817
"2011-05-05",0.1846
"2011-05-06",0
"2011-05-07",0
"2011-05-08",0
"2011-05-09",0
"2011-05-10",0
"2011-05-11",0
"2011-05-12",0
"2011-05-13",0
"2011-05-14",0
"2011-05-15",0
"2011-05-16",0
"2011-05-17",0.1245
"2011-05-18",0
"2011-05-19",0
"2011-05-20",0
"2011-05-21",0
"2011-05-22",0
"2011-05-23",0
"2011-05-24",2.9464
"2011-05-25",6.5847
"2011-05-26",9.5847
"2011-05-27",7.7272
"2011-05-28",1.4258
"2011-05-29",0.2053
"2011-05-30",0
"2011-05-31",1.067
"2011-06-01",4.738
"2011-06-02",7.6499
"2011-06-03",0.0002
"2011-06-04",0.035
"2011-06-05",0
"2011-06-06",0.045
"2011-06-07",0.1413
"2011-06-08",0.0012
"2011-06-09",0
"2011-06-10",0
"2011-06-11",0
"2011-06-12",0
"2011-06-13",0
"2011-06-14",6.6534
"2011-06-15",0.7787
"2011-06-16",0
"2011-06-17",0.66
"2011-06-18",0
"2011-06-19",0
"2011-06-20",0
"2011-06-21",0
"2011-06-22",0
"2011-06-23",0
"2011-06-24",0
"2011-06-25",0
"2011-06-26",0
"2011-06-27",0
"2011-06-28",0
"2011-06-29",0.8661
"2011-06-30",0.0008
"2011-07-01",2.4017
"2011-07-02",0
"2011-07-03",1.1199
"2011-07-04",0
"2011-07-05",0.6802
"2011-07-06",0
"2011-07-07",0.156
"2011-07-08",3.77
"2011-07-09",3.1506
"2011-07-10",0.8801
"2011-07-11",2.5066
"2011-07-12",0.2244
"2011-07-13",0
"2011-07-14",0
"2011-07-15",0.6773
"2011-07-16",1.1385
"2011-07-17",0
"2011-07-18",0
"2011-07-19",0.0001
"2011-07-20",0.1687
"2011-07-21",0
"2011-07-22",0.0881
"2011-07-23",0.3908
"2011-07-24",0.2939
"2011-07-25",6.9459
"2011-07-26",0.0001
"2011-07-27",0
"2011-07-28",0.0083
"2011-07-29",0.0902
"2011-07-30",1.7503
"2011-07-31",0.0355
"2011-08-01",0.1136
"2011-08-02",0.0084
"2011-08-03",1.0252
"2011-08-04",0
"2011-08-05",0
"2011-08-06",0
"2011-08-07",0
"2011-08-08",0
"2011-08-09",0.0158
"2011-08-10",1.1333
"2011-08-11",0
"2011-08-12",3.5072
"2011-08-13",1.0713
"2011-08-14",5.5043
"2011-08-15",3.6006
"2011-08-16",1.8755
"2011-08-17",5.5561
"2011-08-18",0.0769
"2011-08-19",0
"2011-08-20",0.0605
"2011-08-21",0.8209
"2011-08-22",3.9875
"2011-08-23",0.0004
"2011-08-24",0.2436
"2011-08-25",0.0003
"2011-08-26",0.4401
"2011-08-27",3.33
"2011-08-28",0
"2011-08-29",0.0004
"2011-08-30",0.0008
"2011-08-31",0.0007
"2011-09-01",0
"2011-09-02",0
"2011-09-03",0.0605
"2011-09-04",0
"2011-09-05",0.0224
"2011-09-06",2.5851
"2011-09-07",0.4396
"2011-09-08",0.078
"2011-09-09",2.3812
"2011-09-10",2.4547
"2011-09-11",0.7526
"2011-09-12",17.4971
"2011-09-13",0.0049
"2011-09-14",8.2259
"2011-09-15",0
"2011-09-16",0
"2011-09-17",0
"2011-09-18",0
"2011-09-19",0
"2011-09-20",0.0056
"2011-09-21",1.6715
"2011-09-22",0.5122
"2011-09-23",0
"2011-09-24",0
"2011-09-25",0
"2011-09-26",0.6465
"2011-09-27",0.3968
"2011-09-28",0.4648
"2011-09-29",1.3407
"2011-09-30",4.754
"2011-10-01",3.0013
"2011-10-02",0
"2011-10-03",1.5806
"2011-10-04",6.8206
"2011-10-05",11.2788
"2011-10-06",0
"2011-10-07",0.246
"2011-10-08",0.3463
"2011-10-09",5.7736
"2011-10-10",0.1947
"2011-10-11",8.9934
"2011-10-12",9.3112
"2011-10-13",9.1036
"2011-10-14",6.0577
"2011-10-15",14.0054
"2011-10-16",6.3471
"2011-10-17",6.711
"2011-10-18",9.8431
"2011-10-19",8.8636
"2011-10-20",5.1377
"2011-10-21",17.8256
"2011-10-22",11.769
"2011-10-23",12.1843
"2011-10-24",20.8107
"2011-10-25",37.7748
"2011-10-26",13.1292
"2011-10-27",12.0612
"2011-10-28",31.3003
"2011-10-29",7.4275
"2011-10-30",7.5785
"2011-10-31",7.0277
"2011-11-01",14.583
"2011-11-02",5.6901
"2011-11-03",3.3783
"2011-11-04",6.0803
"2011-11-05",2.6079
"2011-11-06",9.0983
"2011-11-07",9.7592
"2011-11-08",0
"2011-11-09",0
"2011-11-10",0
"2011-11-11",0.7184
"2011-11-12",0
"2011-11-13",0.0811
"2011-11-14",0
"2011-11-15",0
"2011-11-16",0.0098
"2011-11-17",33.7818
"2011-11-18",1.2441
"2011-11-19",10.937
"2011-11-20",19.2281
"2011-11-21",21.6149
"2011-11-22",0.0027
"2011-11-23",14.0211
"2011-11-24",21.0729
"2011-11-25",40.151
"2011-11-26",12.897
"2011-11-27",21.4592
"2011-11-28",4.5198
"2011-11-29",4.343
"2011-11-30",23.8081
"2011-12-01",14.8033
"2011-12-02",1.1823
"2011-12-03",0
"2011-12-04",0
"2011-12-05",0
"2011-12-06",0
"2011-12-07",0
"2011-12-08",0
"2011-12-09",1.1254
"2011-12-10",0.1635
"2011-12-11",10.982
"2011-12-12",14.1374
"2011-12-13",4.1488
"2011-12-14",0.2822
"2011-12-15",1.5086
"2011-12-16",0
"2011-12-17",0.2077
"2011-12-18",14.7521
"2011-12-19",4.4784
"2011-12-20",6.7517
"2011-12-21",1.936
"2011-12-22",5.1021
"2011-12-23",13.9496
"2011-12-24",0.0024
"2011-12-25",0
"2011-12-26",0
"2011-12-27",4.4946
"2011-12-28",9.4519
"2011-12-29",0
"2011-12-30",0
"2011-12-31",0
"2012-01-01",0
"2012-01-02",0
"2012-01-03",0
"2012-01-04",1.5124
"2012-01-05",1.9644
"2012-01-06",0.9192
"2012-01-07",18.8855
"2012-01-08",4.4396
"2012-01-09",0.001
"2012-01-10",0
"2012-01-11",0
"2012-01-12",0
"2012-01-13",0
"2012-01-14",0.0433
"2012-01-15",0.2965
"2012-01-16",0
"2012-01-17",0
"2012-01-18",0
"2012-01-19",0
"2012-01-20",0
"2012-01-21",0
"2012-01-22",0.1217
"2012-01-23",0
"2012-01-24",0.4385
"2012-01-25",0
"2012-01-26",0
"2012-01-27",0
"2012-01-28",0
"2012-01-29",0
"2012-01-30",0
"2012-01-31",0
"2012-02-01",0.0746
"2012-02-02",0
"2012-02-03",0
"2012-02-04",0.4299
"2012-02-05",6.9541
"2012-02-06",0.33
"2012-02-07",3.0174
"2012-02-08",6.1199
"2012-02-09",13.0777
"2012-02-10",5.3602
"2012-02-11",0
"2012-02-12",0
"2012-02-13",0
"2012-02-14",3.4272
"2012-02-15",2.7637
"2012-02-16",7.8704
"2012-02-17",4.3604
"2012-02-18",0
"2012-02-19",0
"2012-02-20",0
"2012-02-21",0
"2012-02-22",0.4641
"2012-02-23",0.5261
"2012-02-24",0
"2012-02-25",0
"2012-02-26",0
"2012-02-27",0.586
"2012-02-28",5.4238
"2012-02-29",0
"2012-03-01",0
"2012-03-02",0
"2012-03-03",0
"2012-03-04",0
"2012-03-05",0
"2012-03-06",0
"2012-03-07",2.488
"2012-03-08",0
"2012-03-09",0.3529
"2012-03-10",0.8096
"2012-03-11",0
"2012-03-12",0.004
"2012-03-13",10.5967
"2012-03-14",17.4377
"2012-03-15",8.0299
"2012-03-16",10.0996
"2012-03-17",0
"2012-03-18",0
"2012-03-19",0
"2012-03-20",0
"2012-03-21",0
"2012-03-22",0
"2012-03-23",0
"2012-03-24",0
"2012-03-25",0
"2012-03-26",0
"2012-03-27",7.1666
"2012-03-28",6.247
"2012-03-29",18.556
"2012-03-30",0
"2012-03-31",0
"2012-04-01",0
"2012-04-02",0
"2012-04-03",0
"2012-04-04",0
"2012-04-05",0
"2012-04-06",0
"2012-04-07",0
"2012-04-08",2.3825
"2012-04-09",13.2702
"2012-04-10",12.0825
"2012-04-11",4.4922
"2012-04-12",20.8013
"2012-04-13",0.9357
"2012-04-14",18.6761
"2012-04-15",14.6142
"2012-04-16",12.2154
"2012-04-17",3.7516
"2012-04-18",2.7099
"2012-04-19",8.351
"2012-04-20",2.7766
"2012-04-21",3.9692
"2012-04-22",12.9225
"2012-04-23",19.4811
"2012-04-24",17.9997
"2012-04-25",0.9079
"2012-04-26",2.4428
"2012-04-27",0
"2012-04-28",2.1223
"2012-04-29",0.625
"2012-04-30",6.2274
"2012-05-01",0
"2012-05-02",0
"2012-05-03",0
"2012-05-04",0
"2012-05-05",0.5133
"2012-05-06",0.7465
"2012-05-07",2.9019
"2012-05-08",0.0398
"2012-05-09",0
"2012-05-10",0
"2012-05-11",0
"2012-05-12",0
"2012-05-13",0.101
"2012-05-14",1.2752
"2012-05-15",0
"2012-05-16",0
"2012-05-17",0
"2012-05-18",0
"2012-05-19",0
"2012-05-20",0
"2012-05-21",0.3494
"2012-05-22",0
"2012-05-23",0
"2012-05-24",0.5367
"2012-05-25",2.4153
"2012-05-26",1.0027
"2012-05-27",0
"2012-05-28",0.0294
"2012-05-29",0.2819
"2012-05-30",1.3637
"2012-05-31",0
"2012-06-01",0
"2012-06-02",0.8207
"2012-06-03",0.0054
"2012-06-04",0
"2012-06-05",0
"2012-06-06",1.8007
"2012-06-07",0.5993
"2012-06-08",0
"2012-06-09",2.316
"2012-06-10",0.6132
"2012-06-11",1.0349
"2012-06-12",5.3665
"2012-06-13",1.2187
"2012-06-14",0
"2012-06-15",0
"2012-06-16",0
"2012-06-17",0.1925
"2012-06-18",5.4972
"2012-06-19",0.5408
"2012-06-20",0.1657
"2012-06-21",3.4448
"2012-06-22",1.6261
"2012-06-23",0
"2012-06-24",1.632
"2012-06-25",0.2293
"2012-06-26",0
"2012-06-27",3.1756
"2012-06-28",1.0314
"2012-06-29",0
"2012-06-30",0.7887
"2012-07-01",1.4025
"2012-07-02",2.2978
"2012-07-03",0.3727
"2012-07-04",0
"2012-07-05",0
"2012-07-06",0
"2012-07-07",0
"2012-07-08",0
"2012-07-09",1.0312
"2012-07-10",0.1523
"2012-07-11",0
"2012-07-12",3.4245
"2012-07-13",2.4506
"2012-07-14",5.2818
"2012-07-15",4.5724
"2012-07-16",1.3594
"2012-07-17",0
"2012-07-18",0.0012
"2012-07-19",0
"2012-07-20",0
"2012-07-21",0.023
"2012-07-22",0
"2012-07-23",0
"2012-07-24",0
"2012-07-25",0
"2012-07-26",0
"2012-07-27",0
"2012-07-28",0
"2012-07-29",0
"2012-07-30",0
"2012-07-31",0
"2012-08-01",0
"2012-08-02",0
"2012-08-03",2.4367
"2012-08-04",2.1638
"2012-08-05",0.0586
"2012-08-06",0.8831
"2012-08-07",0
"2012-08-08",0
"2012-08-09",0
"2012-08-10",0
"2012-08-11",0
"2012-08-12",0
"2012-08-13",0
"2012-08-14",1.2537
"2012-08-15",2.7397
"2012-08-16",1.8075
"2012-08-17",0.1374
"2012-08-18",0
"2012-08-19",0
"2012-08-20",0
"2012-08-21",0.2916
"2012-08-22",0.4536
"2012-08-23",1.3823
"2012-08-24",0.7214
"2012-08-25",0.7001
"2012-08-26",0.1683
"2012-08-27",0.0006
"2012-08-28",0.0498
"2012-08-29",4.146
"2012-08-30",0.063
"2012-08-31",0.0005
"2012-09-01",1.2762
"2012-09-02",0
"2012-09-03",3.0704
"2012-09-04",1.5147
"2012-09-05",0
"2012-09-06",0.0212
"2012-09-07",11.856
"2012-09-08",10.4035
"2012-09-09",0.0225
"2012-09-10",0.0491
"2012-09-11",0.0506
"2012-09-12",0.0589
"2012-09-13",0.045
"2012-09-14",0.1696
"2012-09-15",0.0017
"2012-09-16",0.1774
"2012-09-17",0.0174
"2012-09-18",1.6025
"2012-09-19",1.7762
"2012-09-20",5.1768
"2012-09-21",4.1465
"2012-09-22",7.3568
"2012-09-23",2.0144
"2012-09-24",2.8681
"2012-09-25",8.5724
"2012-09-26",8.155
"2012-09-27",15.5902
"2012-09-28",0.0289
"2012-09-29",0
"2012-09-30",0.6732
"2012-10-01",0
"2012-10-02",0
"2012-10-03",0
"2012-10-04",0
"2012-10-05",0
"2012-10-06",2.5483
"2012-10-07",8.199
"2012-10-08",16.8762
"2012-10-09",14.3049
"2012-10-10",9.4723
"2012-10-11",14.2116
"2012-10-12",22.4087
"2012-10-13",21.1971
"2012-10-14",21.824
"2012-10-15",11.3767
"2012-10-16",19.1849
"2012-10-17",20.5785
"2012-10-18",15.37
"2012-10-19",26.6071
"2012-10-20",22.1831
"2012-10-21",13.9311
"2012-10-22",16.614
"2012-10-23",25.1417
"2012-10-24",6.8826
"2012-10-25",3.7226
"2012-10-26",7.3228
"2012-10-27",8.6157
"2012-10-28",29.0322
"2012-10-29",45.3026
"2012-10-30",43.9732
"2012-10-31",34.5743
"2012-11-01",27.6761
"2012-11-02",0.8327
"2012-11-03",1.4978
"2012-11-04",6.0704
"2012-11-05",7.485
"2012-11-06",20.8584
"2012-11-07",18.615
"2012-11-08",23.9802
"2012-11-09",10.8575
"2012-11-10",4.9326
"2012-11-11",8.4228
"2012-11-12",4.2893
"2012-11-13",1.3323
"2012-11-14",0.0102
"2012-11-15",5.4458
"2012-11-16",1.6161
"2012-11-17",0
"2012-11-18",0
"2012-11-19",0
"2012-11-20",0
"2012-11-21",0
"2012-11-22",1.7738
"2012-11-23",19.5264
"2012-11-24",8.9501
"2012-11-25",16.2483
"2012-11-26",26.2327
"2012-11-27",12.7921
"2012-11-28",0.1983
"2012-11-29",3.531
"2012-11-30",0.0157
"2012-12-01",0
"2012-12-02",0
"2012-12-03",0.0674
"2012-12-04",8.1809
"2012-12-05",0
"2012-12-06",13.4342
"2012-12-07",0
"2012-12-08",0.0867
"2012-12-09",1.6298
"2012-12-10",0
"2012-12-11",0
"2012-12-12",0
"2012-12-13",0
"2012-12-14",0
"2012-12-15",11.4099
"2012-12-16",17.1723
"2012-12-17",41.3993
"2012-12-18",25.5762
"2012-12-19",8.6308
"2012-12-20",1.142
"2012-12-21",1.9177
"2012-12-22",59.0046
"2012-12-23",12.4759
"2012-12-24",1.3044
"2012-12-25",17.2387
"2012-12-26",25.6823
"2012-12-27",66.9635
"2012-12-28",1.3044
"2012-12-29",0.2549
"2012-12-30",2.8829
"2012-12-31",0
"2013-01-01",1.1316
"2013-01-02",0.0689
"2013-01-03",7.2689
"2013-01-04",6.8313
"2013-01-05",0.4711
"2013-01-06",5.393
"2013-01-07",43.0422
"2013-01-08",10.7707
"2013-01-09",0.6754
"2013-01-10",27.2158
"2013-01-11",1.0919
"2013-01-12",0
"2013-01-13",5.7455
"2013-01-14",0
"2013-01-15",0
"2013-01-16",0
"2013-01-17",0
"2013-01-18",0
"2013-01-19",0
"2013-01-20",0
"2013-01-21",0
"2013-01-22",0
"2013-01-23",0
"2013-01-24",0
"2013-01-25",0
"2013-01-26",0
"2013-01-27",0
"2013-01-28",0
"2013-01-29",0
"2013-01-30",0
"2013-01-31",0
"2013-02-01",0
"2013-02-02",0
"2013-02-03",0
"2013-02-04",7.411
"2013-02-05",1.0766
"2013-02-06",4.9216
"2013-02-07",2.3514
"2013-02-08",1.1648
"2013-02-09",5.7423
"2013-02-10",0.0879
"2013-02-11",15.6202
"2013-02-12",2.194
"2013-02-13",28.8109
"2013-02-14",3.4568
"2013-02-15",6.2076
"2013-02-16",0
"2013-02-17",0
"2013-02-18",4.1929
"2013-02-19",6.6067
"2013-02-20",0
"2013-02-21",0
"2013-02-22",0
"2013-02-23",0
"2013-02-24",0
"2013-02-25",0
"2013-02-26",0
"2013-02-27",0
"2013-02-28",0
"2013-03-01",0
"2013-03-02",0
"2013-03-03",5.1075
"2013-03-04",34.9183
"2013-03-05",11.5602
"2013-03-06",9.193
"2013-03-07",2.6708
"2013-03-08",7.4349
"2013-03-09",0.3449
"2013-03-10",0
"2013-03-11",0
"2013-03-12",0
"2013-03-13",0
"2013-03-14",0.0017
"2013-03-15",1.0036
"2013-03-16",1.8683
"2013-03-17",0
"2013-03-18",0
"2013-03-19",0
"2013-03-20",0
"2013-03-21",0
"2013-03-22",12.9424
"2013-03-23",0
"2013-03-24",22.5083
"2013-03-25",4.9041
"2013-03-26",0
"2013-03-27",0
"2013-03-28",7.3247
"2013-03-29",8.5016
"2013-03-30",0
"2013-03-31",0
"2013-04-01",0
"2013-04-02",1.2761
"2013-04-03",0.184
"2013-04-04",2.0277
"2013-04-05",2.3141
"2013-04-06",2.0273
"2013-04-07",0
"2013-04-08",0
"2013-04-09",2.3745
"2013-04-10",5.6133
"2013-04-11",0
"2013-04-12",5.9723
"2013-04-13",13.2942
"2013-04-14",2.7814
"2013-04-15",6.4438
"2013-04-16",0
"2013-04-17",0
"2013-04-18",0
"2013-04-19",0
"2013-04-20",0
"2013-04-21",0
"2013-04-22",0
"2013-04-23",5.5419
"2013-04-24",0.0433
"2013-04-25",5.2044
"2013-04-26",1.2179
"2013-04-27",0.7396
"2013-04-28",0.3549
"2013-04-29",2.5839
"2013-04-30",4.4632
"2013-05-01",8.9608
"2013-05-02",6.2962
"2013-05-03",12.8902
"2013-05-04",1.4686
"2013-05-05",13.9446
"2013-05-06",10.0697
"2013-05-07",0.1407
"2013-05-08",4.332
"2013-05-09",0
"2013-05-10",1.2746
"2013-05-11",4.4134
"2013-05-12",9.6958
"2013-05-13",18.0374
"2013-05-14",0
"2013-05-15",1.0247
"2013-05-16",0
"2013-05-17",0
"2013-05-18",0
"2013-05-19",1.3353
"2013-05-20",4.4822
"2013-05-21",0
