,"(mm) Precipitation (CHIRPS) at Ratnapura, 2007-01-01 to 2025-12-31"
"2010-02-08",0.4729
"2010-02-09",0.1332
"2010-02-10",7.7032
"2010-02-11",10.4042
"2010-02-12",3.529
"2010-02-13",1.0403
"2010-02-14",0
"2010-02-15",0
"2010-02-16",21.6135
"2010-02-17",3.8406
"2010-02-18",0
"2010-02-19",0.4083
"2010-02-20",0
"2010-02-21",0
"2010-02-22",0
"2010-02-23",0.3435
"2010-02-24",0
"2010-02-25",0
"2010-02-26",0
"2010-02-27",0
"2010-02-28",0
"2010-03-01",0
"2010-03-02",0
"2010-03-03",0
"2010-03-04",0
"2010-03-05",0.3
"2010-03-06",0
"2010-03-07",0
"2010-03-08",0
"2010-03-09",0
"2010-03-10",0
"2010-03-11",0
"2010-03-12",0
"2010-03-13",18.4418
"2010-03-14",10.0046
"2010-03-15",1.1325
"2010-03-16",2.81
"2010-03-17",0
"2010-03-18",4.0773
"2010-03-19",6.1812
"2010-03-20",0.0064
"2010-03-21",19.4947
"2010-03-22",0.0085
"2010-03-23",3.0928
"2010-03-24",5.9357
"2010-03-25",0.3879
"2010-03-26",23.8556
"2010-03-27",27.5332
"2010-03-28",7.0319
"2010-03-29",24.8339
"2010-03-30",21.3415
"2010-03-31",1.231
"2010-04-01",7.1087
"2010-04-02",0
"2010-04-03",0
"2010-04-04",9.5275
"2010-04-05",11.8904
"2010-04-06",14.2318
"2010-04-07",11.4049
"2010-04-08",13.6151
"2010-04-09",11.1667
"2010-04-10",19.1259
"2010-04-11",5.718
"2010-04-12",8.7605
"2010-04-13",6.3036
"2010-04-14",24.8488
"2010-04-15",0.834
"2010-04-16",16.1249
"2010-04-17",15.9114
"2010-04-18",14.7679
"2010-04-19",10.7245
"2010-04-20",7.772
"2010-04-21",29.2371
"2010-04-22",19.4076
"2010-04-23",28.7895
"2010-04-24",20.2994
"2010-04-25",12.5059
"2010-04-26",21.3405
"2010-04-27",12.6681
"2010-04-28",11.193
"2010-04-29",26.523
"2010-04-30",21.7891
"2010-05-01",7.4872
"2010-05-02",25.1806
"2010-05-03",6.1722
"2010-05-04",8.3993
"2010-05-05",14.9594
"2010-05-06",14.9428
"2010-05-07",21.6711
"2010-05-08",10.4308
"2010-05-09",27.1532
"2010-05-10",5.7622
"2010-05-11",20.2448
"2010-05-12",28.2654
"2010-05-13",0.2081
"2010-05-14",15.836
"2010-05-15",19.4581
"2010-05-16",23.2361
"2010-05-17",55.2165
"2010-05-18",34.5589
"2010-05-19",41.8789
"2010-05-20",67.5719
"2010-05-21",12.8399
"2010-05-22",0
"2010-05-23",6.2657
"2010-05-24",8.5442
"2010-05-25",12.382
"2010-05-26",0
"2010-05-27",0
"2010-05-28",0.8198
"2010-05-29",0
"2010-05-30",0
"2010-05-31",0
"2010-06-01",0
"2010-06-02",0
"2010-06-03",2.1045
"2010-06-04",0
"2010-06-05",0.0536
"2010-06-06",17.5751
"2010-06-07",18.394
"2010-06-08",40.9261
"2010-06-09",4.0499
"2010-06-10",1.9207
"2010-06-11",70.6408
"2010-06-12",0.4944
"2010-06-13",1.6976
"2010-06-14",0.1377
"2010-06-15",23.963
"2010-06-16",21.8317
"2010-06-17",9.9332
"2010-06-18",2.0763
"2010-06-19",2.3427
"2010-06-20",0
"2010-06-21",13.4118
"2010-06-22",1.5169
"2010-06-23",55.5976
"2010-06-24",0
"2010-06-25",0
"2010-06-26",0
"2010-06-27",16.3061
"2010-06-28",11.6692
"2010-06-29",0
"2010-06-30",0
"2010-07-01",1.5887
"2010-07-02",6.5481
"2010-07-03",0.4143
"2010-07-04",1.3863
"2010-07-05",22.0415
"2010-07-06",32.9112
"2010-07-07",18.789
"2010-07-08",15.6057
"2010-07-09",16.3132
"2010-07-10",1.4486
"2010-07-11",3.784
"2010-07-12",0.2963
"2010-07-13",0.682
"2010-07-14",3.2841
"2010-07-15",8.4612
"2010-07-16",21.9142
"2010-07-17",5.2102
"2010-07-18",12.2858
"2010-07-19",25.4612
"2010-07-20",4.2466
"2010-07-21",0.5259
"2010-07-22",10.0322
"2010-07-23",3.3261
"2010-07-24",1.9876
"2010-07-25",0
"2010-07-26",0.6556
"2010-07-27",0.3695
"2010-07-28",5.8359
"2010-07-29",4.5519
"2010-07-30",0
"2010-07-31",0
"2010-08-01",0
"2010-08-02",0.569
"2010-08-03",5.4876
"2010-08-04",0.3752
"2010-08-05",0
"2010-08-06",0.0045
"2010-08-07",0.2404
"2010-08-08",2.9455
"2010-08-09",0
"2010-08-10",0
"2010-08-11",4.8313
"2010-08-12",4.359
"2010-08-13",0.0441
"2010-08-14",17.3559
"2010-08-15",31.3682
"2010-08-16",1.9411
"2010-08-17",0
"2010-08-18",0
"2010-08-19",40.617
"2010-08-20",33.099
"2010-08-21",28.3587
"2010-08-22",0
"2010-08-23",0.4492
"2010-08-24",21.3246
"2010-08-25",0
"2010-08-26",0.5685
"2010-08-27",0.6044
"2010-08-28",0
"2010-08-29",41.887
"2010-08-30",1.2369
"2010-08-31",0.3414
"2010-09-01",0
"2010-09-02",8.2638
"2010-09-03",9.5972
"2010-09-04",0
"2010-09-05",0
"2010-09-06",0
"2010-09-07",0
"2010-09-08",1.2197
"2010-09-09",9.2452
"2010-09-10",25.4613
"2010-09-11",10.0972
"2010-09-12",4.6311
"2010-09-13",2.2108
"2010-09-14",5.5758
"2010-09-15",1.0307
"2010-09-16",0
"2010-09-17",0
"2010-09-18",0
"2010-09-19",0.7841
"2010-09-20",20.3775
"2010-09-21",25.0343
"2010-09-22",39.436
"2010-09-23",21.6755
"2010-09-24",11.9281
"2010-09-25",5.3501
"2010-09-26",15.3893
"2010-09-27",10.5863
"2010-09-28",27.2876
"2010-09-29",28.4245
"2010-09-30",12.9104
"2010-10-01",50.606
"2010-10-02",30.5638
"2010-10-03",22.7525
"2010-10-04",4.889
"2010-10-05",0
"2010-10-06",2.0968
"2010-10-07",8.4251
"2010-10-08",17.7055
"2010-10-09",15.8842
"2010-10-10",28.6038
"2010-10-11",0
"2010-10-12",1.4484
"2010-10-13",0
"2010-10-14",0.0003
"2010-10-15",0
"2010-10-16",0
"2010-10-17",0
"2010-10-18",0
"2010-10-19",6.856
"2010-10-20",1.4267
"2010-10-21",0
"2010-10-22",0
"2010-10-23",0
"2010-10-24",0
"2010-10-25",0.0159
"2010-10-26",5.0815
"2010-10-27",21.2479
"2010-10-28",25.6278
"2010-10-29",15.141
"2010-10-30",2.492
"2010-10-31",6.8033
"2010-11-01",8.3582
"2010-11-02",0.1217
"2010-11-03",6.7104
"2010-11-04",16.8199
"2010-11-05",5.6098
"2010-11-06",43.4742
"2010-11-07",25.5851
"2010-11-08",0
"2010-11-09",11.261
"2010-11-10",23.0265
"2010-11-11",3.1774
"2010-11-12",5.1227
"2010-11-13",28.0586
"2010-11-14",9.8465
"2010-11-15",18.7214
"2010-11-16",10.3781
"2010-11-17",8.6028
"2010-11-18",14.2642
"2010-11-19",4.0814
"2010-11-20",33.8091
"2010-11-21",21.8602
"2010-11-22",59.2039
"2010-11-23",29.7082
"2010-11-24",11.1677
"2010-11-25",18.1956
"2010-11-26",25.5405
"2010-11-27",0.1925
"2010-11-28",27.8901
"2010-11-29",0.1707
"2010-11-30",39.9013
"2010-12-01",31.8369
"2010-12-02",36.775
"2010-12-03",36.3746
"2010-12-04",27.0899
"2010-12-05",2.2301
"2010-12-06",0.8058
"2010-12-07",31.9555
"2010-12-08",2.3541
"2010-12-09",51.023
"2010-12-10",0
"2010-12-11",0.0081
"2010-12-12",0
"2010-12-13",0
"2010-12-14",0
"2010-12-15",0
"2010-12-16",6.7139
"2010-12-17",0.7201
"2010-12-18",5.7904
"2010-12-19",0.7116
"2010-12-20",3.1616
"2010-12-21",15.9832
"2010-12-22",17.9351
"2010-12-23",16.0298
"2010-12-24",29.7931
"2010-12-25",13.1527
"2010-12-26",0.3442
"2010-12-27",0.278
"2010-12-28",2.903
"2010-12-29",4.5383
"2010-12-30",14.6432
"2010-12-31",9.8229
"2011-01-01",23.2779
"2011-01-02",7.5478
"2011-01-03",8.3994
"2011-01-04",5.4587
"2011-01-05",20.6956
"2011-01-06",5.7053
"2011-01-07",14.1699
"2011-01-08",27.1071
"2011-01-09",35.4952
"2011-01-10",29.1079
"2011-01-11",22.8614
"2011-01-12",26.1352
"2011-01-13",0.0414
"2011-01-14",0
"2011-01-15",0
"2011-01-16",0
"2011-01-17",0
"2011-01-18",0.0085
"2011-01-19",0
"2011-01-20",0
"2011-01-21",0
"2011-01-22",0
"2011-01-23",0
"2011-01-24",0
"2011-01-25",0
"2011-01-26",19.0882
"2011-01-27",4.0447
"2011-01-28",23.5207
"2011-01-29",10.8845
"2011-01-30",10.2668
"2011-01-31",19.0322
"2011-02-01",85.3006
"2011-02-02",52.5264
"2011-02-03",3.7002
"2011-02-04",0.1479
"2011-02-05",10.0558
"2011-02-06",19.4631
"2011-02-07",46.8048
"2011-02-08",11.9109
"2011-02-09",6.383
"2011-02-10",8.8273
"2011-02-11",0.9641
"2011-02-12",0.0118
"2011-02-13",0
"2011-02-14",6.1402
"2011-02-15",12.0126
"2011-02-16",0.1541
"2011-02-17",0
"2011-02-18",0
"2011-02-19",9.3391
"2011-02-20",14.4094
"2011-02-21",17.243
"2011-02-22",0.9586
"2011-02-23",0.1972
"2011-02-24",1.7627
"2011-02-25",10.5879
"2011-02-26",12.6605
"2011-02-27",1.0783
"2011-02-28",4.1784
"2011-03-01",1.5432
"2011-03-02",2.1931
"2011-03-03",26.2267
"2011-03-04",2.0388
"2011-03-05",11.8072
"2011-03-06",0.2463
"2011-03-07",4.8072
"2011-03-08",0.2051
"2011-03-09",0
"2011-03-10",0.0503
"2011-03-11",0.0656
"2011-03-12",11.2837
"2011-03-13",20.883
"2011-03-14",8.9777
"2011-03-15",6.9042
"2011-03-16",10.0011
"2011-03-17",0.1266
"2011-03-18",0.2998
"2011-03-19",8.1577
"2011-03-20",11.6908
"2011-03-21",11.5401
"2011-03-22",8.2849
"2011-03-23",9.9923
"2011-03-24",9.2741
"2011-03-25",14.2543
"2011-03-26",16.1862
"2011-03-27",20.1338
"2011-03-28",16.7803
"2011-03-29",17.1919
"2011-03-30",0.1091
"2011-03-31",1.2178
"2011-04-01",0
"2011-04-02",1.0188
"2011-04-03",0
"2011-04-04",0.5081
"2011-04-05",0.1269
"2011-04-06",0
"2011-04-07",9.8267
"2011-04-08",11.9535
"2011-04-09",20.5287
"2011-04-10",5.3441
"2011-04-11",22.3941
"2011-04-12",17.1472
"2011-04-13",11.9026
"2011-04-14",12.9605
"2011-04-15",17.6329
"2011-04-16",11.9435
"2011-04-17",20.0585
"2011-04-18",18.3642
"2011-04-19",26.2192
"2011-04-20",12.7791
"2011-04-21",22.5108
"2011-04-22",22.2076
"2011-04-23",9.6699
"2011-04-24",23.7037
"2011-04-25",20.9492
"2011-04-26",25.7897
"2011-04-27",42.0848
"2011-04-28",49.9436
"2011-04-29",3.7357
"2011-04-30",25.2611
"2011-05-01",9.277
"2011-05-02",4.0101
"2011-05-03",1.7367
"2011-05-04",5.9141
"2011-05-05",2.4281
"2011-05-06",0.7543
"2011-05-07",0.0309
"2011-05-08",0
"2011-05-09",0.2942
"2011-05-10",0
"2011-05-11",4.0282
"2011-05-12",0
"2011-05-13",13.1925
"2011-05-14",0
"2011-05-15",9.0779
"2011-05-16",0
"2011-05-17",7.5656
"2011-05-18",4.7253
"2011-05-19",0
"2011-05-20",0
"2011-05-21",0
"2011-05-22",0
"2011-05-23",8.0254
"2011-05-24",7.2687
"2011-05-25",22.9846
"2011-05-26",11.764
"2011-05-27",25.5238
"2011-05-28",23.5007
"2011-05-29",1.0257
"2011-05-30",0.5184
"2011-05-31",6.2917
"2011-06-01",20.0417
"2011-06-02",23.1777
"2011-06-03",0
"2011-06-04",0
"2011-06-05",1.2674
"2011-06-06",22.4263
"2011-06-07",5.0016
"2011-06-08",0
"2011-06-09",4.1801
"2011-06-10",0.2064
"2011-06-11",0
"2011-06-12",0
"2011-06-13",0.9076
"2011-06-14",1.4273
"2011-06-15",27.543
"2011-06-16",0
"2011-06-17",0
"2011-06-18",0
"2011-06-19",0
"2011-06-20",0
"2011-06-21",0
"2011-06-22",0
"2011-06-23",0
"2011-06-24",0
"2011-06-25",0.0267
"2011-06-26",0
"2011-06-27",0
"2011-06-28",0.1662
"2011-06-29",9.6728
"2011-06-30",0
"2011-07-01",9.1618
"2011-07-02",6.8813
"2011-07-03",0
"2011-07-04",0.3513
"2011-07-05",6.9461
"2011-07-06",13.6619
"2011-07-07",0.0034
"2011-07-08",4.3164
"2011-07-09",0.7866
"2011-07-10",1.4934
"2011-07-11",5.0789
"2011-07-12",5.0793
"2011-07-13",0.8147
"2011-07-14",1.2574
"2011-07-15",0.0303
"2011-07-16",6.6567
"2011-07-17",0.7508
"2011-07-18",0
"2011-07-19",0.7594
"2011-07-20",20.5523
"2011-07-21",0
"2011-07-22",0
"2011-07-23",3.1018
"2011-07-24",17.8446
"2011-07-25",22.4511
"2011-07-26",13.4426
"2011-07-27",0
"2011-07-28",0.412
"2011-07-29",0
"2011-07-30",5.2815
"2011-07-31",1.1136
"2011-08-01",1.2951
"2011-08-02",0
"2011-08-03",10.1569
"2011-08-04",5.1918
"2011-08-05",3.0634
"2011-08-06",3.3246
"2011-08-07",0
"2011-08-08",0
"2011-08-09",0
"2011-08-10",5.8772
"2011-08-11",0
"2011-08-12",2.2077
"2011-08-13",6.3057
"2011-08-14",13.8469
"2011-08-15",13.4156
"2011-08-16",0.0429
"2011-08-17",33.5119
"2011-08-18",0
"2011-08-19",0
"2011-08-20",0
"2011-08-21",0
"2011-08-22",0.3409
"2011-08-23",49.8268
"2011-08-24",16.1859
"2011-08-25",4.804
"2011-08-26",0
"2011-08-27",0
"2011-08-28",4.8388
"2011-08-29",0
"2011-08-30",26.9166
"2011-08-31",3.561
"2011-09-01",5.4803
"2011-09-02",0
"2011-09-03",1.0292
"2011-09-04",0
"2011-09-05",16.8184
"2011-09-06",20.5351
"2011-09-07",12.3972
"2011-09-08",8.0525
"2011-09-09",12.8008
"2011-09-10",1.4414
"2011-09-11",8.2689
"2011-09-12",38.4044
"2011-09-13",21.9967
"2011-09-14",17.7121
"2011-09-15",0.8665
"2011-09-16",0.3636
"2011-09-17",8.791
"2011-09-18",0
"2011-09-19",0
"2011-09-20",0
"2011-09-21",1.5265
"2011-09-22",9.1227
"2011-09-23",0
"2011-09-24",0
"2011-09-25",0
"2011-09-26",7.398
"2011-09-27",0.7775
"2011-09-28",1.781
"2011-09-29",1.6667
"2011-09-30",6.9613
"2011-10-01",0.7673
"2011-10-02",0.51
"2011-10-03",0
"2011-10-04",11.8767
"2011-10-05",3.2509
"2011-10-06",0
"2011-10-07",0
"2011-10-08",0.1303
"2011-10-09",2.8684
"2011-10-10",7.116
"2011-10-11",1.8653
"2011-10-12",9.8682
"2011-10-13",8.4968
"2011-10-14",2.2382
"2011-10-15",6.577
"2011-10-16",9.2082
"2011-10-17",5.1324
"2011-10-18",9.6452
"2011-10-19",11.2287
"2011-10-20",17.9543
"2011-10-21",10.9155
"2011-10-22",13.2227
"2011-10-23",20.4807
"2011-10-24",15.879
"2011-10-25",32.2887
"2011-10-26",8.0801
"2011-10-27",9.1541
"2011-10-28",34.4682
"2011-10-29",19.3797
"2011-10-30",20.9458
"2011-10-31",4.7396
"2011-11-01",12.8631
"2011-11-02",4.6347
"2011-11-03",4.8475
"2011-11-04",11.8218
"2011-11-05",11.8732
"2011-11-06",15.368
"2011-11-07",9.4464
"2011-11-08",7.9375
"2011-11-09",0.8299
"2011-11-10",6.547
"2011-11-11",0
"2011-11-12",0.1055
"2011-11-13",7.1198
"2011-11-14",2.4124
"2011-11-15",17.7003
"2011-11-16",2.3502
"2011-11-17",15.2081
"2011-11-18",17.0459
"2011-11-19",11.7806
"2011-11-20",2.6451
"2011-11-21",2.6407
"2011-11-22",3.1055
"2011-11-23",27.046
"2011-11-24",33.3029
"2011-11-25",20.5906
"2011-11-26",23.1917
"2011-11-27",10.7853
"2011-11-28",8.4721
"2011-11-29",2.255
"2011-11-30",7.1093
"2011-12-01",1.079
"2011-12-02",11.2537
"2011-12-03",2.4328
"2011-12-04",1.2058
"2011-12-05",0.478
"2011-12-06",0.6763
"2011-12-07",0
"2011-12-08",0
"2011-12-09",3.3351
"2011-12-10",5.8281
"2011-12-11",9.8171
"2011-12-12",6.5633
"2011-12-13",3.6674
"2011-12-14",14.4526
"2011-12-15",11.2511
"2011-12-16",7.4273
"2011-12-17",0.0184
"2011-12-18",0.8626
"2011-12-19",7.7304
"2011-12-20",15.6603
"2011-12-21",5.4082
"2011-12-22",11.7226
"2011-12-23",17.8069
"2011-12-24",0.3028
"2011-12-25",0
"2011-12-26",0
"2011-12-27",8.6035
"2011-12-28",0.2259
"2011-12-29",0
"2011-12-30",0
"2011-12-31",0
"2012-01-01",0
"2012-01-02",0
"2012-01-03",0
"2012-01-04",0.0704
"2012-01-05",3.9537
"2012-01-06",10.1313
"2012-01-07",30.9127
"2012-01-08",1.3335
"2012-01-09",7.1348
"2012-01-10",0
"2012-01-11",0.0239
"2012-01-12",0
"2012-01-13",0
"2012-01-14",0.2505
"2012-01-15",0
"2012-01-16",0
"2012-01-17",0.5605
"2012-01-18",0
"2012-01-19",0
"2012-01-20",0
"2012-01-21",0.3528
"2012-01-22",0.985
"2012-01-23",0.0517
"2012-01-24",0
"2012-01-25",0
"2012-01-26",0
"2012-01-27",0
"2012-01-28",2.2927
"2012-01-29",0.026
"2012-01-30",0
"2012-01-31",0.2489
"2012-02-01",0
"2012-02-02",0
"2012-02-03",1.6485
"2012-02-04",10.5475
"2012-02-05",10.2737
"2012-02-06",3.3977
"2012-02-07",16.3147
"2012-02-08",3.2474
"2012-02-09",0
"2012-02-10",11.8511
"2012-02-11",0.5286
"2012-02-12",0
"2012-02-13",0.3405
"2012-02-14",29.1363
"2012-02-15",12.1245
"2012-02-16",19.4892
"2012-02-17",2.8494
"2012-02-18",0
"2012-02-19",0.3227
"2012-02-20",0
"2012-02-21",0
"2012-02-22",3.1989
"2012-02-23",0.0178
"2012-02-24",0.0074
"2012-02-25",0
"2012-02-26",0
"2012-02-27",12.6623
"2012-02-28",10.3225
"2012-02-29",0.1196
"2012-03-01",0.6885
"2012-03-02",0
"2012-03-03",0
"2012-03-04",0.3726
"2012-03-05",1.1228
"2012-03-06",0
"2012-03-07",1.7765
"2012-03-08",0
"2012-03-09",0
"2012-03-10",12.2085
"2012-03-11",2.2995
"2012-03-12",15.9497
"2012-03-13",19.1544
"2012-03-14",12.4715
"2012-03-15",5.5221
"2012-03-16",25.0213
"2012-03-17",0.6854
"2012-03-18",0
"2012-03-19",0
"2012-03-20",0
"2012-03-21",0.0558
"2012-03-22",0
"2012-03-23",0
"2012-03-24",0.6567
"2012-03-25",0
"2012-03-26",0
"2012-03-27",8.9198
"2012-03-28",14.1391
"2012-03-29",27.689
"2012-03-30",1.7446
"2012-03-31",0.295
"2012-04-01",4.3602
"2012-04-02",3.3654
"2012-04-03",2.5748
"2012-04-04",6.2696
"2012-04-05",0.1319
"2012-04-06",2.6756
"2012-04-07",10.4963
"2012-04-08",14.182
"2012-04-09",11.7518
"2012-04-10",15.071
"2012-04-11",29.3658
"2012-04-12",30.039
"2012-04-13",10.382
"2012-04-14",39.8275
"2012-04-15",36.8379
"2012-04-16",18.5517
"2012-04-17",13.8451
"2012-04-18",11.4062
"2012-04-19",9.6935
"2012-04-20",11.968
"2012-04-21",23.0579
"2012-04-22",7.388
"2012-04-23",23.1756
"2012-04-24",12.6611
"2012-04-25",0
"2012-04-26",0.1056
"2012-04-27",0
"2012-04-28",7.8183
"2012-04-29",2.8507
"2012-04-30",12.7361
"2012-05-01",0
"2012-05-02",0
"2012-05-03",0
"2012-05-04",0
"2012-05-05",0
"2012-05-06",0
"2012-05-07",0.0933
"2012-05-08",0.3276
"2012-05-09",7.402
"2012-05-10",0
"2012-05-11",0
"2012-05-12",0
"2012-05-13",0
"2012-05-14",0.2137
"2012-05-15",0
"2012-05-16",0
"2012-05-17",0
"2012-05-18",0.7359
"2012-05-19",0.0007
"2012-05-20",0.2469
"2012-05-21",0.3546
"2012-05-22",0
"2012-05-23",4.0016
"2012-05-24",9.8499
"2012-05-25",61.5286
"2012-05-26",24.4776
"2012-05-27",0.4451
"2012-05-28",10.3402
"2012-05-29",0
"2012-05-30",6.6636
"2012-05-31",0
"2012-06-01",1.9107
"2012-06-02",0
"2012-06-03",2.7856
"2012-06-04",0
"2012-06-05",1.1941
"2012-06-06",22.889
"2012-06-07",3.0637
"2012-06-08",4.0821
"2012-06-09",14.7437
"2012-06-10",3.2623
"2012-06-11",10.7939
"2012-06-12",7.2958
"2012-06-13",1.0981
"2012-06-14",0
"2012-06-15",0.3158
"2012-06-16",0
"2012-06-17",13.0536
"2012-06-18",18.3716
"2012-06-19",0.7773
"2012-06-20",2.7329
"2012-06-21",21.1219
"2012-06-22",0
"2012-06-23",0
"2012-06-24",1.1401
"2012-06-25",1.0891
"2012-06-26",0.6836
"2012-06-27",1.8139
"2012-06-28",0.2622
"2012-06-29",0
"2012-06-30",8.9507
"2012-07-01",5.404
"2012-07-02",24.8255
"2012-07-03",0
"2012-07-04",6.0098
"2012-07-05",0
"2012-07-06",0.014
"2012-07-07",0.0555
"2012-07-08",26.1402
"2012-07-09",5.8697
"2012-07-10",0.0053
"2012-07-11",0
"2012-07-12",3.2607
"2012-07-13",21.5178
"2012-07-14",30.2084
"2012-07-15",19.1342
"2012-07-16",3.9926
"2012-07-17",3.4393
"2012-07-18",0
"2012-07-19",0
"2012-07-20",0.087
"2012-07-21",0.2266
"2012-07-22",0
"2012-07-23",5.531
"2012-07-24",0
"2012-07-25",0
"2012-07-26",0
"2012-07-27",0
"2012-07-28",0
"2012-07-29",0
"2012-07-30",0
"2012-07-31",0
"2012-08-01",0
"2012-08-02",0
"2012-08-03",1.807
"2012-08-04",4.4394
"2012-08-05",4.2632
"2012-08-06",0.092
"2012-08-07",1.7509
"2012-08-08",0
"2012-08-09",0
"2012-08-10",3.7501
"2012-08-11",0.0863
"2012-08-12",0.0858
"2012-08-13",2.2629
"2012-08-14",0.6455
"2012-08-15",0
"2012-08-16",7.3696
"2012-08-17",0.6151
"2012-08-18",0.1279
"2012-08-19",0
"2012-08-20",0
"2012-08-21",4.2769
"2012-08-22",0
"2012-08-23",0.1689
"2012-08-24",12.8659
"2012-08-25",6.8468
"2012-08-26",0.6742
"2012-08-27",2.1258
"2012-08-28",6.3785
"2012-08-29",35.9277
"2012-08-30",15.4192
"2012-08-31",20.9604
"2012-09-01",0.2789
"2012-09-02",14.541
"2012-09-03",7.263
"2012-09-04",2.9134
"2012-09-05",0
"2012-09-06",0.344
"2012-09-07",13.7506
"2012-09-08",13.1986
"2012-09-09",0.6502
"2012-09-10",18.9297
"2012-09-11",0
"2012-09-12",3.9981
"2012-09-13",1.4202
"2012-09-14",0
"2012-09-15",5.0267
"2012-09-16",17.2715
"2012-09-17",1.7743
"2012-09-18",3.0143
"2012-09-19",0.2519
"2012-09-20",3.7361
"2012-09-21",2.0904
"2012-09-22",44.4007
"2012-09-23",7.4104
"2012-09-24",13.5106
"2012-09-25",11.3688
"2012-09-26",0
"2012-09-27",7.2798
"2012-09-28",6.2235
"2012-09-29",0.3618
"2012-09-30",0
"2012-10-01",0.0474
"2012-10-02",0
"2012-10-03",0
"2012-10-04",0
"2012-10-05",0
"2012-10-06",5.0304
"2012-10-07",9.7171
"2012-10-08",9.3582
"2012-10-09",26.558
"2012-10-10",14.6019
"2012-10-11",13.0516
"2012-10-12",3.1897
"2012-10-13",2.955
"2012-10-14",21.6203
"2012-10-15",13.9088
"2012-10-16",42.1598
"2012-10-17",18.3826
"2012-10-18",32.3738
"2012-10-19",13.2826
"2012-10-20",18.3521
"2012-10-21",24.2961
"2012-10-22",24.3191
"2012-10-23",30.1222
"2012-10-24",11.0759
"2012-10-25",6.7311
"2012-10-26",7.6368
"2012-10-27",14.6913
"2012-10-28",36.2416
"2012-10-29",48.5467
"2012-10-30",52.56
"2012-10-31",37.8274
"2012-11-01",36.7848
"2012-11-02",6.0237
"2012-11-03",17.5745
"2012-11-04",6.0065
"2012-11-05",7.4261
"2012-11-06",12.942
"2012-11-07",6.0112
"2012-11-08",12.6218
"2012-11-09",22.1421
"2012-11-10",9.5422
"2012-11-11",12.3486
"2012-11-12",17.5807
"2012-11-13",12.6931
"2012-11-14",0.4376
"2012-11-15",8.3476
"2012-11-16",7.6427
"2012-11-17",4.4486
"2012-11-18",1.4475
"2012-11-19",1.1617
"2012-11-20",8.7898
"2012-11-21",5.151
"2012-11-22",6.0022
"2012-11-23",35.2613
"2012-11-24",24.1706
"2012-11-25",28.0148
"2012-11-26",25.6326
"2012-11-27",17.3807
"2012-11-28",9.2079
"2012-11-29",28.8175
"2012-11-30",10.4098
"2012-12-01",0
"2012-12-02",0
"2012-12-03",0
"2012-12-04",0.0747
"2012-12-05",0
"2012-12-06",13.2288
"2012-12-07",0
"2012-12-08",1.2465
"2012-12-09",2.9373
"2012-12-10",0
"2012-12-11",0
"2012-12-12",0.2779
"2012-12-13",0
"2012-12-14",1.495
"2012-12-15",13.8271
"2012-12-16",24.7049
"2012-12-17",72.7025
"2012-12-18",41.9582
"2012-12-19",29.5331
"2012-12-20",2.08
"2012-12-21",0.5575
"2012-12-22",31.8805
"2012-12-23",10.9338
"2012-12-24",2.7512
"2012-12-25",18.2309
"2012-12-26",38.5447
"2012-12-27",5.6646
"2012-12-28",2.3745
"2012-12-29",4.1412
"2012-12-30",1.3628
"2012-12-31",1.1067
"2013-01-01",2.615
"2013-01-02",3.3129
"2013-01-03",9.9698
"2013-01-04",7.5725
"2013-01-05",11.2509
"2013-01-06",11.8676
"2013-01-07",43.45
"2013-01-08",0.8867
"2013-01-09",0.8039
"2013-01-10",35.7399
"2013-01-11",15.1344
"2013-01-12",2.1382
"2013-01-13",1.9223
"2013-01-14",0
"2013-01-15",0
"2013-01-16",0
"2013-01-17",0
"2013-01-18",0
"2013-01-19",0
"2013-01-20",5.2777
"2013-01-21",0
"2013-01-22",0
"2013-01-23",5.4945
"2013-01-24",12.7904
"2013-01-25",4.5275
"2013-01-26",0.0049
"2013-01-27",0
"2013-01-28",0
"2013-01-29",0.0392
"2013-01-30",0
"2013-01-31",0
"2013-02-01",0
"2013-02-02",0
"2013-02-03",0
"2013-02-04",7.283
"2013-02-05",0.8875
"2013-02-06",24.0633
"2013-02-07",40.3531
"2013-02-08",12.5898
"2013-02-09",13.2688
"2013-02-10",2.4127
"2013-02-11",16.0809
"2013-02-12",34.8175
"2013-02-13",48.6538
"2013-02-14",14.8419
"2013-02-15",5.579
"2013-02-16",7.8234
"2013-02-17",13.7052
"2013-02-18",10.9777
"2013-02-19",13.2477
"2013-02-20",1.0779
"2013-02-21",1.3317
"2013-02-22",0
"2013-02-23",0
"2013-02-24",0
"2013-02-25",0
"2013-02-26",0
"2013-02-27",0
"2013-02-28",2.6425
"2013-03-01",0.749
"2013-03-02",1.7669
"2013-03-03",10.6655
"2013-03-04",23.2977
"2013-03-05",4.2114
"2013-03-06",4.7161
"2013-03-07",14.9909
"2013-03-08",11.0799
"2013-03-09",12.7114
"2013-03-10",3.9305
"2013-03-11",9.2029
"2013-03-12",5.8277
"2013-03-13",6.12
"2013-03-14",12.4271
"2013-03-15",22.2586
"2013-03-16",2.7445
"2013-03-17",12.0074
"2013-03-18",18.0052
"2013-03-19",10.5502
"2013-03-20",1.0497
"2013-03-21",11.4412
"2013-03-22",1.6591
"2013-03-23",12.8252
"2013-03-24",22.5417
"2013-03-25",22.1724
"2013-03-26",16.5951
"2013-03-27",9.4619
