,"(mm) Precipitation (CHIRPS) at Kegalle, 2007-01-01 to 2025-12-31"
"2010-03-05",0
"2010-03-06",0
"2010-03-07",0
"2010-03-08",0
"2010-03-09",0
"2010-03-10",0
"2010-03-11",0
"2010-03-12",0.031
"2010-03-13",21.0282
"2010-03-14",3.6713
"2010-03-15",0
"2010-03-16",0.6821
"2010-03-17",0
"2010-03-18",9.8294
"2010-03-19",2.9313
"2010-03-20",0
"2010-03-21",1.442
"2010-03-22",0
"2010-03-23",0.2597
"2010-03-24",12.7799
"2010-03-25",1.4394
"2010-03-26",35.583
"2010-03-27",28.3759
"2010-03-28",5.3407
"2010-03-29",16.5956
"2010-03-30",34.8993
"2010-03-31",4.8729
"2010-04-01",10.1984
"2010-04-02",0
"2010-04-03",0.8082
"2010-04-04",15.2206
"2010-04-05",16.0454
"2010-04-06",7.2057
"2010-04-07",14.4883
"2010-04-08",14.671
"2010-04-09",16.3539
"2010-04-10",15.5577
"2010-04-11",3.0441
"2010-04-12",6.7197
"2010-04-13",8.4114
"2010-04-14",25.3754
"2010-04-15",2.7199
"2010-04-16",20.9354
"2010-04-17",27.6927
"2010-04-18",19.9245
"2010-04-19",2.611
"2010-04-20",0
"2010-04-21",37.4882
"2010-04-22",22.1569
"2010-04-23",29.8529
"2010-04-24",24.0049
"2010-04-25",14.6238
"2010-04-26",27.5528
"2010-04-27",23.9537
"2010-04-28",25.4483
"2010-04-29",43.1601
"2010-04-30",37.3655
"2010-05-01",5.1161
"2010-05-02",7.0259
"2010-05-03",0
"2010-05-04",0.5586
"2010-05-05",11.4534
"2010-05-06",1.1077
"2010-05-07",12.3332
"2010-05-08",13.4433
"2010-05-09",22.4482
"2010-05-10",8.7277
"2010-05-11",16.1402
"2010-05-12",17.6471
"2010-05-13",3.1875
"2010-05-14",5.0054
"2010-05-15",12.5506
"2010-05-16",4.3012
"2010-05-17",34.7686
"2010-05-18",27.9869
"2010-05-19",49.535
"2010-05-20",59.7766
"2010-05-21",19.8918
"2010-05-22",1.6325
"2010-05-23",0.1392
"2010-05-24",24.9394
"2010-05-25",0
"2010-05-26",3.2953
"2010-05-27",0
"2010-05-28",4.7053
"2010-05-29",0
"2010-05-30",2.3556
"2010-05-31",0
"2010-06-01",0
"2010-06-02",0
"2010-06-03",2.3761
"2010-06-04",1.0982
"2010-06-05",15.0427
"2010-06-06",13.6375
"2010-06-07",17.5025
"2010-06-08",34.5741
"2010-06-09",0
"2010-06-10",1.5675
"2010-06-11",42.3446
"2010-06-12",1.2125
"2010-06-13",18.2647
"2010-06-14",3.7901
"2010-06-15",20.1893
"2010-06-16",24.1147
"2010-06-17",37.3067
"2010-06-18",11.7441
"2010-06-19",10.2649
"2010-06-20",5.4461
"2010-06-21",2.4991
"2010-06-22",1.5301
"2010-06-23",56.1532
"2010-06-24",0
"2010-06-25",0
"2010-06-26",0
"2010-06-27",10.5484
"2010-06-28",36.7383
"2010-06-29",0
"2010-06-30",0.3734
"2010-07-01",10.2767
"2010-07-02",0
"2010-07-03",0
"2010-07-04",0
"2010-07-05",39.8574
"2010-07-06",28.668
"2010-07-07",14.6948
"2010-07-08",27.3134
"2010-07-09",19.4177
"2010-07-10",13.3742
"2010-07-11",12.8708
"2010-07-12",13.5817
"2010-07-13",2.8948
"2010-07-14",17.6162
"2010-07-15",10.376
"2010-07-16",14.0695
"2010-07-17",9.6448
"2010-07-18",8.8243
"2010-07-19",32.6265
"2010-07-20",2.6936
"2010-07-21",1.7039
"2010-07-22",8.784
"2010-07-23",4.1233
"2010-07-24",0
"2010-07-25",0.0043
"2010-07-26",1.0879
"2010-07-27",0.3904
"2010-07-28",5.3629
"2010-07-29",0
"2010-07-30",5.0954
"2010-07-31",0
"2010-08-01",0.0325
"2010-08-02",1.23
"2010-08-03",6.4069
"2010-08-04",0
"2010-08-05",0
"2010-08-06",0.5961
"2010-08-07",1.3014
"2010-08-08",0.2382
"2010-08-09",0
"2010-08-10",0.235
"2010-08-11",1.991
"2010-08-12",8.6896
"2010-08-13",0.338
"2010-08-14",20.5426
"2010-08-15",15.8526
"2010-08-16",0
"2010-08-17",0
"2010-08-18",0
"2010-08-19",42.1293
"2010-08-20",48.17
"2010-08-21",30.0987
"2010-08-22",0
"2010-08-23",0
"2010-08-24",4.5166
"2010-08-25",0
"2010-08-26",3.7036
"2010-08-27",0
"2010-08-28",0
"2010-08-29",40.7574
"2010-08-30",1.725
"2010-08-31",2.5097
"2010-09-01",0
"2010-09-02",9.2858
"2010-09-03",11.7865
"2010-09-04",0
"2010-09-05",0
"2010-09-06",0
"2010-09-07",0
"2010-09-08",0.0096
"2010-09-09",9.9803
"2010-09-10",24.7793
"2010-09-11",7.6874
"2010-09-12",6.2311
"2010-09-13",6.4791
"2010-09-14",6.8731
"2010-09-15",0.4884
"2010-09-16",0
"2010-09-17",0
"2010-09-18",0
"2010-09-19",9.5629
"2010-09-20",13.2353
"2010-09-21",43.2338
"2010-09-22",27.7431
"2010-09-23",12.3675
"2010-09-24",13.0007
"2010-09-25",0.2777
"2010-09-26",12.8934
"2010-09-27",14.7249
"2010-09-28",42.98
"2010-09-29",51.8522
"2010-09-30",26.2493
"2010-10-01",69.8379
"2010-10-02",69.0743
"2010-10-03",40.6281
"2010-10-04",0.1687
"2010-10-05",0
"2010-10-06",9.8161
"2010-10-07",1.8822
"2010-10-08",20.1181
"2010-10-09",22.1141
"2010-10-10",13.864
"2010-10-11",0
"2010-10-12",4.4655
"2010-10-13",0
"2010-10-14",0
"2010-10-15",0
"2010-10-16",0
"2010-10-17",0
"2010-10-18",0
"2010-10-19",1.0231
"2010-10-20",4.4405
"2010-10-21",0.0118
"2010-10-22",0
"2010-10-23",0
"2010-10-24",0
"2010-10-25",7.8923
"2010-10-26",9.6706
"2010-10-27",22.2337
"2010-10-28",26.873
"2010-10-29",22.6547
"2010-10-30",13.7738
"2010-10-31",12.0386
"2010-11-01",2.347
"2010-11-02",0.9854
"2010-11-03",16.114
"2010-11-04",25.2309
"2010-11-05",5.0391
"2010-11-06",55.632
"2010-11-07",34.6779
"2010-11-08",0
"2010-11-09",13.6101
"2010-11-10",8.8284
"2010-11-11",0.6505
"2010-11-12",0
"2010-11-13",15.3587
"2010-11-14",2.3335
"2010-11-15",10.2142
"2010-11-16",12.3567
"2010-11-17",21.6186
"2010-11-18",22.5497
"2010-11-19",1.9938
"2010-11-20",61.4862
"2010-11-21",33.3055
"2010-11-22",72.2056
"2010-11-23",36.0645
"2010-11-24",21.8981
"2010-11-25",14.8838
"2010-11-26",27.7272
"2010-11-27",24.6849
"2010-11-28",27.3945
"2010-11-29",1.5015
"2010-11-30",57.0452
"2010-12-01",36.1407
"2010-12-02",36.7439
"2010-12-03",44.3345
"2010-12-04",26.7242
"2010-12-05",3.4275
"2010-12-06",0
"2010-12-07",16.2582
"2010-12-08",1.0291
"2010-12-09",29.1368
"2010-12-10",0
"2010-12-11",0
"2010-12-12",0
"2010-12-13",0
"2010-12-14",0
"2010-12-15",0
"2010-12-16",3.4638
"2010-12-17",0
"2010-12-18",4.8124
"2010-12-19",0.0109
"2010-12-20",5.8783
"2010-12-21",17.4104
"2010-12-22",15.2622
"2010-12-23",25.1103
"2010-12-24",9.0395
"2010-12-25",6.2108
"2010-12-26",0.8697
"2010-12-27",0.0683
"2010-12-28",1.6098
"2010-12-29",5.0296
"2010-12-30",13.027
"2010-12-31",5.8763
"2011-01-01",5.3495
"2011-01-02",4.2802
"2011-01-03",5.4538
"2011-01-04",4.8576
"2011-01-05",3.6516
"2011-01-06",3.7798
"2011-01-07",11.5632
"2011-01-08",21.7067
"2011-01-09",33.4845
"2011-01-10",20.7627
"2011-01-11",17.2021
"2011-01-12",21.0376
"2011-01-13",2.7248
"2011-01-14",1.0285
"2011-01-15",0
"2011-01-16",0
"2011-01-17",0
"2011-01-18",0
"2011-01-19",0
"2011-01-20",0
"2011-01-21",0
"2011-01-22",0
"2011-01-23",0
"2011-01-24",0
"2011-01-25",0
"2011-01-26",16.8348
"2011-01-27",5.3357
"2011-01-28",11.6372
"2011-01-29",0.3648
"2011-01-30",8.6125
"2011-01-31",23.7492
"2011-02-01",48.4519
"2011-02-02",64.9296
"2011-02-03",13.4606
"2011-02-04",1.5058
"2011-02-05",1.3783
"2011-02-06",15.3157
"2011-02-07",48.6573
"2011-02-08",8.9045
"2011-02-09",2.7211
"2011-02-10",0.7268
"2011-02-11",0
"2011-02-12",0
"2011-02-13",0
"2011-02-14",1.5252
"2011-02-15",9.3025
"2011-02-16",0.1931
"2011-02-17",0
"2011-02-18",0
"2011-02-19",10.1417
"2011-02-20",20.755
"2011-02-21",31.2602
"2011-02-22",0.5708
"2011-02-23",0
"2011-02-24",0
"2011-02-25",7.0664
"2011-02-26",8.892
"2011-02-27",0
"2011-02-28",0.1964
"2011-03-01",0.8403
"2011-03-02",0
"2011-03-03",10.1374
"2011-03-04",6.4475
"2011-03-05",17.7951
"2011-03-06",0
"2011-03-07",5.6026
"2011-03-08",0
"2011-03-09",0
"2011-03-10",0
"2011-03-11",0
"2011-03-12",6.2268
"2011-03-13",23.5611
"2011-03-14",4.3389
"2011-03-15",0
"2011-03-16",0.4238
"2011-03-17",0
"2011-03-18",0
"2011-03-19",5.0346
"2011-03-20",12.545
"2011-03-21",12.4997
"2011-03-22",7.8333
"2011-03-23",14.42
"2011-03-24",6.1418
"2011-03-25",15.165
"2011-03-26",10.9448
"2011-03-27",5.3867
"2011-03-28",8.5913
"2011-03-29",9.7448
"2011-03-30",0
"2011-03-31",0
"2011-04-01",0
"2011-04-02",0.3132
"2011-04-03",0
"2011-04-04",2.3722
"2011-04-05",0.0278
"2011-04-06",0
"2011-04-07",7.4113
"2011-04-08",14.5637
"2011-04-09",26.9604
"2011-04-10",16.2012
"2011-04-11",24.5721
"2011-04-12",23.3271
"2011-04-13",17.2117
"2011-04-14",8.7223
"2011-04-15",10.3146
"2011-04-16",21.1904
"2011-04-17",37.4078
"2011-04-18",35.4746
"2011-04-19",31.3638
"2011-04-20",18.8015
"2011-04-21",29.2781
"2011-04-22",20.2657
"2011-04-23",21.0354
"2011-04-24",45.9851
"2011-04-25",22.3677
"2011-04-26",21.9165
"2011-04-27",38.2121
"2011-04-28",40.553
"2011-04-29",0.2474
"2011-04-30",23.801
"2011-05-01",18.4139
"2011-05-02",21.3565
"2011-05-03",0
"2011-05-04",2.4679
"2011-05-05",0.8615
"2011-05-06",0.5664
"2011-05-07",0
"2011-05-08",0
"2011-05-09",2.4965
"2011-05-10",0
"2011-05-11",0.5553
"2011-05-12",0
"2011-05-13",8.4729
"2011-05-14",0
"2011-05-15",11.725
"2011-05-16",0
"2011-05-17",6.6755
"2011-05-18",0.0726
"2011-05-19",0
"2011-05-20",0
"2011-05-21",0.7038
"2011-05-22",0
"2011-05-23",4.2002
"2011-05-24",25.1882
"2011-05-25",21.7747
"2011-05-26",32.6142
"2011-05-27",47.7166
"2011-05-28",32.7516
"2011-05-29",9.6933
"2011-05-30",0.8745
"2011-05-31",3.9041
"2011-06-01",21.5394
"2011-06-02",34.3817
"2011-06-03",0
"2011-06-04",1.6226
"2011-06-05",0.404
"2011-06-06",21.2461
"2011-06-07",21.1122
"2011-06-08",0
"2011-06-09",2.4039
"2011-06-10",0
"2011-06-11",0
"2011-06-12",0
"2011-06-13",1.0043
"2011-06-14",5.4058
"2011-06-15",20.8311
"2011-06-16",0
"2011-06-17",0
"2011-06-18",1.4662
"2011-06-19",0
"2011-06-20",0
"2011-06-21",0
"2011-06-22",0
"2011-06-23",0
"2011-06-24",0
"2011-06-25",1.0716
"2011-06-26",0
"2011-06-27",0
"2011-06-28",0.9693
"2011-06-29",5.435
"2011-06-30",0
"2011-07-01",13.2538
"2011-07-02",1.4637
"2011-07-03",0
"2011-07-04",0
"2011-07-05",12.7274
"2011-07-06",6.0701
"2011-07-07",0.6372
"2011-07-08",11.9591
"2011-07-09",4.9863
"2011-07-10",2.05
"2011-07-11",8.7621
"2011-07-12",18.5126
"2011-07-13",0
"2011-07-14",0
"2011-07-15",0
"2011-07-16",14.0018
"2011-07-17",0
"2011-07-18",0.0896
"2011-07-19",1.5545
"2011-07-20",0
"2011-07-21",0
"2011-07-22",0.0032
"2011-07-23",5.5285
"2011-07-24",1.3844
"2011-07-25",38.1651
"2011-07-26",6.0324
"2011-07-27",0
"2011-07-28",0.0763
"2011-07-29",0
"2011-07-30",4.575
"2011-07-31",0.4956
"2011-08-01",2.7445
"2011-08-02",0
"2011-08-03",6.2859
"2011-08-04",0
"2011-08-05",11.8363
"2011-08-06",0.9348
"2011-08-07",0
"2011-08-08",0
"2011-08-09",2.5787
"2011-08-10",18.0048
"2011-08-11",0
"2011-08-12",6.5114
"2011-08-13",9.2658
"2011-08-14",8.9828
"2011-08-15",6.2039
"2011-08-16",0.0493
"2011-08-17",21.6138
"2011-08-18",0
"2011-08-19",0
"2011-08-20",0
"2011-08-21",0
"2011-08-22",17.4414
"2011-08-23",0.8794
"2011-08-24",9.7958
"2011-08-25",4.6836
"2011-08-26",0
"2011-08-27",15.8984
"2011-08-28",8.0518
"2011-08-29",0
"2011-08-30",8.5538
"2011-08-31",0
"2011-09-01",0.3322
"2011-09-02",0
"2011-09-03",0.7227
"2011-09-04",0.1492
"2011-09-05",5.4212
"2011-09-06",19.463
"2011-09-07",4.7646
"2011-09-08",8.2161
"2011-09-09",10.2869
"2011-09-10",10.695
"2011-09-11",15.1149
"2011-09-12",52.7755
"2011-09-13",31.1497
"2011-09-14",35.5208
"2011-09-15",0.8686
"2011-09-16",6.8624
"2011-09-17",6.3894
"2011-09-18",0
"2011-09-19",0.311
"2011-09-20",0
"2011-09-21",1.7838
"2011-09-22",6.8388
"2011-09-23",0
"2011-09-24",0
"2011-09-25",0
"2011-09-26",8.8657
"2011-09-27",2.695
"2011-09-28",2.4531
"2011-09-29",2.3921
"2011-09-30",11.3773
"2011-10-01",8.4379
"2011-10-02",0
"2011-10-03",0.0717
"2011-10-04",9.8664
"2011-10-05",7.2836
"2011-10-06",0
"2011-10-07",0
"2011-10-08",0
"2011-10-09",0.9054
"2011-10-10",3.2091
"2011-10-11",8.201
"2011-10-12",17.648
"2011-10-13",1.5605
"2011-10-14",8.6529
"2011-10-15",17.1671
"2011-10-16",14.2462
"2011-10-17",11.0458
"2011-10-18",17.2012
"2011-10-19",20.8618
"2011-10-20",21.569
"2011-10-21",16.5245
"2011-10-22",7.8158
"2011-10-23",17.4303
"2011-10-24",31.3934
"2011-10-25",55.3155
"2011-10-26",22.1321
"2011-10-27",11.7299
"2011-10-28",39.9384
"2011-10-29",19.8826
"2011-10-30",9.2039
"2011-10-31",7.0159
"2011-11-01",11.7207
"2011-11-02",8.8269
"2011-11-03",2.6534
"2011-11-04",10.0328
"2011-11-05",1.7797
"2011-11-06",15.6713
"2011-11-07",9.989
"2011-11-08",0.1762
"2011-11-09",0
"2011-11-10",6.9844
"2011-11-11",0
"2011-11-12",0
"2011-11-13",6.6622
"2011-11-14",0.0662
"2011-11-15",9.0471
"2011-11-16",0.0432
"2011-11-17",20.648
"2011-11-18",13.1055
"2011-11-19",15.326
"2011-11-20",0.5851
"2011-11-21",4.8186
"2011-11-22",0.4785
"2011-11-23",6.2264
"2011-11-24",23.7426
"2011-11-25",17.6627
"2011-11-26",20.2576
"2011-11-27",14.2844
"2011-11-28",0.1714
"2011-11-29",0
"2011-11-30",11.5609
"2011-12-01",0.2372
"2011-12-02",11.6841
"2011-12-03",0.8472
"2011-12-04",0
"2011-12-05",0
"2011-12-06",0
"2011-12-07",0
"2011-12-08",0
"2011-12-09",6.1577
"2011-12-10",2.7397
"2011-12-11",9.361
"2011-12-12",7.0467
"2011-12-13",8.3933
"2011-12-14",7.974
"2011-12-15",3.8887
"2011-12-16",0.3622
"2011-12-17",0.2776
"2011-12-18",2.1869
"2011-12-19",6.2922
"2011-12-20",9.441
"2011-12-21",4.5437
"2011-12-22",7.3187
"2011-12-23",14.0866
"2011-12-24",0.1325
"2011-12-25",0
"2011-12-26",0
"2011-12-27",9.7002
"2011-12-28",0.1635
"2011-12-29",0
"2011-12-30",0
"2011-12-31",0
"2012-01-01",0
"2012-01-02",0
"2012-01-03",0
"2012-01-04",0
"2012-01-05",6.2964
"2012-01-06",15.8483
"2012-01-07",23.3112
"2012-01-08",1.9377
"2012-01-09",5.9201
"2012-01-10",0
"2012-01-11",0
"2012-01-12",0
"2012-01-13",0
"2012-01-14",0.0299
"2012-01-15",0
"2012-01-16",0
"2012-01-17",0
"2012-01-18",0
"2012-01-19",0
"2012-01-20",0
"2012-01-21",0
"2012-01-22",1.0403
"2012-01-23",0.3688
"2012-01-24",0.2608
"2012-01-25",0
"2012-01-26",0
"2012-01-27",0
"2012-01-28",0
"2012-01-29",0
"2012-01-30",0
"2012-01-31",0.477
"2012-02-01",0
"2012-02-02",0
"2012-02-03",0.0342
"2012-02-04",13.2489
"2012-02-05",6.7048
"2012-02-06",2.7056
"2012-02-07",2.3476
"2012-02-08",0
"2012-02-09",14.5266
"2012-02-10",10.4773
"2012-02-11",0
"2012-02-12",0
"2012-02-13",0
"2012-02-14",24.3347
"2012-02-15",9.2608
"2012-02-16",20.0814
"2012-02-17",4.2942
"2012-02-18",0
"2012-02-19",0
"2012-02-20",0
"2012-02-21",0
"2012-02-22",3.3371
"2012-02-23",1.1235
"2012-02-24",0
"2012-02-25",0
"2012-02-26",0
"2012-02-27",7.3735
"2012-02-28",15.7302
"2012-02-29",0
"2012-03-01",2.0538
"2012-03-02",0
"2012-03-03",0
"2012-03-04",0
"2012-03-05",0
"2012-03-06",0
"2012-03-07",0.1944
"2012-03-08",0
"2012-03-09",0
"2012-03-10",3.6538
"2012-03-11",0
"2012-03-12",12.1881
"2012-03-13",18.703
"2012-03-14",8.516
"2012-03-15",17.4326
"2012-03-16",14.9155
"2012-03-17",0.0818
"2012-03-18",0
"2012-03-19",0
"2012-03-20",0
"2012-03-21",0
"2012-03-22",0
"2012-03-23",0
"2012-03-24",0
"2012-03-25",0
"2012-03-26",0
"2012-03-27",7.5443
"2012-03-28",19.2047
"2012-03-29",26.6913
"2012-03-30",0.3013
"2012-03-31",10.3602
"2012-04-01",2.342
"2012-04-02",3.1937
"2012-04-03",1.3971
"2012-04-04",2.696
"2012-04-05",0
"2012-04-06",0.0022
"2012-04-07",6.4058
"2012-04-08",8.9523
"2012-04-09",17.468
"2012-04-10",17.468
"2012-04-11",15.7286
"2012-04-12",42.8959
"2012-04-13",9.8429
"2012-04-14",34.1793
"2012-04-15",29.872
"2012-04-16",20.7782
"2012-04-17",13.6389
"2012-04-18",13.4378
"2012-04-19",3.6865
"2012-04-20",8.3703
"2012-04-21",18.8326
"2012-04-22",25.7709
"2012-04-23",23.5511
"2012-04-24",20.4069
"2012-04-25",0
"2012-04-26",0.3329
"2012-04-27",0.4966
"2012-04-28",2.433
"2012-04-29",0.199
"2012-04-30",13.8309
"2012-05-01",0
"2012-05-02",0
"2012-05-03",0
"2012-05-04",0
"2012-05-05",0
"2012-05-06",0
"2012-05-07",0.8554
"2012-05-08",0
"2012-05-09",0.8182
"2012-05-10",0
"2012-05-11",0
"2012-05-12",0
"2012-05-13",0
"2012-05-14",4.3957
"2012-05-15",0
"2012-05-16",0
"2012-05-17",0
"2012-05-18",0
"2012-05-19",0
"2012-05-20",0.0005
"2012-05-21",0.5919
"2012-05-22",0
"2012-05-23",0
"2012-05-24",3.0875
"2012-05-25",43.7246
"2012-05-26",10.8215
"2012-05-27",0.1778
"2012-05-28",1.0264
"2012-05-29",0
"2012-05-30",1.0384
"2012-05-31",0
"2012-06-01",0.0045
"2012-06-02",0
"2012-06-03",0.1099
"2012-06-04",0.0008
"2012-06-05",3.305
"2012-06-06",20.7617
"2012-06-07",5.4074
"2012-06-08",0.075
"2012-06-09",12.4924
"2012-06-10",0.4846
"2012-06-11",2.384
"2012-06-12",0
"2012-06-13",12.1093
"2012-06-14",0
"2012-06-15",0
"2012-06-16",0
"2012-06-17",17.8421
"2012-06-18",8.432
"2012-06-19",0.4257
"2012-06-20",9.8058
"2012-06-21",19.7297
"2012-06-22",0
"2012-06-23",0
"2012-06-24",17.6876
"2012-06-25",8.2938
"2012-06-26",5.7403
"2012-06-27",13.885
"2012-06-28",9.2693
"2012-06-29",0
"2012-06-30",12.4782
"2012-07-01",2.7944
"2012-07-02",30.2304
"2012-07-03",6.1594
"2012-07-04",0
"2012-07-05",0
"2012-07-06",0
"2012-07-07",1.8405
"2012-07-08",14.0853
"2012-07-09",19.655
"2012-07-10",0.8664
"2012-07-11",0
"2012-07-12",3.1201
"2012-07-13",22.6962
"2012-07-14",27.143
"2012-07-15",21.3778
"2012-07-16",1.8538
"2012-07-17",3.7834
"2012-07-18",0
"2012-07-19",0
"2012-07-20",0
"2012-07-21",0.0631
"2012-07-22",0
"2012-07-23",0.24
"2012-07-24",0
"2012-07-25",1.4058
"2012-07-26",0
"2012-07-27",0
"2012-07-28",0
"2012-07-29",0
"2012-07-30",0
"2012-07-31",0
"2012-08-01",0
"2012-08-02",0
"2012-08-03",1.1052
"2012-08-04",5.0872
"2012-08-05",6.9217
"2012-08-06",2.5312
"2012-08-07",0.0228
"2012-08-08",0
"2012-08-09",0
"2012-08-10",9.7117
"2012-08-11",0.8058
"2012-08-12",13.9708
"2012-08-13",16.3328
"2012-08-14",18.3756
"2012-08-15",3.3608
"2012-08-16",3.4377
"2012-08-17",0.8127
"2012-08-18",0
"2012-08-19",0
"2012-08-20",0
"2012-08-21",1.147
"2012-08-22",7.5466
"2012-08-23",4.095
"2012-08-24",21.9488
"2012-08-25",13.7824
"2012-08-26",0
"2012-08-27",5.2071
"2012-08-28",7.1467
"2012-08-29",54.3133
"2012-08-30",7.2764
"2012-08-31",11.3108
"2012-09-01",9.1745
"2012-09-02",10.8304
"2012-09-03",3.8663
"2012-09-04",5.8932
"2012-09-05",0
"2012-09-06",4.2934
"2012-09-07",16.5674
"2012-09-08",9.1093
"2012-09-09",3.0393
"2012-09-10",8.3007
"2012-09-11",0
"2012-09-12",15.0667
"2012-09-13",0
"2012-09-14",0.6764
"2012-09-15",1.9772
"2012-09-16",10.8817
"2012-09-17",7.0052
"2012-09-18",0
"2012-09-19",0.964
"2012-09-20",12.1289
"2012-09-21",4.7194
"2012-09-22",12.3832
"2012-09-23",7.1836
"2012-09-24",8.5976
"2012-09-25",7.4801
"2012-09-26",0.0197
"2012-09-27",11.9462
"2012-09-28",3.0406
"2012-09-29",0.0454
"2012-09-30",0
"2012-10-01",0.6118
"2012-10-02",0
"2012-10-03",0
"2012-10-04",0
"2012-10-05",0
"2012-10-06",11.6903
"2012-10-07",15.9542
"2012-10-08",13.753
"2012-10-09",44.6799
"2012-10-10",19.5386
"2012-10-11",10.7714
"2012-10-12",12.6128
"2012-10-13",21.3439
"2012-10-14",20.7226
"2012-10-15",23.4388
"2012-10-16",40.3237
"2012-10-17",23.2893
"2012-10-18",23.3894
"2012-10-19",23.7359
"2012-10-20",36.0601
"2012-10-21",24.9738
"2012-10-22",19.218
"2012-10-23",18.4063
"2012-10-24",20.4717
"2012-10-25",8.4496
"2012-10-26",14.9613
"2012-10-27",14.2501
"2012-10-28",38.9531
"2012-10-29",57.3381
"2012-10-30",56.6936
"2012-10-31",37.9529
"2012-11-01",39.25
"2012-11-02",12.0855
"2012-11-03",9.6776
"2012-11-04",16.0724
"2012-11-05",12.4106
"2012-11-06",17.1971
"2012-11-07",10.3823
"2012-11-08",15.7942
"2012-11-09",15.8048
"2012-11-10",11.4893
"2012-11-11",11.6954
"2012-11-12",16.6514
"2012-11-13",5.755
"2012-11-14",0.0024
"2012-11-15",3.0159
"2012-11-16",2.4949
"2012-11-17",1.9372
"2012-11-18",1.3725
"2012-11-19",0.106
"2012-11-20",0.0023
"2012-11-21",0
"2012-11-22",13.4705
"2012-11-23",28.9636
"2012-11-24",23.2954
"2012-11-25",19.735
"2012-11-26",36.4079
"2012-11-27",35.1248
"2012-11-28",3.7565
"2012-11-29",17.4052
"2012-11-30",7.3009
"2012-12-01",0
"2012-12-02",0
"2012-12-03",0
"2012-12-04",0.3733
"2012-12-05",0
"2012-12-06",5.7174
"2012-12-07",0
"2012-12-08",0
"2012-12-09",0.9573
"2012-12-10",0
"2012-12-11",0
"2012-12-12",0.2077
"2012-12-13",0
"2012-12-14",0
"2012-12-15",13.5292
"2012-12-16",25.8173
"2012-12-17",69.0135
"2012-12-18",49.3258
"2012-12-19",23.3601
"2012-12-20",4.2274
"2012-12-21",0.5586
"2012-12-22",43.3749
"2012-12-23",0.2122
"2012-12-24",8.2007
"2012-12-25",22.3043
"2012-12-26",19.7224
"2012-12-27",27.8035
"2012-12-28",0.8403
"2012-12-29",6.6942
"2012-12-30",7.8743
"2012-12-31",5.6317
"2013-01-01",0.95
"2013-01-02",0
"2013-01-03",12.3032
"2013-01-04",6.9107
"2013-01-05",7.7207
"2013-01-06",16.7727
"2013-01-07",42.7133
"2013-01-08",6.7612
"2013-01-09",0
"2013-01-10",51.8898
"2013-01-11",8.9717
"2013-01-12",0.63
"2013-01-13",7.8332
"2013-01-14",0
"2013-01-15",0
"2013-01-16",0
"2013-01-17",0
"2013-01-18",0
"2013-01-19",0
"2013-01-20",0.1676
"2013-01-21",0
"2013-01-22",0
"2013-01-23",0.3652
"2013-01-24",3.4278
"2013-01-25",0
"2013-01-26",0
"2013-01-27",0
"2013-01-28",0
"2013-01-29",0
"2013-01-30",0
"2013-01-31",0
"2013-02-01",0
"2013-02-02",0
"2013-02-03",0
"2013-02-04",7.7914
"2013-02-05",0.1253
"2013-02-06",19.114
"2013-02-07",28.9344
"2013-02-08",3.3395
"2013-02-09",22.4489
"2013-02-10",0.9147
"2013-02-11",16.2974
"2013-02-12",24.9696
"2013-02-13",32.4668
"2013-02-14",13.4795
"2013-02-15",7.4194
"2013-02-16",5.9772
"2013-02-17",3.2082
"2013-02-18",16.1704
"2013-02-19",15.376
"2013-02-20",0
"2013-02-21",0
"2013-02-22",0
"2013-02-23",0
"2013-02-24",0
"2013-02-25",0
"2013-02-26",0
"2013-02-27",0
"2013-02-28",0
"2013-03-01",0
"2013-03-02",0
"2013-03-03",1.0825
"2013-03-04",36.1602
"2013-03-05",1.826
"2013-03-06",19.7443
"2013-03-07",11.6202
"2013-03-08",12.9516
"2013-03-09",8.6653
"2013-03-10",3.1704
"2013-03-11",0.5155
"2013-03-12",0.0824
"2013-03-13",0
"2013-03-14",5.6485
"2013-03-15",20.1231
"2013-03-16",8.0288
"2013-03-17",15.8024
"2013-03-18",12.2638
"2013-03-19",9.4424
"2013-03-20",0
"2013-03-21",5.7799
"2013-03-22",0.673
"2013-03-23",10.5863
"2013-03-24",26.3178
"2013-03-25",18.3278
"2013-03-26",15.2646
"2013-03-27",11.132
"2013-03-28",27.8084
"2013-03-29",21.7354
"2013-03-30",0
"2013-03-31",0.0128
"2013-04-01",0
"2013-04-02",3.6773
"2013-04-03",0.1772
"2013-04-04",12.0293
"2013-04-05",5.4989
"2013-04-06",0.0163
"2013-04-07",0.1528
"2013-04-08",0.1373
"2013-04-09",11.6875
"2013-04-10",11.5448
"2013-04-11",0.1435
"2013-04-12",17.3056
"2013-04-13",26.5788
"2013-04-14",13.0703
"2013-04-15",12.4417
"2013-04-16",0
"2013-04-17",0
"2013-04-18",1.0163
"2013-04-19",0
"2013-04-20",0
"2013-04-21",0
"2013-04-22",11.0848
"2013-04-23",7.4861
"2013-04-24",22.6913
"2013-04-25",14.5144
"2013-04-26",8.5665
"2013-04-27",8.6942
"2013-04-28",4.7821
"2013-04-29",6.4548
"2013-04-30",7.9863
"2013-05-01",17.466
"2013-05-02",8.6024
"2013-05-03",26.0657
"2013-05-04",14.7566
"2013-05-05",14.5545
