,"(mm) Precipitation (CHIRPS) at Kurunegala, 2007-01-01 to 2025-12-31"
"2010-03-07",0.0795
"2010-03-08",0
"2010-03-09",0
"2010-03-10",0
"2010-03-11",0
"2010-03-12",2.2681
"2010-03-13",3.7379
"2010-03-14",0.2775
"2010-03-15",0
"2010-03-16",0
"2010-03-17",0
"2010-03-18",5.306
"2010-03-19",0
"2010-03-20",0
"2010-03-21",0
"2010-03-22",0
"2010-03-23",0.0432
"2010-03-24",7.5341
"2010-03-25",0.8261
"2010-03-26",17.6283
"2010-03-27",20.5248
"2010-03-28",6.6761
"2010-03-29",13.9239
"2010-03-30",18.5592
"2010-03-31",3.9611
"2010-04-01",0.5641
"2010-04-02",0
"2010-04-03",0.0218
"2010-04-04",10.3494
"2010-04-05",14.1421
"2010-04-06",4.4971
"2010-04-07",8.7215
"2010-04-08",4.0563
"2010-04-09",11.0755
"2010-04-10",8.4736
"2010-04-11",0.4965
"2010-04-12",3.3483
"2010-04-13",1.835
"2010-04-14",8.9581
"2010-04-15",2.6227
"2010-04-16",22.779
"2010-04-17",22.7217
"2010-04-18",14.581
"2010-04-19",0
"2010-04-20",0.0272
"2010-04-21",6.6231
"2010-04-22",6.5977
"2010-04-23",14.5679
"2010-04-24",13.5386
"2010-04-25",6.6966
"2010-04-26",24.8773
"2010-04-27",14.8361
"2010-04-28",21.7568
"2010-04-29",37.3998
"2010-04-30",31.868
"2010-05-01",3.5095
"2010-05-02",0.2318
"2010-05-03",1.0627
"2010-05-04",0.0006
"2010-05-05",5.4041
"2010-05-06",9.7757
"2010-05-07",3.9386
"2010-05-08",14.1422
"2010-05-09",5.5225
"2010-05-10",10.7644
"2010-05-11",8.8391
"2010-05-12",3.4605
"2010-05-13",1.6213
"2010-05-14",6.9386
"2010-05-15",3.5045
"2010-05-16",2.0305
"2010-05-17",20.1505
"2010-05-18",10.1666
"2010-05-19",15.5279
"2010-05-20",31.6232
"2010-05-21",7.9188
"2010-05-22",14.6596
"2010-05-23",0.0414
"2010-05-24",3.2993
"2010-05-25",0.546
"2010-05-26",0.1943
"2010-05-27",0
"2010-05-28",0
"2010-05-29",0
"2010-05-30",0
"2010-05-31",0
"2010-06-01",0
"2010-06-02",0
"2010-06-03",0
"2010-06-04",1.4647
"2010-06-05",8.5575
"2010-06-06",2.4044
"2010-06-07",3.2825
"2010-06-08",24.7177
"2010-06-09",0.8975
"2010-06-10",7.1053
"2010-06-11",8.268
"2010-06-12",0.1192
"2010-06-13",6.1024
"2010-06-14",0
"2010-06-15",9.2253
"2010-06-16",31.2638
"2010-06-17",13.379
"2010-06-18",0.2752
"2010-06-19",0.6829
"2010-06-20",16.5612
"2010-06-21",7.2589
"2010-06-22",0.2927
"2010-06-23",7.3435
"2010-06-24",0
"2010-06-25",0
"2010-06-26",0.0181
"2010-06-27",0
"2010-06-28",8.1428
"2010-06-29",0.0718
"2010-06-30",4.862
"2010-07-01",0
"2010-07-02",0
"2010-07-03",0
"2010-07-04",0.4606
"2010-07-05",10.5449
"2010-07-06",13.2068
"2010-07-07",11.1901
"2010-07-08",16.278
"2010-07-09",8.5019
"2010-07-10",8.6016
"2010-07-11",9.6405
"2010-07-12",5.8071
"2010-07-13",0.0129
"2010-07-14",3.8129
"2010-07-15",1.8869
"2010-07-16",0.6814
"2010-07-17",4.9623
"2010-07-18",1.369
"2010-07-19",5.5535
"2010-07-20",0.4395
"2010-07-21",0.5924
"2010-07-22",1.1552
"2010-07-23",4.1325
"2010-07-24",0
"2010-07-25",0.25
"2010-07-26",1.2881
"2010-07-27",0
"2010-07-28",0.314
"2010-07-29",0.0061
"2010-07-30",7.9019
"2010-07-31",0
"2010-08-01",0
"2010-08-02",1.2039
"2010-08-03",0.9304
"2010-08-04",0.074
"2010-08-05",0
"2010-08-06",0
"2010-08-07",0.0004
"2010-08-08",0
"2010-08-09",0.1432
"2010-08-10",0.3059
"2010-08-11",2.6511
"2010-08-12",5.033
"2010-08-13",0.8949
"2010-08-14",8.0233
"2010-08-15",2.7892
"2010-08-16",0.0615
"2010-08-17",0.0001
"2010-08-18",0.096
"2010-08-19",14.0648
"2010-08-20",20.3518
"2010-08-21",19.5467
"2010-08-22",1.3995
"2010-08-23",0.8042
"2010-08-24",6.5159
"2010-08-25",0.4347
"2010-08-26",3.1162
"2010-08-27",0.0636
"2010-08-28",0
"2010-08-29",8.0062
"2010-08-30",0.3039
"2010-08-31",0.0073
"2010-09-01",0
"2010-09-02",1.7064
"2010-09-03",5.4757
"2010-09-04",0
"2010-09-05",0
"2010-09-06",0
"2010-09-07",0
"2010-09-08",1.1524
"2010-09-09",1.6019
"2010-09-10",7.3003
"2010-09-11",4.2838
"2010-09-12",3.4376
"2010-09-13",6.9148
"2010-09-14",4.4122
"2010-09-15",0
"2010-09-16",0
"2010-09-17",0.9709
"2010-09-18",0.1123
"2010-09-19",8.8728
"2010-09-20",7.0349
"2010-09-21",13.862
"2010-09-22",11.303
"2010-09-23",7.2966
"2010-09-24",3.811
"2010-09-25",3.2343
"2010-09-26",17.7911
"2010-09-27",15.9678
"2010-09-28",29.2105
"2010-09-29",27.2663
"2010-09-30",25.3127
"2010-10-01",43.8922
"2010-10-02",40.1147
"2010-10-03",31.4527
"2010-10-04",0
"2010-10-05",0.1562
"2010-10-06",2.6384
"2010-10-07",0
"2010-10-08",0.8062
"2010-10-09",2.0724
"2010-10-10",17.3205
"2010-10-11",0.1266
"2010-10-12",2.4082
"2010-10-13",0
"2010-10-14",0
"2010-10-15",0.009
"2010-10-16",0
"2010-10-17",0
"2010-10-18",0
"2010-10-19",2.6502
"2010-10-20",1.0225
"2010-10-21",0.1492
"2010-10-22",0.0305
"2010-10-23",0
"2010-10-24",0
"2010-10-25",4.8373
"2010-10-26",4.989
"2010-10-27",4.6642
"2010-10-28",22.0442
"2010-10-29",15.8343
"2010-10-30",12.731
"2010-10-31",12.5175
"2010-11-01",0
"2010-11-02",0.0702
"2010-11-03",8.3872
"2010-11-04",14.8111
"2010-11-05",11.2193
"2010-11-06",35.7666
"2010-11-07",15.841
"2010-11-08",1.5558
"2010-11-09",3.2804
"2010-11-10",4.2728
"2010-11-11",0.1671
"2010-11-12",8.0734
"2010-11-13",12.3128
"2010-11-14",0.2972
"2010-11-15",1.9968
"2010-11-16",1.3196
"2010-11-17",20.0742
"2010-11-18",22.843
"2010-11-19",19.7436
"2010-11-20",38.3838
"2010-11-21",31.9581
"2010-11-22",41.8074
"2010-11-23",28.1024
"2010-11-24",48.5716
"2010-11-25",10.2969
"2010-11-26",22.1087
"2010-11-27",15.4813
"2010-11-28",16.0793
"2010-11-29",2.7507
"2010-11-30",49.1126
"2010-12-01",39.0323
"2010-12-02",21.6231
"2010-12-03",48.622
"2010-12-04",26.1853
"2010-12-05",14.3777
"2010-12-06",0
"2010-12-07",14.0035
"2010-12-08",3.4187
"2010-12-09",0.4487
"2010-12-10",0
"2010-12-11",0
"2010-12-12",1.2464
"2010-12-13",0
"2010-12-14",2.6265
"2010-12-15",0
"2010-12-16",0.5979
"2010-12-17",0
"2010-12-18",0.2524
"2010-12-19",0
"2010-12-20",4.0798
"2010-12-21",17.5295
"2010-12-22",32.8216
"2010-12-23",28.5995
"2010-12-24",3.3323
"2010-12-25",0.3991
"2010-12-26",4.1089
"2010-12-27",2.4543
"2010-12-28",6.9587
"2010-12-29",2.3355
"2010-12-30",16.8221
"2010-12-31",2.82
"2011-01-01",0.3904
"2011-01-02",2.6207
"2011-01-03",6.5901
"2011-01-04",6.4933
"2011-01-05",3.081
"2011-01-06",0.007
"2011-01-07",10.8763
"2011-01-08",18.0995
"2011-01-09",33.9174
"2011-01-10",19.9779
"2011-01-11",16.3314
"2011-01-12",20.6518
"2011-01-13",3.6397
"2011-01-14",4.4907
"2011-01-15",0.2781
"2011-01-16",0
"2011-01-17",0
"2011-01-18",0
"2011-01-19",0
"2011-01-20",0
"2011-01-21",0
"2011-01-22",0
"2011-01-23",0
"2011-01-24",0
"2011-01-25",0
"2011-01-26",12.5852
"2011-01-27",0
"2011-01-28",11.6937
"2011-01-29",0.6054
"2011-01-30",3.064
"2011-01-31",19.6223
"2011-02-01",27.46
"2011-02-02",35.3934
"2011-02-03",28.0158
"2011-02-04",5.8937
"2011-02-05",0.3181
"2011-02-06",7.4281
"2011-02-07",51.5154
"2011-02-08",7.994
"2011-02-09",1.1666
"2011-02-10",0
"2011-02-11",0
"2011-02-12",0.066
"2011-02-13",0
"2011-02-14",0
"2011-02-15",2.9404
"2011-02-16",0
"2011-02-17",0
"2011-02-18",0
"2011-02-19",1.5465
"2011-02-20",12.6116
"2011-02-21",28.2793
"2011-02-22",0.0869
"2011-02-23",0
"2011-02-24",1.1067
"2011-02-25",0.0278
"2011-02-26",4.7465
"2011-02-27",6.2095
"2011-02-28",3.8519
"2011-03-01",0
"2011-03-02",0
"2011-03-03",4.9373
"2011-03-04",9.5488
"2011-03-05",7.9155
"2011-03-06",0
"2011-03-07",0
"2011-03-08",0
"2011-03-09",0
"2011-03-10",0
"2011-03-11",0
"2011-03-12",7.2192
"2011-03-13",7.9218
"2011-03-14",0.5382
"2011-03-15",0
"2011-03-16",0
"2011-03-17",0
"2011-03-18",0
"2011-03-19",0
"2011-03-20",8.2711
"2011-03-21",8.2765
"2011-03-22",5.08
"2011-03-23",12.8352
"2011-03-24",4.6358
"2011-03-25",12.6726
"2011-03-26",3.7441
"2011-03-27",1.8554
"2011-03-28",5.5017
"2011-03-29",1.9798
"2011-03-30",0.0443
"2011-03-31",0
"2011-04-01",0
"2011-04-02",0
"2011-04-03",0
"2011-04-04",0.6191
"2011-04-05",0
"2011-04-06",0
"2011-04-07",0.4012
"2011-04-08",8.05
"2011-04-09",9.1518
"2011-04-10",11.9127
"2011-04-11",18.3361
"2011-04-12",15.8911
"2011-04-13",11.7036
"2011-04-14",3.121
"2011-04-15",13.6685
"2011-04-16",24.3946
"2011-04-17",30.5956
"2011-04-18",44.1482
"2011-04-19",32.7862
"2011-04-20",29.8759
"2011-04-21",29.2698
"2011-04-22",20.5286
"2011-04-23",25.1564
"2011-04-24",23.9843
"2011-04-25",22.543
"2011-04-26",18.392
"2011-04-27",28.2099
"2011-04-28",29.1793
"2011-04-29",0.1332
"2011-04-30",9.9025
"2011-05-01",9.5514
"2011-05-02",17.1528
"2011-05-03",0.1697
"2011-05-04",2.2319
"2011-05-05",0
"2011-05-06",0
"2011-05-07",0
"2011-05-08",0
"2011-05-09",0
"2011-05-10",0
"2011-05-11",0
"2011-05-12",0
"2011-05-13",1.9291
"2011-05-14",0
"2011-05-15",0.2382
"2011-05-16",0
"2011-05-17",3.6257
"2011-05-18",0.0405
"2011-05-19",0
"2011-05-20",0.1003
"2011-05-21",3.5699
"2011-05-22",0
"2011-05-23",0.2172
"2011-05-24",10.5574
"2011-05-25",9.214
"2011-05-26",20.0256
"2011-05-27",7.562
"2011-05-28",5.0932
"2011-05-29",0.0048
"2011-05-30",0
"2011-05-31",2.6933
"2011-06-01",5.5578
"2011-06-02",16.6198
"2011-06-03",0
"2011-06-04",0.3752
"2011-06-05",0.0022
"2011-06-06",2.4746
"2011-06-07",0.0108
"2011-06-08",0
"2011-06-09",0.0886
"2011-06-10",0
"2011-06-11",0
"2011-06-12",0
"2011-06-13",0
"2011-06-14",3.6583
"2011-06-15",3.0469
"2011-06-16",0
"2011-06-17",1.0367
"2011-06-18",0.1935
"2011-06-19",0
"2011-06-20",0
"2011-06-21",0
"2011-06-22",0
"2011-06-23",0
"2011-06-24",0
"2011-06-25",0.1414
"2011-06-26",0.0763
"2011-06-27",0.366
"2011-06-28",0.145
"2011-06-29",3.9344
"2011-06-30",0.0011
"2011-07-01",4.7964
"2011-07-02",0
"2011-07-03",0.9998
"2011-07-04",0
"2011-07-05",0.1669
"2011-07-06",0.0252
"2011-07-07",0.2912
"2011-07-08",9.1243
"2011-07-09",4.7603
"2011-07-10",1.5247
"2011-07-11",3.5058
"2011-07-12",0.3021
"2011-07-13",0.2313
"2011-07-14",0
"2011-07-15",1.1134
"2011-07-16",1.2456
"2011-07-17",0.0147
"2011-07-18",0
"2011-07-19",0
"2011-07-20",0.3286
"2011-07-21",0
"2011-07-22",2.5651
"2011-07-23",1.7718
"2011-07-24",0.1992
"2011-07-25",18.9067
"2011-07-26",0
"2011-07-27",0
"2011-07-28",0.0307
"2011-07-29",0.0327
"2011-07-30",1.3169
"2011-07-31",0.001
"2011-08-01",0.061
"2011-08-02",0
"2011-08-03",0.7279
"2011-08-04",0
"2011-08-05",0.724
"2011-08-06",0
"2011-08-07",0
"2011-08-08",0
"2011-08-09",1.0489
"2011-08-10",3.8174
"2011-08-11",0
"2011-08-12",1.5483
"2011-08-13",2.1277
"2011-08-14",7.7756
"2011-08-15",4.5891
"2011-08-16",2.5125
"2011-08-17",4.9566
"2011-08-18",0.6853
"2011-08-19",0.2125
"2011-08-20",0
"2011-08-21",0.0002
"2011-08-22",9.0501
"2011-08-23",0.9245
"2011-08-24",0.2074
"2011-08-25",0.3099
"2011-08-26",0.0175
"2011-08-27",7.8908
"2011-08-28",0.0269
"2011-08-29",0
"2011-08-30",0
"2011-08-31",0
"2011-09-01",0
"2011-09-02",0
"2011-09-03",0
"2011-09-04",0.0302
"2011-09-05",0
"2011-09-06",5.6207
"2011-09-07",0.8548
"2011-09-08",1.0619
"2011-09-09",5.3835
"2011-09-10",5.8245
"2011-09-11",2.0603
"2011-09-12",26.4303
"2011-09-13",0.0011
"2011-09-14",12.1991
"2011-09-15",0
"2011-09-16",0.6037
"2011-09-17",0.061
"2011-09-18",0
"2011-09-19",0
"2011-09-20",0
"2011-09-21",1.7235
"2011-09-22",1.942
"2011-09-23",0
"2011-09-24",0
"2011-09-25",0
"2011-09-26",1.7817
"2011-09-27",1.9732
"2011-09-28",1.3031
"2011-09-29",1.3864
"2011-09-30",5.972
"2011-10-01",5.7401
"2011-10-02",0
"2011-10-03",0.1998
"2011-10-04",9.6926
"2011-10-05",10.2265
"2011-10-06",2.9037
"2011-10-07",0.3834
"2011-10-08",0.7232
"2011-10-09",5.6431
"2011-10-10",0.11
"2011-10-11",9.8565
"2011-10-12",12.2822
"2011-10-13",9.3267
"2011-10-14",8.4593
"2011-10-15",13.5993
"2011-10-16",9.4793
"2011-10-17",5.3818
"2011-10-18",9.5739
"2011-10-19",13.0123
"2011-10-20",9.6858
"2011-10-21",18.3679
"2011-10-22",15.5059
"2011-10-23",19.7454
"2011-10-24",23.9979
"2011-10-25",50.3384
"2011-10-26",21.3505
"2011-10-27",15.655
"2011-10-28",35.6591
"2011-10-29",12.1119
"2011-10-30",7
"2011-10-31",9.9801
"2011-11-01",14.2624
"2011-11-02",6.7682
"2011-11-03",2.8522
"2011-11-04",5.2054
"2011-11-05",0.3658
"2011-11-06",12.5949
"2011-11-07",6.2379
"2011-11-08",0
"2011-11-09",0
"2011-11-10",1.0976
"2011-11-11",0.001
"2011-11-12",0.0009
"2011-11-13",0.4487
"2011-11-14",0
"2011-11-15",0.2405
"2011-11-16",0.0109
"2011-11-17",29.1574
"2011-11-18",4.6921
"2011-11-19",10.7229
"2011-11-20",21.3881
"2011-11-21",16.0247
"2011-11-22",0
"2011-11-23",10.8523
"2011-11-24",19.728
"2011-11-25",33.6982
"2011-11-26",12.2787
"2011-11-27",14.9393
"2011-11-28",3.1669
"2011-11-29",1.8802
"2011-11-30",18.8929
"2011-12-01",13.0383
"2011-12-02",0.9181
"2011-12-03",0
"2011-12-04",0
"2011-12-05",0
"2011-12-06",0
"2011-12-07",0
"2011-12-08",0
"2011-12-09",2.6078
"2011-12-10",0.045
"2011-12-11",11.0808
"2011-12-12",6.3244
"2011-12-13",6.2055
"2011-12-14",3.352
"2011-12-15",1.4193
"2011-12-16",0
"2011-12-17",0.4455
"2011-12-18",6.7826
"2011-12-19",6.3219
"2011-12-20",10.6503
"2011-12-21",3.7949
"2011-12-22",5.7026
"2011-12-23",14.4175
"2011-12-24",0.0536
"2011-12-25",0
"2011-12-26",0.0033
"2011-12-27",6.9429
"2011-12-28",4.6059
"2011-12-29",0
"2011-12-30",0
"2011-12-31",0
"2012-01-01",0
"2012-01-02",0
"2012-01-03",0
"2012-01-04",4.2801
"2012-01-05",3.8522
"2012-01-06",1.3606
"2012-01-07",9.5876
"2012-01-08",5.7498
"2012-01-09",1.4105
"2012-01-10",0
"2012-01-11",0
"2012-01-12",0
"2012-01-13",0
"2012-01-14",0
"2012-01-15",0
"2012-01-16",0
"2012-01-17",0
"2012-01-18",0
"2012-01-19",0
"2012-01-20",0
"2012-01-21",0
"2012-01-22",0.1196
"2012-01-23",0.1422
"2012-01-24",0.6986
"2012-01-25",0
"2012-01-26",0
"2012-01-27",0
"2012-01-28",0
"2012-01-29",0
"2012-01-30",0
"2012-01-31",0
"2012-02-01",0.0097
"2012-02-02",0
"2012-02-03",0.0077
"2012-02-04",3.8219
"2012-02-05",5.6929
"2012-02-06",1.8567
"2012-02-07",1.9247
"2012-02-08",6.6406
"2012-02-09",19.0011
"2012-02-10",15.31
"2012-02-11",0
"2012-02-12",0
"2012-02-13",0
"2012-02-14",12.91
"2012-02-15",4.6986
"2012-02-16",10.1342
"2012-02-17",7.0762
"2012-02-18",0
"2012-02-19",0
"2012-02-20",0
"2012-02-21",0
"2012-02-22",1.9992
"2012-02-23",0.0242
"2012-02-24",0
"2012-02-25",0.0271
"2012-02-26",0
"2012-02-27",2.3028
"2012-02-28",9.3765
"2012-02-29",0
"2012-03-01",0.4452
"2012-03-02",0
"2012-03-03",0
"2012-03-04",0
"2012-03-05",0
"2012-03-06",0
"2012-03-07",1.8251
"2012-03-08",0
"2012-03-09",0
"2012-03-10",0.0647
"2012-03-11",0
"2012-03-12",0
"2012-03-13",6.4605
"2012-03-14",17.8887
"2012-03-15",9.2625
"2012-03-16",9.3953
"2012-03-17",0
"2012-03-18",0
"2012-03-19",0
"2012-03-20",0
"2012-03-21",0
"2012-03-22",0
"2012-03-23",0
"2012-03-24",0
"2012-03-25",0
"2012-03-26",0.0721
"2012-03-27",9.3348
"2012-03-28",18.2056
"2012-03-29",19.7535
"2012-03-30",0.365
"2012-03-31",4.9203
"2012-04-01",1.5273
"2012-04-02",0.6255
"2012-04-03",0
"2012-04-04",0.9431
"2012-04-05",0
"2012-04-06",0
"2012-04-07",1.7122
"2012-04-08",8.6553
"2012-04-09",15.4952
"2012-04-10",15.751
"2012-04-11",9.8086
"2012-04-12",23.2
"2012-04-13",0.8609
"2012-04-14",18.7235
"2012-04-15",17.0169
"2012-04-16",13.6258
"2012-04-17",8.0326
"2012-04-18",7.086
"2012-04-19",8.5199
"2012-04-20",2.7636
"2012-04-21",7.5579
"2012-04-22",18.5294
"2012-04-23",14.8376
"2012-04-24",15.5477
"2012-04-25",0.829
"2012-04-26",4.7036
"2012-04-27",0
"2012-04-28",1.9008
"2012-04-29",0.929
"2012-04-30",7.1138
"2012-05-01",0
"2012-05-02",0
"2012-05-03",0
"2012-05-04",0
"2012-05-05",0
"2012-05-06",0.2023
"2012-05-07",5.7374
"2012-05-08",0
"2012-05-09",0.0188
"2012-05-10",0
"2012-05-11",0
"2012-05-12",0
"2012-05-13",0.0015
"2012-05-14",1.0339
"2012-05-15",0
"2012-05-16",0
"2012-05-17",0
"2012-05-18",0
"2012-05-19",0.0105
"2012-05-20",0
"2012-05-21",0.413
"2012-05-22",0
"2012-05-23",0
"2012-05-24",2.4497
"2012-05-25",5.1804
"2012-05-26",2.0639
"2012-05-27",0.7448
"2012-05-28",0.0388
"2012-05-29",0.079
"2012-05-30",1.8964
"2012-05-31",0
"2012-06-01",0
"2012-06-02",0.4675
"2012-06-03",0
"2012-06-04",0.0185
"2012-06-05",0
"2012-06-06",6.0326
"2012-06-07",0.1943
"2012-06-08",0.0171
"2012-06-09",1.3242
"2012-06-10",1.132
"2012-06-11",0.4832
"2012-06-12",6.0146
"2012-06-13",4.4572
"2012-06-14",0
"2012-06-15",0
"2012-06-16",0.3765
"2012-06-17",2.7024
"2012-06-18",10.9451
"2012-06-19",1.5206
"2012-06-20",1.1718
"2012-06-21",5.7938
"2012-06-22",0.2206
"2012-06-23",0
"2012-06-24",5.9229
"2012-06-25",7.6025
"2012-06-26",0
"2012-06-27",4.9398
"2012-06-28",4.9005
"2012-06-29",0
"2012-06-30",0.2584
"2012-07-01",1.7665
"2012-07-02",7.0282
"2012-07-03",1.4902
"2012-07-04",0
"2012-07-05",0
"2012-07-06",0
"2012-07-07",0
"2012-07-08",0
"2012-07-09",1.1532
"2012-07-10",0.355
"2012-07-11",0
"2012-07-12",7.2323
"2012-07-13",9.0231
"2012-07-14",13.6093
"2012-07-15",11.2052
"2012-07-16",3.4602
"2012-07-17",0.3661
"2012-07-18",0.1525
"2012-07-19",0
"2012-07-20",0
"2012-07-21",0.0004
"2012-07-22",0
"2012-07-23",0
"2012-07-24",0
"2012-07-25",0
"2012-07-26",0
"2012-07-27",0
"2012-07-28",0
"2012-07-29",0
"2012-07-30",0.0208
"2012-07-31",0
"2012-08-01",0
"2012-08-02",0
"2012-08-03",1.0399
"2012-08-04",4.5005
"2012-08-05",1.8804
"2012-08-06",1.0867
"2012-08-07",0
"2012-08-08",0
"2012-08-09",0
"2012-08-10",0
"2012-08-11",0.0073
"2012-08-12",2.871
"2012-08-13",0.9551
"2012-08-14",5.1631
"2012-08-15",5.1517
"2012-08-16",1.2433
"2012-08-17",0.1129
"2012-08-18",0
"2012-08-19",0
"2012-08-20",0
"2012-08-21",0.217
"2012-08-22",1.5594
"2012-08-23",2.7146
"2012-08-24",2.4465
"2012-08-25",4.8003
"2012-08-26",0.0008
"2012-08-27",0.0392
"2012-08-28",1.2892
"2012-08-29",11.5518
"2012-08-30",0
"2012-08-31",0
"2012-09-01",4.0275
"2012-09-02",0.0009
"2012-09-03",1.5655
"2012-09-04",4.8782
"2012-09-05",0
"2012-09-06",0.0791
"2012-09-07",7.1809
"2012-09-08",8.5514
"2012-09-09",0.0105
"2012-09-10",0.0436
"2012-09-11",0.0195
"2012-09-12",1.8953
"2012-09-13",0
"2012-09-14",0.1811
"2012-09-15",0
"2012-09-16",0.9266
"2012-09-17",0.1547
"2012-09-18",1.3553
"2012-09-19",2.0936
"2012-09-20",5.3406
"2012-09-21",3.6753
"2012-09-22",4.9508
"2012-09-23",0.9218
"2012-09-24",2.6676
"2012-09-25",8.4013
"2012-09-26",3.0573
"2012-09-27",14.0753
"2012-09-28",0.2371
"2012-09-29",0
"2012-09-30",0.2255
"2012-10-01",0
"2012-10-02",0
"2012-10-03",0.0851
"2012-10-04",0
"2012-10-05",0
"2012-10-06",3.1009
"2012-10-07",11.3508
"2012-10-08",18.6103
"2012-10-09",17.1685
"2012-10-10",15.45
"2012-10-11",12.7906
"2012-10-12",25.8175
"2012-10-13",28.4477
"2012-10-14",27.7327
"2012-10-15",21.8141
"2012-10-16",27.5683
"2012-10-17",27.2958
"2012-10-18",19.4878
"2012-10-19",29.5558
"2012-10-20",25.768
"2012-10-21",16.4014
"2012-10-22",19.7478
"2012-10-23",19.7969
"2012-10-24",8.4998
"2012-10-25",4.113
"2012-10-26",15.3166
"2012-10-27",10.6936
"2012-10-28",31.7732
"2012-10-29",52.6419
"2012-10-30",48.9319
"2012-10-31",35.6423
"2012-11-01",29.0589
"2012-11-02",1.4328
"2012-11-03",5.6032
"2012-11-04",8.6421
"2012-11-05",5.1217
"2012-11-06",16.4691
"2012-11-07",12.7175
"2012-11-08",18.0853
"2012-11-09",8.534
"2012-11-10",5.2552
"2012-11-11",11.5636
"2012-11-12",3.9872
"2012-11-13",0.7768
"2012-11-14",0.1853
"2012-11-15",6.9643
"2012-11-16",3.2672
"2012-11-17",0
"2012-11-18",0.1746
"2012-11-19",0
"2012-11-20",0
"2012-11-21",0
"2012-11-22",5.7672
"2012-11-23",21.3405
"2012-11-24",12.7697
"2012-11-25",16.95
"2012-11-26",36.1521
"2012-11-27",24.0755
"2012-11-28",0.9917
"2012-11-29",2.8646
"2012-11-30",0.0024
"2012-12-01",0
"2012-12-02",0
"2012-12-03",0
"2012-12-04",0.3678
"2012-12-05",0
"2012-12-06",15.2637
"2012-12-07",1.1909
"2012-12-08",0
"2012-12-09",0.7123
"2012-12-10",0
"2012-12-11",0
"2012-12-12",0
"2012-12-13",0
"2012-12-14",0.0173
"2012-12-15",15.0556
"2012-12-16",26.4573
"2012-12-17",51.1794
"2012-12-18",37.6258
"2012-12-19",21.2111
"2012-12-20",0.9346
"2012-12-21",2.1456
"2012-12-22",63.338
"2012-12-23",8.9686
"2012-12-24",6.5759
"2012-12-25",15.8763
"2012-12-26",18.5205
"2012-12-27",51.01
"2012-12-28",1.4633
"2012-12-29",3.8695
"2012-12-30",1.5836
"2012-12-31",1.8094
"2013-01-01",4.941
"2013-01-02",0.0086
"2013-01-03",16.2043
"2013-01-04",9.8525
"2013-01-05",3.0851
"2013-01-06",14.6587
"2013-01-07",55.5436
"2013-01-08",5.7194
"2013-01-09",0
"2013-01-10",45.1489
"2013-01-11",1.8363
"2013-01-12",0.0548
"2013-01-13",9.5498
"2013-01-14",0
"2013-01-15",0
"2013-01-16",0
"2013-01-17",0
"2013-01-18",0
"2013-01-19",0
"2013-01-20",0
"2013-01-21",0
"2013-01-22",0
"2013-01-23",0.9505
"2013-01-24",0.4417
"2013-01-25",0.344
"2013-01-26",0
"2013-01-27",0
"2013-01-28",0
"2013-01-29",0
"2013-01-30",0
"2013-01-31",0
"2013-02-01",0
"2013-02-02",0
"2013-02-03",0
"2013-02-04",7.8758
"2013-02-05",0.0636
"2013-02-06",12.7518
"2013-02-07",4.347
"2013-02-08",5.144
"2013-02-09",9.9277
"2013-02-10",0
"2013-02-11",18.8976
"2013-02-12",11.3327
"2013-02-13",29.166
"2013-02-14",16.9986
"2013-02-15",2.0824
"2013-02-16",0.2183
"2013-02-17",5.0326
"2013-02-18",13.6247
"2013-02-19",5.6985
"2013-02-20",0
"2013-02-21",0
"2013-02-22",0
"2013-02-23",0
"2013-02-24",0
"2013-02-25",0
"2013-02-26",0
"2013-02-27",0
"2013-02-28",0
"2013-03-01",0
"2013-03-02",0
"2013-03-03",2.5927
"2013-03-04",46.5006
"2013-03-05",10.0886
"2013-03-06",10.6641
"2013-03-07",1.4247
"2013-03-08",8.6766
"2013-03-09",5.4277
"2013-03-10",0.0107
"2013-03-11",0
"2013-03-12",0
"2013-03-13",0
"2013-03-14",0.5641
"2013-03-15",12.2676
"2013-03-16",6.0547
"2013-03-17",0.9895
"2013-03-18",0.1077
"2013-03-19",2.0003
"2013-03-20",0
"2013-03-21",0.9797
"2013-03-22",7.3995
"2013-03-23",2.6518
"2013-03-24",27.77
"2013-03-25",18.1031
"2013-03-26",4.2089
"2013-03-27",2.2971
"2013-03-28",24.0071
"2013-03-29",21.7061
"2013-03-30",0
"2013-03-31",1.8279
"2013-04-01",0
"2013-04-02",0.7023
"2013-04-03",0.3478
"2013-04-04",4.7482
"2013-04-05",2.0315
"2013-04-06",0.969
"2013-04-07",0
"2013-04-08",0
"2013-04-09",6.3032
"2013-04-10",6.6563
"2013-04-11",0
"2013-04-12",9.8629
"2013-04-13",20.0453
"2013-04-14",5.0939
"2013-04-15",5.533
"2013-04-16",0
"2013-04-17",0
"2013-04-18",0
"2013-04-19",0
"2013-04-20",0
"2013-04-21",0.221
"2013-04-22",4.6187
"2013-04-23",7.5035
"2013-04-24",4.0538
"2013-04-25",7.6357
"2013-04-26",3.8196
"2013-04-27",2.8491
"2013-04-28",2.65
"2013-04-29",4.0428
"2013-04-30",3.8271
"2013-05-01",11.0038
"2013-05-02",9.2831
"2013-05-03",17.8911
"2013-05-04",3.6287
"2013-05-05",14.0511
"2013-05-06",13.151
"2013-05-07",0.1949
"2013-05-08",9.9667
