,"(mm) Precipitation (CHIRPS) at Kalutara, 2007-01-01 to 2025-12-31"
"2010-02-15",0
"2010-02-16",15.9409
"2010-02-17",8.3968
"2010-02-18",0
"2010-02-19",0
"2010-02-20",0
"2010-02-21",0
"2010-02-22",0
"2010-02-23",0.302
"2010-02-24",0
"2010-02-25",0
"2010-02-26",0
"2010-02-27",0
"2010-02-28",0
"2010-03-01",0
"2010-03-02",0
"2010-03-03",0
"2010-03-04",0
"2010-03-05",0
"2010-03-06",0.3455
"2010-03-07",0
"2010-03-08",0
"2010-03-09",0
"2010-03-10",0
"2010-03-11",0
"2010-03-12",0
"2010-03-13",12.5234
"2010-03-14",10.3407
"2010-03-15",0
"2010-03-16",0.2355
"2010-03-17",0
"2010-03-18",8.2894
"2010-03-19",4.885
"2010-03-20",0
"2010-03-21",4.6511
"2010-03-22",0
"2010-03-23",1.3597
"2010-03-24",5.3751
"2010-03-25",0
"2010-03-26",23.0852
"2010-03-27",35.4171
"2010-03-28",11.5689
"2010-03-29",29.71
"2010-03-30",23.4928
"2010-03-31",0
"2010-04-01",10.0151
"2010-04-02",0
"2010-04-03",2.4264
"2010-04-04",12.6039
"2010-04-05",14.6714
"2010-04-06",13.8709
"2010-04-07",12.8524
"2010-04-08",18.3904
"2010-04-09",10.2374
"2010-04-10",22.909
"2010-04-11",10.1615
"2010-04-12",4.6863
"2010-04-13",9.977
"2010-04-14",27.0799
"2010-04-15",2.3822
"2010-04-16",17.032
"2010-04-17",24.0158
"2010-04-18",22.6948
"2010-04-19",0.0485
"2010-04-20",6.9506
"2010-04-21",44.6921
"2010-04-22",22.9309
"2010-04-23",48.0077
"2010-04-24",44.9325
"2010-04-25",0.974
"2010-04-26",27.6153
"2010-04-27",10.5978
"2010-04-28",15.537
"2010-04-29",42.1933
"2010-04-30",11.0695
"2010-05-01",0.0158
"2010-05-02",0.0026
"2010-05-03",0
"2010-05-04",2.3746
"2010-05-05",22.8561
"2010-05-06",0.3673
"2010-05-07",22.5037
"2010-05-08",9.0863
"2010-05-09",30.6826
"2010-05-10",3.6239
"2010-05-11",31.2459
"2010-05-12",56.8378
"2010-05-13",9.6571
"2010-05-14",59.8271
"2010-05-15",26.0113
"2010-05-16",70.0513
"2010-05-17",81.2193
"2010-05-18",42.6177
"2010-05-19",44.1285
"2010-05-20",80.7899
"2010-05-21",18.4513
"2010-05-22",0
"2010-05-23",37.3261
"2010-05-24",27.5644
"2010-05-25",40.2224
"2010-05-26",0
"2010-05-27",0
"2010-05-28",0
"2010-05-29",0
"2010-05-30",0
"2010-05-31",0
"2010-06-01",0
"2010-06-02",0
"2010-06-03",15.4193
"2010-06-04",0
"2010-06-05",7.4637
"2010-06-06",16.4923
"2010-06-07",18.4958
"2010-06-08",44.6763
"2010-06-09",15.8942
"2010-06-10",2.2407
"2010-06-11",66.8552
"2010-06-12",15.8719
"2010-06-13",8.5524
"2010-06-14",0
"2010-06-15",18.5433
"2010-06-16",31.1725
"2010-06-17",0.7017
"2010-06-18",0.6468
"2010-06-19",0.4702
"2010-06-20",0
"2010-06-21",8.5669
"2010-06-22",3.7304
"2010-06-23",91.3098
"2010-06-24",0
"2010-06-25",0
"2010-06-26",0
"2010-06-27",7.0368
"2010-06-28",33.2676
"2010-06-29",0
"2010-06-30",0
"2010-07-01",11.69
"2010-07-02",6.1093
"2010-07-03",6.4432
"2010-07-04",12.7138
"2010-07-05",28.4262
"2010-07-06",20.3149
"2010-07-07",11.5251
"2010-07-08",25.4445
"2010-07-09",17.4699
"2010-07-10",10.0287
"2010-07-11",1.1877
"2010-07-12",0.0346
"2010-07-13",4.3213
"2010-07-14",5.1699
"2010-07-15",31.7468
"2010-07-16",29.2682
"2010-07-17",14.9164
"2010-07-18",25.7145
"2010-07-19",26.0011
"2010-07-20",15.3151
"2010-07-21",0
"2010-07-22",10.6843
"2010-07-23",1.7321
"2010-07-24",2.1761
"2010-07-25",0
"2010-07-26",0.2485
"2010-07-27",0
"2010-07-28",10.5478
"2010-07-29",0.5152
"2010-07-30",0
"2010-07-31",0
"2010-08-01",0
"2010-08-02",0.1465
"2010-08-03",0.3498
"2010-08-04",0.1256
"2010-08-05",0
"2010-08-06",0.0124
"2010-08-07",0
"2010-08-08",0.0613
"2010-08-09",0
"2010-08-10",0
"2010-08-11",0
"2010-08-12",6.0582
"2010-08-13",0
"2010-08-14",17.4369
"2010-08-15",34.8739
"2010-08-16",3.2359
"2010-08-17",0
"2010-08-18",0
"2010-08-19",38.3009
"2010-08-20",37.627
"2010-08-21",27.2769
"2010-08-22",0
"2010-08-23",0
"2010-08-24",11.4501
"2010-08-25",0
"2010-08-26",0
"2010-08-27",0
"2010-08-28",0
"2010-08-29",68.4001
"2010-08-30",5.9941
"2010-08-31",0.0127
"2010-09-01",0
"2010-09-02",9.4757
"2010-09-03",10.7949
"2010-09-04",0
"2010-09-05",0
"2010-09-06",0
"2010-09-07",0
"2010-09-08",0
"2010-09-09",13.6366
"2010-09-10",45.0561
"2010-09-11",18.6165
"2010-09-12",2.6495
"2010-09-13",3.1817
"2010-09-14",5.3381
"2010-09-15",4.9624
"2010-09-16",0
"2010-09-17",0
"2010-09-18",0
"2010-09-19",0.0104
"2010-09-20",19.5484
"2010-09-21",53.4415
"2010-09-22",39.6406
"2010-09-23",38.0826
"2010-09-24",14.5439
"2010-09-25",9.3158
"2010-09-26",21.053
"2010-09-27",12.1693
"2010-09-28",33.2019
"2010-09-29",26.1916
"2010-09-30",19.0192
"2010-10-01",57.5308
"2010-10-02",36.3638
"2010-10-03",42.2303
"2010-10-04",6.1049
"2010-10-05",0
"2010-10-06",15.6701
"2010-10-07",20.0767
"2010-10-08",24.3947
"2010-10-09",19.4306
"2010-10-10",30.2757
"2010-10-11",0.2467
"2010-10-12",0.0391
"2010-10-13",0
"2010-10-14",0
"2010-10-15",0
"2010-10-16",0
"2010-10-17",0.4287
"2010-10-18",0
"2010-10-19",1.9757
"2010-10-20",2.4641
"2010-10-21",0
"2010-10-22",0
"2010-10-23",0
"2010-10-24",0
"2010-10-25",0
"2010-10-26",3.2902
"2010-10-27",19.0141
"2010-10-28",25.3881
"2010-10-29",16.9424
"2010-10-30",3.7644
"2010-10-31",11.1667
"2010-11-01",4.1687
"2010-11-02",0.0118
"2010-11-03",11.255
"2010-11-04",27.5398
"2010-11-05",0.0917
"2010-11-06",40.1317
"2010-11-07",42.3856
"2010-11-08",0.8747
"2010-11-09",14.0714
"2010-11-10",33.6473
"2010-11-11",8.6099
"2010-11-12",2.5799
"2010-11-13",26.0279
"2010-11-14",13.1113
"2010-11-15",15.4812
"2010-11-16",9.2826
"2010-11-17",8.4874
"2010-11-18",13.6256
"2010-11-19",3.545
"2010-11-20",37.1805
"2010-11-21",16.1143
"2010-11-22",70.7748
"2010-11-23",28.3914
"2010-11-24",33.8467
"2010-11-25",43.5456
"2010-11-26",35.7172
"2010-11-27",5.5326
"2010-11-28",35.1255
"2010-11-29",2.776
"2010-11-30",44.8842
"2010-12-01",33.6601
"2010-12-02",31.3443
"2010-12-03",32.8519
"2010-12-04",34.2139
"2010-12-05",5.4772
"2010-12-06",8.3343
"2010-12-07",58.6399
"2010-12-08",10.6978
"2010-12-09",65.3067
"2010-12-10",0
"2010-12-11",0
"2010-12-12",0
"2010-12-13",0
"2010-12-14",0
"2010-12-15",0
"2010-12-16",0.5848
"2010-12-17",0.1313
"2010-12-18",0.2454
"2010-12-19",5.0934
"2010-12-20",1.0053
"2010-12-21",21.1499
"2010-12-22",9.7487
"2010-12-23",24.5989
"2010-12-24",23.233
"2010-12-25",10.9839
"2010-12-26",1.4429
"2010-12-27",0.3542
"2010-12-28",3.4667
"2010-12-29",3.7496
"2010-12-30",10.4925
"2010-12-31",7.1549
"2011-01-01",18.536
"2011-01-02",11.2063
"2011-01-03",9.6103
"2011-01-04",3.4645
"2011-01-05",15.4822
"2011-01-06",1.6503
"2011-01-07",12.1043
"2011-01-08",21.3095
"2011-01-09",39.7345
"2011-01-10",25.2287
"2011-01-11",20.9188
"2011-01-12",23.2927
"2011-01-13",0.0052
"2011-01-14",0
"2011-01-15",0
"2011-01-16",0
"2011-01-17",0
"2011-01-18",8.1999
"2011-01-19",0
"2011-01-20",0
"2011-01-21",0
"2011-01-22",0
"2011-01-23",0
"2011-01-24",0
"2011-01-25",0
"2011-01-26",17.1949
"2011-01-27",8.9698
"2011-01-28",10.9281
"2011-01-29",5.3104
"2011-01-30",14.896
"2011-01-31",29.0551
"2011-02-01",63.3104
"2011-02-02",37.6486
"2011-02-03",1.6175
"2011-02-04",5.1582
"2011-02-05",12.6995
"2011-02-06",19.7277
"2011-02-07",31.138
"2011-02-08",15.8441
"2011-02-09",9.5145
"2011-02-10",12.5014
"2011-02-11",7.122
"2011-02-12",1.7759
"2011-02-13",0
"2011-02-14",6.2449
"2011-02-15",7.1096
"2011-02-16",0.1064
"2011-02-17",0
"2011-02-18",0
"2011-02-19",7.4427
"2011-02-20",20.2364
"2011-02-21",15.0862
"2011-02-22",2.4403
"2011-02-23",0
"2011-02-24",1.9181
"2011-02-25",16.1431
"2011-02-26",12.0237
"2011-02-27",8.3884
"2011-02-28",9.2535
"2011-03-01",3.4386
"2011-03-02",3.1922
"2011-03-03",2.2377
"2011-03-04",10.6161
"2011-03-05",14.2151
"2011-03-06",0.3556
"2011-03-07",9.0634
"2011-03-08",3.2231
"2011-03-09",0.4745
"2011-03-10",0
"2011-03-11",0
"2011-03-12",5.2606
"2011-03-13",22.6556
"2011-03-14",1.7189
"2011-03-15",11.2998
"2011-03-16",16.7642
"2011-03-17",0.2701
"2011-03-18",0
"2011-03-19",0.7348
"2011-03-20",9.0663
"2011-03-21",13.3867
"2011-03-22",8.6606
"2011-03-23",10.398
"2011-03-24",12.3204
"2011-03-25",12.7409
"2011-03-26",15.8304
"2011-03-27",16.9978
"2011-03-28",20.8863
"2011-03-29",19.9696
"2011-03-30",3.943
"2011-03-31",4.2783
"2011-04-01",0
"2011-04-02",0
"2011-04-03",0
"2011-04-04",1.2963
"2011-04-05",0
"2011-04-06",0
"2011-04-07",3.4577
"2011-04-08",1.4363
"2011-04-09",5.952
"2011-04-10",0.9457
"2011-04-11",25.3475
"2011-04-12",23.7149
"2011-04-13",12.921
"2011-04-14",6.5862
"2011-04-15",12.7728
"2011-04-16",15.0458
"2011-04-17",20.4295
"2011-04-18",27.5322
"2011-04-19",33.9346
"2011-04-20",20.0304
"2011-04-21",28.4666
"2011-04-22",27.109
"2011-04-23",31.5533
"2011-04-24",21.3224
"2011-04-25",32.1692
"2011-04-26",36.3748
"2011-04-27",56.4412
"2011-04-28",60.0119
"2011-04-29",5.4732
"2011-04-30",19.6669
"2011-05-01",15.8307
"2011-05-02",9.3753
"2011-05-03",0.5081
"2011-05-04",6.607
"2011-05-05",1.1658
"2011-05-06",2.3524
"2011-05-07",0
"2011-05-08",0
"2011-05-09",0.9165
"2011-05-10",0
"2011-05-11",0
"2011-05-12",0
"2011-05-13",2.6995
"2011-05-14",0
"2011-05-15",1.3808
"2011-05-16",0
"2011-05-17",12.0096
"2011-05-18",0
"2011-05-19",0
"2011-05-20",0
"2011-05-21",4.6535
"2011-05-22",0
"2011-05-23",0
"2011-05-24",14.8391
"2011-05-25",69.9737
"2011-05-26",44.1914
"2011-05-27",46.2687
"2011-05-28",25.2425
"2011-05-29",2.457
"2011-05-30",0.2093
"2011-05-31",16.6192
"2011-06-01",42.7403
"2011-06-02",14.7101
"2011-06-03",0
"2011-06-04",1.9429
"2011-06-05",8.8805
"2011-06-06",22.2458
"2011-06-07",17.3374
"2011-06-08",0
"2011-06-09",8.1109
"2011-06-10",0.643
"2011-06-11",0
"2011-06-12",0
"2011-06-13",11.0708
"2011-06-14",3.3346
"2011-06-15",27.3245
"2011-06-16",0
"2011-06-17",0
"2011-06-18",0
"2011-06-19",0
"2011-06-20",0
"2011-06-21",0
"2011-06-22",0
"2011-06-23",0
"2011-06-24",0
"2011-06-25",0.0066
"2011-06-26",0
"2011-06-27",0
"2011-06-28",0.0097
"2011-06-29",9.7154
"2011-06-30",0
"2011-07-01",8.7761
"2011-07-02",5.0284
"2011-07-03",0
"2011-07-04",0.0229
"2011-07-05",16.1018
"2011-07-06",15.1217
"2011-07-07",1.8798
"2011-07-08",1.9488
"2011-07-09",0.2419
"2011-07-10",0
"2011-07-11",3.6487
"2011-07-12",13.4017
"2011-07-13",0.1738
"2011-07-14",1.1338
"2011-07-15",0.6066
"2011-07-16",15.6626
"2011-07-17",0.6747
"2011-07-18",5.3873
"2011-07-19",2.7805
"2011-07-20",19.722
"2011-07-21",0
"2011-07-22",0
"2011-07-23",5.3081
"2011-07-24",18.0629
"2011-07-25",31.1587
"2011-07-26",12.5456
"2011-07-27",0
"2011-07-28",0
"2011-07-29",0
"2011-07-30",8.0788
"2011-07-31",0.8011
"2011-08-01",0
"2011-08-02",0
"2011-08-03",29.4041
"2011-08-04",11.1727
"2011-08-05",18.9449
"2011-08-06",8.2897
"2011-08-07",0
"2011-08-08",0
"2011-08-09",0
"2011-08-10",7.0778
"2011-08-11",0
"2011-08-12",0.2063
"2011-08-13",8.1588
"2011-08-14",9.4084
"2011-08-15",10.2185
"2011-08-16",6.8513
"2011-08-17",18.3556
"2011-08-18",0.812
"2011-08-19",0
"2011-08-20",0
"2011-08-21",0
"2011-08-22",0
"2011-08-23",30.2391
"2011-08-24",47.8117
"2011-08-25",7.5474
"2011-08-26",0
"2011-08-27",0
"2011-08-28",1.0567
"2011-08-29",0
"2011-08-30",27.508
"2011-08-31",0
"2011-09-01",2.5041
"2011-09-02",4.1797
"2011-09-03",10.5779
"2011-09-04",0
"2011-09-05",18.662
"2011-09-06",35.2303
"2011-09-07",15.1899
"2011-09-08",15.1599
"2011-09-09",10.8001
"2011-09-10",5.3374
"2011-09-11",4.5347
"2011-09-12",33.3909
"2011-09-13",45.5216
"2011-09-14",31.0077
"2011-09-15",0
"2011-09-16",0
"2011-09-17",13.7302
"2011-09-18",0
"2011-09-19",0
"2011-09-20",0
"2011-09-21",6.3025
"2011-09-22",11.2611
"2011-09-23",0
"2011-09-24",0
"2011-09-25",0
"2011-09-26",10.1192
"2011-09-27",0
"2011-09-28",0
"2011-09-29",3.0569
"2011-09-30",6.3309
"2011-10-01",0.9935
"2011-10-02",0
"2011-10-03",0
"2011-10-04",6.9776
"2011-10-05",1.9466
"2011-10-06",0
"2011-10-07",0
"2011-10-08",0
"2011-10-09",0
"2011-10-10",8.6324
"2011-10-11",1.6572
"2011-10-12",11.8278
"2011-10-13",7.5446
"2011-10-14",2.3466
"2011-10-15",3.4743
"2011-10-16",11.8265
"2011-10-17",7.8044
"2011-10-18",10.2952
"2011-10-19",10.7122
"2011-10-20",18.9907
"2011-10-21",17.3315
"2011-10-22",3.0831
"2011-10-23",23.7835
"2011-10-24",11.7581
"2011-10-25",37.9944
"2011-10-26",16.7439
"2011-10-27",8.4702
"2011-10-28",37.0739
"2011-10-29",8.9978
"2011-10-30",9.1755
"2011-10-31",1.8732
"2011-11-01",21.3756
"2011-11-02",0.6406
"2011-11-03",5.0866
"2011-11-04",9.9122
"2011-11-05",17.3452
"2011-11-06",13.0385
"2011-11-07",14.5455
"2011-11-08",7.1183
"2011-11-09",6.5127
"2011-11-10",1.8792
"2011-11-11",0.6744
"2011-11-12",0
"2011-11-13",0.2508
"2011-11-14",16.6096
"2011-11-15",16.143
"2011-11-16",0
"2011-11-17",19.1354
"2011-11-18",14.2535
"2011-11-19",14.2648
"2011-11-20",4.6286
"2011-11-21",2.7895
"2011-11-22",10.0427
"2011-11-23",15.7487
"2011-11-24",18.0508
"2011-11-25",13.5978
"2011-11-26",23.3601
"2011-11-27",5.7728
"2011-11-28",5.5706
"2011-11-29",0.8157
"2011-11-30",17.1028
"2011-12-01",7.2449
"2011-12-02",14.6968
"2011-12-03",0.1067
"2011-12-04",0.3425
"2011-12-05",0.2055
"2011-12-06",1.5824
"2011-12-07",0
"2011-12-08",0
"2011-12-09",5.0991
"2011-12-10",8.5279
"2011-12-11",10.1935
"2011-12-12",8.5343
"2011-12-13",5.1194
"2011-12-14",13.8938
"2011-12-15",7.2567
"2011-12-16",0.0683
"2011-12-17",0.1378
"2011-12-18",5.7848
"2011-12-19",4.6307
"2011-12-20",14.7426
"2011-12-21",4.3547
"2011-12-22",11.053
"2011-12-23",11.6872
"2011-12-24",0.0792
"2011-12-25",0
"2011-12-26",0
"2011-12-27",11.954
"2011-12-28",0.0064
"2011-12-29",0
"2011-12-30",0
"2011-12-31",0
"2012-01-01",0
"2012-01-02",0
"2012-01-03",0
"2012-01-04",0
"2012-01-05",12.1803
"2012-01-06",4.8368
"2012-01-07",20.2577
"2012-01-08",23.0666
"2012-01-09",30.6914
"2012-01-10",0.5189
"2012-01-11",0.0545
"2012-01-12",0.0754
"2012-01-13",0
"2012-01-14",0
"2012-01-15",0.1989
"2012-01-16",0
"2012-01-17",0
"2012-01-18",0
"2012-01-19",0
"2012-01-20",0
"2012-01-21",0
"2012-01-22",0
"2012-01-23",0
"2012-01-24",0
"2012-01-25",0
"2012-01-26",0
"2012-01-27",0
"2012-01-28",5.9475
"2012-01-29",0
"2012-01-30",0
"2012-01-31",0
"2012-02-01",0
"2012-02-02",0
"2012-02-03",2.1543
"2012-02-04",8.0861
"2012-02-05",11.635
"2012-02-06",0.7758
"2012-02-07",18.6528
"2012-02-08",0.1201
"2012-02-09",0
"2012-02-10",11.1976
"2012-02-11",0.8663
"2012-02-12",0
"2012-02-13",0.1891
"2012-02-14",26.7613
"2012-02-15",14.8494
"2012-02-16",17.2088
"2012-02-17",10.1389
"2012-02-18",0.3109
"2012-02-19",0.1509
"2012-02-20",0
"2012-02-21",0
"2012-02-22",4.0855
"2012-02-23",0
"2012-02-24",0
"2012-02-25",0
"2012-02-26",0
"2012-02-27",14.2318
"2012-02-28",10.3205
"2012-02-29",1.5099
"2012-03-01",5.9174
"2012-03-02",0
"2012-03-03",0
"2012-03-04",0
"2012-03-05",0.7995
"2012-03-06",0
"2012-03-07",8.0368
"2012-03-08",0
"2012-03-09",0
"2012-03-10",17.8734
"2012-03-11",3.4541
"2012-03-12",19.734
"2012-03-13",38.4525
"2012-03-14",20.6714
"2012-03-15",11.6034
"2012-03-16",21.5158
"2012-03-17",7.5897
"2012-03-18",0
"2012-03-19",0.2587
"2012-03-20",0
"2012-03-21",0
"2012-03-22",0
"2012-03-23",0
"2012-03-24",0
"2012-03-25",0
"2012-03-26",0
"2012-03-27",3.0738
"2012-03-28",9.9203
"2012-03-29",8.7897
"2012-03-30",9.0265
"2012-03-31",0
"2012-04-01",0
"2012-04-02",0
"2012-04-03",0
"2012-04-04",0
"2012-04-05",0
"2012-04-06",0
"2012-04-07",1.1181
"2012-04-08",7.725
"2012-04-09",17.896
"2012-04-10",20.1353
"2012-04-11",16.2164
"2012-04-12",44.4865
"2012-04-13",3.0554
"2012-04-14",54.5731
"2012-04-15",42.322
"2012-04-16",28.1334
"2012-04-17",18.2456
"2012-04-18",17.4001
"2012-04-19",8.6614
"2012-04-20",21.3381
"2012-04-21",26.4206
"2012-04-22",11.1229
"2012-04-23",61.9185
"2012-04-24",33.0689
"2012-04-25",0
"2012-04-26",1.2757
"2012-04-27",0
"2012-04-28",8.981
"2012-04-29",10.8882
"2012-04-30",23.8794
"2012-05-01",0
"2012-05-02",0
"2012-05-03",0
"2012-05-04",0
"2012-05-05",0
"2012-05-06",0
"2012-05-07",0
"2012-05-08",0
"2012-05-09",0.7026
"2012-05-10",0
"2012-05-11",0
"2012-05-12",0
"2012-05-13",0
"2012-05-14",0
"2012-05-15",0
"2012-05-16",0
"2012-05-17",0
"2012-05-18",0.3549
"2012-05-19",1.1715
"2012-05-20",0.0904
"2012-05-21",0
"2012-05-22",0
"2012-05-23",21.9444
"2012-05-24",39.8702
"2012-05-25",77.8947
"2012-05-26",26.3982
"2012-05-27",1.7927
"2012-05-28",12.9393
"2012-05-29",0.0374
"2012-05-30",9.4863
"2012-05-31",0
"2012-06-01",15.1523
"2012-06-02",0
"2012-06-03",1.3877
"2012-06-04",0
"2012-06-05",6.7152
"2012-06-06",23.9119
"2012-06-07",10.4812
"2012-06-08",0.9123
"2012-06-09",14.02
"2012-06-10",3.8299
"2012-06-11",8.0196
"2012-06-12",7.5487
"2012-06-13",6.5246
"2012-06-14",0
"2012-06-15",1.5455
"2012-06-16",0
"2012-06-17",13.4318
"2012-06-18",15.5403
"2012-06-19",0
"2012-06-20",0.1543
"2012-06-21",14.8584
"2012-06-22",0
"2012-06-23",7.6948
"2012-06-24",6.1858
"2012-06-25",9.4246
"2012-06-26",3.7683
"2012-06-27",7.5534
"2012-06-28",0
"2012-06-29",0
"2012-06-30",20.0297
"2012-07-01",25.8977
"2012-07-02",21.9919
"2012-07-03",0
"2012-07-04",2.8271
"2012-07-05",0
"2012-07-06",0
"2012-07-07",1.2936
"2012-07-08",30.0698
"2012-07-09",5.3566
"2012-07-10",0
"2012-07-11",0
"2012-07-12",0.0865
"2012-07-13",21.122
"2012-07-14",33.6003
"2012-07-15",19.7621
"2012-07-16",3.2893
"2012-07-17",4.9822
"2012-07-18",0
"2012-07-19",0
"2012-07-20",0
"2012-07-21",1.9448
"2012-07-22",0
"2012-07-23",2.0035
"2012-07-24",0
"2012-07-25",0
"2012-07-26",0
"2012-07-27",0
"2012-07-28",0
"2012-07-29",0
"2012-07-30",0
"2012-07-31",0
"2012-08-01",0
"2012-08-02",0
"2012-08-03",0
"2012-08-04",4.7375
"2012-08-05",12.2272
"2012-08-06",0.4219
"2012-08-07",0
"2012-08-08",0
"2012-08-09",0.1044
"2012-08-10",15.8164
"2012-08-11",0.9314
"2012-08-12",4.101
"2012-08-13",0.2869
"2012-08-14",0
"2012-08-15",0
"2012-08-16",26.4259
"2012-08-17",25.4125
"2012-08-18",0
"2012-08-19",0
"2012-08-20",0
"2012-08-21",2.3876
"2012-08-22",0
"2012-08-23",0
"2012-08-24",12.2823
"2012-08-25",13.3697
"2012-08-26",0
"2012-08-27",20.8339
"2012-08-28",3.3448
"2012-08-29",59.9577
"2012-08-30",11.6657
"2012-08-31",30.8299
"2012-09-01",1.3685
"2012-09-02",29.6838
"2012-09-03",35.242
"2012-09-04",12.7619
"2012-09-05",0
"2012-09-06",0.0331
"2012-09-07",34.5185
"2012-09-08",14.9191
"2012-09-09",13.9346
"2012-09-10",12.2556
"2012-09-11",0
"2012-09-12",0.1574
"2012-09-13",4.6933
"2012-09-14",5.6637
"2012-09-15",5.399
"2012-09-16",19.8979
"2012-09-17",5.7344
"2012-09-18",8.5902
"2012-09-19",0
"2012-09-20",14.4816
"2012-09-21",2.3769
"2012-09-22",53.3926
"2012-09-23",0.322
"2012-09-24",31.5252
"2012-09-25",17.2066
"2012-09-26",0
"2012-09-27",9.1192
"2012-09-28",7.7981
"2012-09-29",0
"2012-09-30",0
"2012-10-01",0.0898
"2012-10-02",0
"2012-10-03",0
"2012-10-04",0
"2012-10-05",0
"2012-10-06",6.4702
"2012-10-07",9.234
"2012-10-08",9.797
"2012-10-09",40.7583
"2012-10-10",9.4601
"2012-10-11",10.0985
"2012-10-12",0.1724
"2012-10-13",5.6453
"2012-10-14",21.0603
"2012-10-15",15.0546
"2012-10-16",30.225
"2012-10-17",22.8438
"2012-10-18",27.2979
"2012-10-19",14.9211
"2012-10-20",22.4288
"2012-10-21",32.8503
"2012-10-22",26.5625
"2012-10-23",27.1535
"2012-10-24",10.8293
"2012-10-25",10.4776
"2012-10-26",13.3352
"2012-10-27",25.2746
"2012-10-28",45.6718
"2012-10-29",58.872
"2012-10-30",52.4776
"2012-10-31",40.0338
"2012-11-01",40.611
"2012-11-02",3.1592
"2012-11-03",8.4285
"2012-11-04",5.3695
"2012-11-05",9.6249
"2012-11-06",15.7799
"2012-11-07",13.657
"2012-11-08",8.3898
"2012-11-09",16.1779
"2012-11-10",18.7982
"2012-11-11",10.9769
"2012-11-12",15.7247
"2012-11-13",14.9003
"2012-11-14",1.5792
"2012-11-15",12.5587
"2012-11-16",9.6725
"2012-11-17",0.0417
"2012-11-18",0.0065
"2012-11-19",0
"2012-11-20",8.571
"2012-11-21",7.701
"2012-11-22",7.2949
"2012-11-23",25.433
"2012-11-24",29.4097
"2012-11-25",20.3119
"2012-11-26",24.8776
"2012-11-27",16.8
"2012-11-28",7.2777
"2012-11-29",19.2561
"2012-11-30",13.0479
"2012-12-01",0
"2012-12-02",0
"2012-12-03",0
"2012-12-04",0
"2012-12-05",0
"2012-12-06",11.2387
"2012-12-07",0
"2012-12-08",6.9062
"2012-12-09",3.5962
"2012-12-10",0
"2012-12-11",0
"2012-12-12",0.1318
"2012-12-13",0
"2012-12-14",0.1031
"2012-12-15",12.1416
"2012-12-16",22.3735
"2012-12-17",78.7917
"2012-12-18",33.6959
"2012-12-19",30.3235
"2012-12-20",9.7736
"2012-12-21",5.3046
"2012-12-22",22.6218
"2012-12-23",19.0155
"2012-12-24",0.2001
"2012-12-25",28.2054
"2012-12-26",17.8387
"2012-12-27",17.5339
"2012-12-28",1.3919
"2012-12-29",12.4543
"2012-12-30",6.9824
"2012-12-31",1.8741
"2013-01-01",1.8196
"2013-01-02",4.619
"2013-01-03",8.6553
"2013-01-04",4.5842
"2013-01-05",6.8954
"2013-01-06",7.7597
"2013-01-07",30.6451
"2013-01-08",0.1653
"2013-01-09",7.0278
"2013-01-10",26.5368
"2013-01-11",11.3291
"2013-01-12",0.9499
"2013-01-13",1.1865
"2013-01-14",0
"2013-01-15",0
"2013-01-16",0
"2013-01-17",0
"2013-01-18",0
"2013-01-19",0
"2013-01-20",3.7885
"2013-01-21",0
"2013-01-22",0
"2013-01-23",0.1454
"2013-01-24",14.3157
"2013-01-25",1.4304
"2013-01-26",0
"2013-01-27",0
"2013-01-28",0
"2013-01-29",0
"2013-01-30",0
"2013-01-31",0
"2013-02-01",0
"2013-02-02",0
"2013-02-03",0
"2013-02-04",6.436
"2013-02-05",0.6897
"2013-02-06",30.8254
"2013-02-07",25.4607
"2013-02-08",6.3371
"2013-02-09",19.846
"2013-02-10",7.8987
"2013-02-11",14.2812
"2013-02-12",21.5641
"2013-02-13",43.908
"2013-02-14",9.6179
"2013-02-15",7.2445
"2013-02-16",4.5462
"2013-02-17",4.7078
"2013-02-18",8.2783
"2013-02-19",17.5143
"2013-02-20",12.4501
"2013-02-21",6.4355
"2013-02-22",0.0538
"2013-02-23",0
"2013-02-24",0
"2013-02-25",0
"2013-02-26",0
"2013-02-27",0
"2013-02-28",0.0951
"2013-03-01",0
"2013-03-02",12.4236
"2013-03-03",5.2031
"2013-03-04",19.0542
"2013-03-05",0
"2013-03-06",6.0575
"2013-03-07",14.031
"2013-03-08",9.7081
"2013-03-09",3.3839
"2013-03-10",4.3375
"2013-03-11",2.5445
"2013-03-12",0
"2013-03-13",0
"2013-03-14",0.5945
"2013-03-15",6.2513
"2013-03-16",3.339
"2013-03-17",11.6382
"2013-03-18",16.3612
"2013-03-19",10.1681
"2013-03-20",0
"2013-03-21",5.2624
"2013-03-22",3.6889
"2013-03-23",8.3443
"2013-03-24",35.7811
"2013-03-25",18.5696
"2013-03-26",29.2634
"2013-03-27",10.1948
"2013-03-28",4.7276
"2013-03-29",18.1768
"2013-03-30",0.0268
"2013-03-31",2.1671
"2013-04-01",0.1983
"2013-04-02",5.9294
"2013-04-03",0
"2013-04-04",12.7486
"2013-04-05",4.2215
"2013-04-06",0
"2013-04-07",0
"2013-04-08",2.178
"2013-04-09",14.47
"2013-04-10",13.2972
"2013-04-11",0
"2013-04-12",12.5354
"2013-04-13",18.3376
"2013-04-14",8.0328
"2013-04-15",22.6707
"2013-04-16",0.0027
"2013-04-17",0
"2013-04-18",0
"2013-04-19",0
