,"(mm) Precipitation (CHIRPS) at Matale, 2007-01-01 to 2025-12-31"
"2010-03-19",0
"2010-03-20",0
"2010-03-21",0.5457
"2010-03-22",0
"2010-03-23",4.0813
"2010-03-24",13.2914
"2010-03-25",0
"2010-03-26",12.9518
"2010-03-27",27.8578
"2010-03-28",3.5203
"2010-03-29",10.4284
"2010-03-30",19.3791
"2010-03-31",0
"2010-04-01",0
"2010-04-02",0
"2010-04-03",0
"2010-04-04",3.116
"2010-04-05",10.1138
"2010-04-06",1.1842
"2010-04-07",6.2306
"2010-04-08",4.3611
"2010-04-09",3.583
"2010-04-10",6.3629
"2010-04-11",1.7729
"2010-04-12",5.6399
"2010-04-13",0.9348
"2010-04-14",3.4379
"2010-04-15",0.2524
"2010-04-16",15.3802
"2010-04-17",16.862
"2010-04-18",15.0432
"2010-04-19",4.9672
"2010-04-20",0.1812
"2010-04-21",1.8059
"2010-04-22",2.1048
"2010-04-23",12.456
"2010-04-24",10.797
"2010-04-25",8.1123
"2010-04-26",18.6566
"2010-04-27",14.6926
"2010-04-28",14.9205
"2010-04-29",19.5969
"2010-04-30",25.697
"2010-05-01",4.0624
"2010-05-02",12.0349
"2010-05-03",10.5311
"2010-05-04",0.4238
"2010-05-05",0.0949
"2010-05-06",12.8462
"2010-05-07",8.2623
"2010-05-08",13.7132
"2010-05-09",5.621
"2010-05-10",8.4157
"2010-05-11",5.6333
"2010-05-12",0.12
"2010-05-13",0.2942
"2010-05-14",4.5865
"2010-05-15",0.4699
"2010-05-16",0.7704
"2010-05-17",16.6062
"2010-05-18",0.8021
"2010-05-19",9.8861
"2010-05-20",10.5041
"2010-05-21",2.8783
"2010-05-22",13.6743
"2010-05-23",1.8479
"2010-05-24",4.5667
"2010-05-25",0.3738
"2010-05-26",0
"2010-05-27",0
"2010-05-28",0
"2010-05-29",0
"2010-05-30",0.7525
"2010-05-31",0
"2010-06-01",0
"2010-06-02",0
"2010-06-03",0
"2010-06-04",0.9381
"2010-06-05",8.0969
"2010-06-06",0.8281
"2010-06-07",3.6403
"2010-06-08",19.1486
"2010-06-09",0.0257
"2010-06-10",3.4695
"2010-06-11",4.0645
"2010-06-12",0
"2010-06-13",3.145
"2010-06-14",0
"2010-06-15",9.2201
"2010-06-16",13.6876
"2010-06-17",11.7224
"2010-06-18",0.8351
"2010-06-19",4.0896
"2010-06-20",8.1394
"2010-06-21",7.7489
"2010-06-22",0.0852
"2010-06-23",3.8054
"2010-06-24",0.2619
"2010-06-25",0
"2010-06-26",0
"2010-06-27",0
"2010-06-28",6.4377
"2010-06-29",0.1751
"2010-06-30",0
"2010-07-01",0
"2010-07-02",0
"2010-07-03",0
"2010-07-04",0
"2010-07-05",11.8412
"2010-07-06",23.551
"2010-07-07",9.8049
"2010-07-08",10.7672
"2010-07-09",4.083
"2010-07-10",2.0427
"2010-07-11",11.8189
"2010-07-12",4.697
"2010-07-13",2.7727
"2010-07-14",1.068
"2010-07-15",1.2388
"2010-07-16",1.0582
"2010-07-17",2.8022
"2010-07-18",2.2686
"2010-07-19",9.1204
"2010-07-20",4.0142
"2010-07-21",2.0631
"2010-07-22",0.796
"2010-07-23",6.1501
"2010-07-24",0
"2010-07-25",0
"2010-07-26",0.0027
"2010-07-27",0
"2010-07-28",1.1198
"2010-07-29",3.103
"2010-07-30",10.6413
"2010-07-31",0
"2010-08-01",0
"2010-08-02",2.6468
"2010-08-03",0.7738
"2010-08-04",0
"2010-08-05",0
"2010-08-06",0
"2010-08-07",0
"2010-08-08",0
"2010-08-09",0.1215
"2010-08-10",0.42
"2010-08-11",1.2705
"2010-08-12",10.6778
"2010-08-13",3.9663
"2010-08-14",13.3487
"2010-08-15",3.7048
"2010-08-16",0
"2010-08-17",0
"2010-08-18",0.3067
"2010-08-19",22.4362
"2010-08-20",23.4689
"2010-08-21",23.94
"2010-08-22",0.1163
"2010-08-23",1.5619
"2010-08-24",17.0037
"2010-08-25",1.0153
"2010-08-26",6.7263
"2010-08-27",0
"2010-08-28",0
"2010-08-29",15.862
"2010-08-30",0.6181
"2010-08-31",0
"2010-09-01",0
"2010-09-02",2.4289
"2010-09-03",11.4805
"2010-09-04",0
"2010-09-05",0
"2010-09-06",0
"2010-09-07",0
"2010-09-08",2.3979
"2010-09-09",4.7235
"2010-09-10",12.2015
"2010-09-11",9.1654
"2010-09-12",5.6377
"2010-09-13",10.7223
"2010-09-14",6.0664
"2010-09-15",0
"2010-09-16",0
"2010-09-17",0
"2010-09-18",0
"2010-09-19",16.7327
"2010-09-20",8.5488
"2010-09-21",15.07
"2010-09-22",12.646
"2010-09-23",13.0152
"2010-09-24",2.6728
"2010-09-25",4.5806
"2010-09-26",20.658
"2010-09-27",19.5233
"2010-09-28",28.5056
"2010-09-29",36.5098
"2010-09-30",30.5855
"2010-10-01",38.5015
"2010-10-02",39.7822
"2010-10-03",22.6019
"2010-10-04",0
"2010-10-05",1.4921
"2010-10-06",0
"2010-10-07",0
"2010-10-08",0
"2010-10-09",0
"2010-10-10",22.5596
"2010-10-11",0
"2010-10-12",5.1171
"2010-10-13",0
"2010-10-14",0
"2010-10-15",0
"2010-10-16",0
"2010-10-17",0
"2010-10-18",0
"2010-10-19",3.0175
"2010-10-20",0.3659
"2010-10-21",0.2497
"2010-10-22",0
"2010-10-23",0
"2010-10-24",0
"2010-10-25",2.1528
"2010-10-26",2.7157
"2010-10-27",15.7581
"2010-10-28",23.5139
"2010-10-29",11.898
"2010-10-30",11.8228
"2010-10-31",10.9351
"2010-11-01",2.8848
"2010-11-02",0
"2010-11-03",8.0684
"2010-11-04",14.4334
"2010-11-05",24.6643
"2010-11-06",46.3072
"2010-11-07",16.395
"2010-11-08",4.7768
"2010-11-09",0.8846
"2010-11-10",0.5435
"2010-11-11",0.3324
"2010-11-12",0.599
"2010-11-13",0
"2010-11-14",0
"2010-11-15",0
"2010-11-16",2.9336
"2010-11-17",11.0683
"2010-11-18",7.566
"2010-11-19",49.3575
"2010-11-20",48.4826
"2010-11-21",24.9701
"2010-11-22",33.5442
"2010-11-23",24.0206
"2010-11-24",57.6001
"2010-11-25",8.86
"2010-11-26",19.9533
"2010-11-27",17.3928
"2010-11-28",13.5166
"2010-11-29",7.7805
"2010-11-30",45.7201
"2010-12-01",46.5393
"2010-12-02",39.5631
"2010-12-03",80.0638
"2010-12-04",31.2719
"2010-12-05",28.3575
"2010-12-06",0
"2010-12-07",0.802
"2010-12-08",0
"2010-12-09",7.4006
"2010-12-10",0
"2010-12-11",0
"2010-12-12",3.106
"2010-12-13",0
"2010-12-14",0.0169
"2010-12-15",0
"2010-12-16",0
"2010-12-17",0
"2010-12-18",2.5296
"2010-12-19",0
"2010-12-20",13.3764
"2010-12-21",26.7222
"2010-12-22",82.484
"2010-12-23",61.4214
"2010-12-24",27.6052
"2010-12-25",30.1139
"2010-12-26",9.1171
"2010-12-27",9.5955
"2010-12-28",17.1343
"2010-12-29",16.524
"2010-12-30",25.8354
"2010-12-31",9.4503
"2011-01-01",1.8735
"2011-01-02",9.5722
"2011-01-03",25.8557
"2011-01-04",23.2474
"2011-01-05",9.9226
"2011-01-06",10.3502
"2011-01-07",23.5089
"2011-01-08",36.1184
"2011-01-09",78.8239
"2011-01-10",56.6894
"2011-01-11",37.0838
"2011-01-12",49.8918
"2011-01-13",5.9929
"2011-01-14",11.3003
"2011-01-15",0
"2011-01-16",0.1721
"2011-01-17",0
"2011-01-18",0.0531
"2011-01-19",0
"2011-01-20",0
"2011-01-21",0
"2011-01-22",0
"2011-01-23",0
"2011-01-24",0
"2011-01-25",0
"2011-01-26",60.8448
"2011-01-27",1.2606
"2011-01-28",46.8249
"2011-01-29",10.6693
"2011-01-30",9.766
"2011-01-31",9.4328
"2011-02-01",55.1385
"2011-02-02",64.9413
"2011-02-03",47.5634
"2011-02-04",27.4734
"2011-02-05",1.4129
"2011-02-06",33.317
"2011-02-07",71.6056
"2011-02-08",25.0962
"2011-02-09",0.5679
"2011-02-10",0.2065
"2011-02-11",0
"2011-02-12",1.4038
"2011-02-13",0
"2011-02-14",0
"2011-02-15",0.0064
"2011-02-16",0
"2011-02-17",0
"2011-02-18",0
"2011-02-19",0
"2011-02-20",10.8533
"2011-02-21",25.7417
"2011-02-22",0
"2011-02-23",0
"2011-02-24",0
"2011-02-25",0
"2011-02-26",3.0196
"2011-02-27",21.4198
"2011-02-28",1.7595
"2011-03-01",3.4042
"2011-03-02",0
"2011-03-03",10.9043
"2011-03-04",5.361
"2011-03-05",0.8646
"2011-03-06",0
"2011-03-07",0
"2011-03-08",0
"2011-03-09",0
"2011-03-10",0
"2011-03-11",0
"2011-03-12",6.0234
"2011-03-13",10.2282
"2011-03-14",0.6384
"2011-03-15",0.5191
"2011-03-16",0.2226
"2011-03-17",0
"2011-03-18",0
"2011-03-19",2.7085
"2011-03-20",7.4667
"2011-03-21",7.0241
"2011-03-22",8.2917
"2011-03-23",7.1979
"2011-03-24",7.4537
"2011-03-25",7.9293
"2011-03-26",4.8716
"2011-03-27",4.698
"2011-03-28",2.3975
"2011-03-29",0
"2011-03-30",0.2967
"2011-03-31",0
"2011-04-01",0
"2011-04-02",0
"2011-04-03",0
"2011-04-04",0
"2011-04-05",0
"2011-04-06",0
"2011-04-07",0
"2011-04-08",14.9562
"2011-04-09",16.282
"2011-04-10",14.5673
"2011-04-11",14.381
"2011-04-12",15.8548
"2011-04-13",11.5961
"2011-04-14",9.9768
"2011-04-15",11.5897
"2011-04-16",21.6954
"2011-04-17",35.1263
"2011-04-18",27.1022
"2011-04-19",34.5279
"2011-04-20",23.5057
"2011-04-21",25.5311
"2011-04-22",16.1592
"2011-04-23",16.3614
"2011-04-24",26.4399
"2011-04-25",17.2708
"2011-04-26",14.1107
"2011-04-27",23.3313
"2011-04-28",20.1994
"2011-04-29",1.1785
"2011-04-30",9.6979
"2011-05-01",16.7757
"2011-05-02",6.7297
"2011-05-03",0.805
"2011-05-04",3.4742
"2011-05-05",0.3661
"2011-05-06",0
"2011-05-07",0
"2011-05-08",0
"2011-05-09",0
"2011-05-10",0
"2011-05-11",0.0855
"2011-05-12",0
"2011-05-13",10.4082
"2011-05-14",0
"2011-05-15",1.0794
"2011-05-16",0
"2011-05-17",0.7469
"2011-05-18",3.6926
"2011-05-19",0
"2011-05-20",3.27
"2011-05-21",12.3059
"2011-05-22",0.3132
"2011-05-23",10.7044
"2011-05-24",11.5413
"2011-05-25",2.473
"2011-05-26",9.8463
"2011-05-27",0.3848
"2011-05-28",1.4391
"2011-05-29",0
"2011-05-30",0
"2011-05-31",0
"2011-06-01",2.0762
"2011-06-02",8.1344
"2011-06-03",0
"2011-06-04",1.4389
"2011-06-05",1.3309
"2011-06-06",1.0938
"2011-06-07",3.3057
"2011-06-08",0
"2011-06-09",0.2344
"2011-06-10",0
"2011-06-11",0.0209
"2011-06-12",0
"2011-06-13",0
"2011-06-14",0.3972
"2011-06-15",0.1442
"2011-06-16",0
"2011-06-17",0.1199
"2011-06-18",0
"2011-06-19",0
"2011-06-20",0
"2011-06-21",0
"2011-06-22",0
"2011-06-23",0
"2011-06-24",0
"2011-06-25",0.0717
"2011-06-26",0
"2011-06-27",0.6977
"2011-06-28",0.1692
"2011-06-29",2.4854
"2011-06-30",0
"2011-07-01",3.1
"2011-07-02",0.0443
"2011-07-03",0.0344
"2011-07-04",0
"2011-07-05",0.0002
"2011-07-06",0.5073
"2011-07-07",0.9256
"2011-07-08",8.9321
"2011-07-09",4.6499
"2011-07-10",1.4718
"2011-07-11",3.3923
"2011-07-12",2.1164
"2011-07-13",0.6426
"2011-07-14",0
"2011-07-15",0
"2011-07-16",0
"2011-07-17",0.1365
"2011-07-18",0
"2011-07-19",0
"2011-07-20",0.1749
"2011-07-21",0
"2011-07-22",1.341
"2011-07-23",2.5945
"2011-07-24",0.0265
"2011-07-25",19.688
"2011-07-26",0.0585
"2011-07-27",0
"2011-07-28",0.3271
"2011-07-29",0.1528
"2011-07-30",0.1708
"2011-07-31",0
"2011-08-01",0.0308
"2011-08-02",0
"2011-08-03",1.2282
"2011-08-04",0
"2011-08-05",4.0296
"2011-08-06",0.048
"2011-08-07",0
"2011-08-08",0.1539
"2011-08-09",0.8811
"2011-08-10",4.2067
"2011-08-11",0
"2011-08-12",0.1452
"2011-08-13",2.779
"2011-08-14",10.4368
"2011-08-15",6.2808
"2011-08-16",3.1801
"2011-08-17",9.5383
"2011-08-18",0.7105
"2011-08-19",0.2529
"2011-08-20",0
"2011-08-21",0
"2011-08-22",9.1104
"2011-08-23",5.4802
"2011-08-24",0
"2011-08-25",1.3134
"2011-08-26",1.2327
"2011-08-27",11.5137
"2011-08-28",0
"2011-08-29",0
"2011-08-30",0
"2011-08-31",0
"2011-09-01",0
"2011-09-02",0
"2011-09-03",0
"2011-09-04",0.1535
"2011-09-05",0
"2011-09-06",10.7713
"2011-09-07",0.445
"2011-09-08",6.1044
"2011-09-09",8.9232
"2011-09-10",8.6056
"2011-09-11",1.5878
"2011-09-12",35.5504
"2011-09-13",0
"2011-09-14",18.8525
"2011-09-15",0
"2011-09-16",0.7816
"2011-09-17",0.6459
"2011-09-18",0
"2011-09-19",1.0646
"2011-09-20",0
"2011-09-21",0.4288
"2011-09-22",2.0333
"2011-09-23",0
"2011-09-24",0
"2011-09-25",0
"2011-09-26",1.3891
"2011-09-27",1.0478
"2011-09-28",0.4859
"2011-09-29",2.7351
"2011-09-30",7.1165
"2011-10-01",5.6461
"2011-10-02",0
"2011-10-03",0.4798
"2011-10-04",13.6912
"2011-10-05",14.5158
"2011-10-06",6.3544
"2011-10-07",1.3005
"2011-10-08",1.0763
"2011-10-09",7.9526
"2011-10-10",1.3301
"2011-10-11",7.4821
"2011-10-12",12.1413
"2011-10-13",10.4305
"2011-10-14",15.7308
"2011-10-15",14.2592
"2011-10-16",8.9685
"2011-10-17",4.1844
"2011-10-18",9.327
"2011-10-19",14.6354
"2011-10-20",6.5288
"2011-10-21",13.3882
"2011-10-22",8.4121
"2011-10-23",22.089
"2011-10-24",29.2804
"2011-10-25",29.6203
"2011-10-26",18.2253
"2011-10-27",3.9078
"2011-10-28",41.9241
"2011-10-29",27.383
"2011-10-30",16.4117
"2011-10-31",11.189
"2011-11-01",11.4897
"2011-11-02",9.7879
"2011-11-03",5.4679
"2011-11-04",3.9449
"2011-11-05",2.2625
"2011-11-06",12.9691
"2011-11-07",3.6558
"2011-11-08",0
"2011-11-09",0
"2011-11-10",0.3396
"2011-11-11",0.1537
"2011-11-12",0
"2011-11-13",0
"2011-11-14",0
"2011-11-15",0
"2011-11-16",0
"2011-11-17",14.7784
"2011-11-18",10.8322
"2011-11-19",17.138
"2011-11-20",26.2794
"2011-11-21",31.563
"2011-11-22",3.5675
"2011-11-23",26.4827
"2011-11-24",39.8671
"2011-11-25",52.0327
"2011-11-26",24.6824
"2011-11-27",12.919
"2011-11-28",5.9459
"2011-11-29",1.6871
"2011-11-30",13.2066
"2011-12-01",22.5474
"2011-12-02",0
"2011-12-03",0
"2011-12-04",0
"2011-12-05",0
"2011-12-06",0
"2011-12-07",0
"2011-12-08",0
"2011-12-09",4.2738
"2011-12-10",0.0011
"2011-12-11",20.0087
"2011-12-12",9.1275
"2011-12-13",21.1759
"2011-12-14",3.2274
"2011-12-15",3.9028
"2011-12-16",0
"2011-12-17",0.7765
"2011-12-18",7.3071
"2011-12-19",27.4858
"2011-12-20",27.2879
"2011-12-21",8.6167
"2011-12-22",13.0833
"2011-12-23",36.6094
"2011-12-24",1.7908
"2011-12-25",0
"2011-12-26",0.0975
"2011-12-27",13.05
"2011-12-28",12.7552
"2011-12-29",0
"2011-12-30",0
"2011-12-31",0
"2012-01-01",0
"2012-01-02",0
"2012-01-03",0
"2012-01-04",1.3199
"2012-01-05",6.5382
"2012-01-06",6.0364
"2012-01-07",29.0261
"2012-01-08",4.2632
"2012-01-09",0.4744
"2012-01-10",0
"2012-01-11",0
"2012-01-12",0
"2012-01-13",0
"2012-01-14",0
"2012-01-15",1.209
"2012-01-16",0
"2012-01-17",0
"2012-01-18",0
"2012-01-19",0
"2012-01-20",0
"2012-01-21",0
"2012-01-22",0.4992
"2012-01-23",0.094
"2012-01-24",7.7777
"2012-01-25",0
"2012-01-26",0
"2012-01-27",0
"2012-01-28",0
"2012-01-29",0
"2012-01-30",0
"2012-01-31",0
"2012-02-01",0
"2012-02-02",0.3073
"2012-02-03",12.4212
"2012-02-04",0.0097
"2012-02-05",18.6356
"2012-02-06",6.2392
"2012-02-07",12.1089
"2012-02-08",13.8777
"2012-02-09",28.9494
"2012-02-10",17.8478
"2012-02-11",0
"2012-02-12",0
"2012-02-13",0
"2012-02-14",31.9475
"2012-02-15",22.2502
"2012-02-16",10.342
"2012-02-17",0.0056
"2012-02-18",0
"2012-02-19",0
"2012-02-20",0
"2012-02-21",0
"2012-02-22",0.8708
"2012-02-23",0.0052
"2012-02-24",0.3472
"2012-02-25",0
"2012-02-26",0
"2012-02-27",0.091
"2012-02-28",18.4285
"2012-02-29",0
"2012-03-01",0
"2012-03-02",0
"2012-03-03",0
"2012-03-04",0
"2012-03-05",0
"2012-03-06",0
"2012-03-07",0.087
"2012-03-08",0
"2012-03-09",0
"2012-03-10",0
"2012-03-11",1.0218
"2012-03-12",0.1001
"2012-03-13",0
"2012-03-14",0.9078
"2012-03-15",9.8787
"2012-03-16",0.8483
"2012-03-17",0
"2012-03-18",0
"2012-03-19",0
"2012-03-20",0
"2012-03-21",0
"2012-03-22",0
"2012-03-23",0
"2012-03-24",0
"2012-03-25",0
"2012-03-26",0.102
"2012-03-27",16.8085
"2012-03-28",19.7179
"2012-03-29",21.3365
"2012-03-30",0
"2012-03-31",9.306
"2012-04-01",9.4576
"2012-04-02",3.5094
"2012-04-03",4.9715
"2012-04-04",8.9933
"2012-04-05",0
"2012-04-06",0
"2012-04-07",2.6189
"2012-04-08",15.8052
"2012-04-09",15.625
"2012-04-10",15.2166
"2012-04-11",8.0227
"2012-04-12",12.6848
"2012-04-13",3.9582
"2012-04-14",14.059
"2012-04-15",16.3982
"2012-04-16",9.3464
"2012-04-17",8.3678
"2012-04-18",3.9001
"2012-04-19",9.4541
"2012-04-20",0
"2012-04-21",0.2849
"2012-04-22",12.721
"2012-04-23",8.3095
"2012-04-24",10.7663
"2012-04-25",1.816
"2012-04-26",5.5919
"2012-04-27",0.3338
"2012-04-28",0.1113
"2012-04-29",0.3499
"2012-04-30",4.6134
"2012-05-01",0
"2012-05-02",0
"2012-05-03",0
"2012-05-04",0
"2012-05-05",0
"2012-05-06",0
"2012-05-07",7.4761
"2012-05-08",0
"2012-05-09",4.5439
"2012-05-10",0
"2012-05-11",0.0196
"2012-05-12",0.3393
"2012-05-13",0
"2012-05-14",0.7407
"2012-05-15",0
"2012-05-16",0
"2012-05-17",0
"2012-05-18",0
"2012-05-19",0
"2012-05-20",0
"2012-05-21",0.9668
"2012-05-22",0
"2012-05-23",0
"2012-05-24",0.6469
"2012-05-25",0.9642
"2012-05-26",2.8346
"2012-05-27",1.2536
"2012-05-28",0
"2012-05-29",0.0667
"2012-05-30",0.6517
"2012-05-31",0
"2012-06-01",0
"2012-06-02",0
"2012-06-03",0
"2012-06-04",0
"2012-06-05",0
"2012-06-06",2.3992
"2012-06-07",0.3889
"2012-06-08",0
"2012-06-09",0.1827
"2012-06-10",0.1446
"2012-06-11",0.2222
"2012-06-12",1.3505
"2012-06-13",0
"2012-06-14",0
"2012-06-15",0
"2012-06-16",0
"2012-06-17",6.7723
"2012-06-18",7.6343
"2012-06-19",0
"2012-06-20",0
"2012-06-21",2.5784
"2012-06-22",0
"2012-06-23",1.3785
"2012-06-24",2.5367
"2012-06-25",5.9682
"2012-06-26",0
"2012-06-27",5.9775
"2012-06-28",0
"2012-06-29",0
"2012-06-30",0.1651
"2012-07-01",1.6408
"2012-07-02",3.6515
"2012-07-03",0.6953
"2012-07-04",0
"2012-07-05",0
"2012-07-06",0
"2012-07-07",0
"2012-07-08",1.5754
"2012-07-09",0.6303
"2012-07-10",0
"2012-07-11",0
"2012-07-12",10.9203
"2012-07-13",12.2269
"2012-07-14",16.1864
"2012-07-15",15.8507
"2012-07-16",4.3944
"2012-07-17",1.5045
"2012-07-18",0.1775
"2012-07-19",0
"2012-07-20",0.0226
"2012-07-21",0
"2012-07-22",0
"2012-07-23",0
"2012-07-24",0
"2012-07-25",0
"2012-07-26",0
"2012-07-27",0
"2012-07-28",0
"2012-07-29",0
"2012-07-30",0.0005
"2012-07-31",0
"2012-08-01",0
"2012-08-02",0
"2012-08-03",0.8973
"2012-08-04",2.2376
"2012-08-05",4.8484
"2012-08-06",0
"2012-08-07",0.4822
"2012-08-08",0
"2012-08-09",0.1288
"2012-08-10",0
"2012-08-11",1.1117
"2012-08-12",4.2241
"2012-08-13",2.5918
"2012-08-14",6.5795
"2012-08-15",6.6157
"2012-08-16",0.0697
"2012-08-17",0
"2012-08-18",0
"2012-08-19",0
"2012-08-20",0
"2012-08-21",0.0253
"2012-08-22",0.204
"2012-08-23",3.5971
"2012-08-24",4.8895
"2012-08-25",1.7011
"2012-08-26",0
"2012-08-27",2.0216
"2012-08-28",0.7414
"2012-08-29",9.7707
"2012-08-30",0
"2012-08-31",0
"2012-09-01",10.8473
"2012-09-02",0.1102
"2012-09-03",0.4541
"2012-09-04",9.0369
"2012-09-05",0
"2012-09-06",0
"2012-09-07",10.3204
"2012-09-08",9.247
"2012-09-09",0
"2012-09-10",0.7472
"2012-09-11",0
"2012-09-12",0.9277
"2012-09-13",0
"2012-09-14",0
"2012-09-15",0
"2012-09-16",4.1426
"2012-09-17",0.017
"2012-09-18",2.3474
"2012-09-19",3.3005
"2012-09-20",9.3695
"2012-09-21",4.8413
"2012-09-22",6.3054
"2012-09-23",1.7364
"2012-09-24",5.8292
"2012-09-25",11.8577
"2012-09-26",3.5361
"2012-09-27",12.6122
"2012-09-28",3.715
"2012-09-29",0.0288
"2012-09-30",0
"2012-10-01",0
"2012-10-02",0
"2012-10-03",1.2716
"2012-10-04",0
"2012-10-05",0
"2012-10-06",0.2044
"2012-10-07",7.7308
"2012-10-08",19.3854
"2012-10-09",15.7934
"2012-10-10",18.6209
"2012-10-11",12.8525
"2012-10-12",22.2745
"2012-10-13",28.7953
"2012-10-14",27.7384
"2012-10-15",18.43
"2012-10-16",35.4724
"2012-10-17",24.2844
"2012-10-18",19.2195
"2012-10-19",32.8913
"2012-10-20",24.3068
"2012-10-21",7.0629
"2012-10-22",19.2836
"2012-10-23",25.5693
"2012-10-24",7.7376
"2012-10-25",0.1019
"2012-10-26",5.8616
"2012-10-27",10.589
"2012-10-28",28.8421
"2012-10-29",55.8572
"2012-10-30",55.0928
"2012-10-31",38.4412
"2012-11-01",22.562
"2012-11-02",0.0511
"2012-11-03",6.4138
"2012-11-04",4.7558
"2012-11-05",8.9567
"2012-11-06",5.166
"2012-11-07",11.4137
"2012-11-08",23.0313
"2012-11-09",3.8954
"2012-11-10",1.6571
"2012-11-11",11.2197
"2012-11-12",9.0286
"2012-11-13",2.7151
"2012-11-14",0
"2012-11-15",20.1747
"2012-11-16",1.9203
"2012-11-17",0
"2012-11-18",0
"2012-11-19",0
"2012-11-20",0
"2012-11-21",0
"2012-11-22",4.4137
"2012-11-23",9.8098
"2012-11-24",5.9654
"2012-11-25",32.5542
"2012-11-26",50.4319
"2012-11-27",27.0424
"2012-11-28",1.0315
"2012-11-29",6.3794
"2012-11-30",0
"2012-12-01",0
"2012-12-02",0
"2012-12-03",0.9001
"2012-12-04",0
"2012-12-05",0
"2012-12-06",38.0737
"2012-12-07",2.289
"2012-12-08",0
"2012-12-09",1.8548
"2012-12-10",0
"2012-12-11",0
"2012-12-12",0
"2012-12-13",0
"2012-12-14",0
"2012-12-15",37.6319
"2012-12-16",78.9946
"2012-12-17",121.1945
"2012-12-18",76.1635
"2012-12-19",58.0384
"2012-12-20",4.5025
"2012-12-21",31.8527
"2012-12-22",122.4903
"2012-12-23",14.032
"2012-12-24",13.7603
"2012-12-25",0.9182
"2012-12-26",50.9234
"2012-12-27",39.7633
"2012-12-28",0.4321
"2012-12-29",0
"2012-12-30",0
"2012-12-31",5.7812
"2013-01-01",19.1434
"2013-01-02",8.3137
"2013-01-03",29.3498
"2013-01-04",26.9496
"2013-01-05",26.3692
"2013-01-06",42.8152
"2013-01-07",102.1632
"2013-01-08",2.4301
"2013-01-09",6.9918
"2013-01-10",107.465
"2013-01-11",3.0328
"2013-01-12",0.0405
"2013-01-13",17.4262
"2013-01-14",0
"2013-01-15",0
"2013-01-16",0
"2013-01-17",0
"2013-01-18",0
"2013-01-19",0
"2013-01-20",0
"2013-01-21",0
"2013-01-22",0
"2013-01-23",17.299
"2013-01-24",37.2143
"2013-01-25",13.0846
"2013-01-26",0
"2013-01-27",0
"2013-01-28",0
"2013-01-29",0
"2013-01-30",0
"2013-01-31",0
"2013-02-01",0
"2013-02-02",0
"2013-02-03",0
"2013-02-04",21.0092
"2013-02-05",0.1072
"2013-02-06",22.9761
"2013-02-07",0
"2013-02-08",12.0054
"2013-02-09",13.738
"2013-02-10",0
"2013-02-11",38.5524
"2013-02-12",31.2552
"2013-02-13",50.86
"2013-02-14",18.943
"2013-02-15",5.1606
"2013-02-16",6.1816
"2013-02-17",20.8695
"2013-02-18",13.3482
"2013-02-19",0.918
"2013-02-20",0
"2013-02-21",0
"2013-02-22",0
"2013-02-23",0
"2013-02-24",0
"2013-02-25",0
"2013-02-26",0
"2013-02-27",0
"2013-02-28",0
"2013-03-01",0
"2013-03-02",0
"2013-03-03",15.2287
"2013-03-04",55.5026
"2013-03-05",6.3798
"2013-03-06",16.7572
"2013-03-07",2.2256
"2013-03-08",1.8622
"2013-03-09",7.2289
"2013-03-10",0
"2013-03-11",0
"2013-03-12",0
"2013-03-13",9.755
"2013-03-14",4.5581
"2013-03-15",29.6443
"2013-03-16",13.0038
"2013-03-17",0.0064
"2013-03-18",0.2973
"2013-03-19",0.0869
"2013-03-20",0
"2013-03-21",0.1132
"2013-03-22",0.142
"2013-03-23",17.1603
"2013-03-24",29.1518
"2013-03-25",23.5172
"2013-03-26",24.7551
"2013-03-27",11.1109
"2013-03-28",14.6192
"2013-03-29",5.7637
"2013-03-30",0
"2013-03-31",0.0343
"2013-04-01",0
"2013-04-02",0.5903
"2013-04-03",0.8625
"2013-04-04",3.4594
"2013-04-05",0.0172
"2013-04-06",0.8392
"2013-04-07",0
"2013-04-08",0
"2013-04-09",0.0055
"2013-04-10",0
"2013-04-11",2.3522
"2013-04-12",7.9461
"2013-04-13",19.1197
"2013-04-14",9.8436
"2013-04-15",9.2172
"2013-04-16",0
"2013-04-17",0
"2013-04-18",0
"2013-04-19",0
"2013-04-20",0
"2013-04-21",5.8157
"2013-04-22",6.8341
"2013-04-23",4.8847
"2013-04-24",4.9634
"2013-04-25",6.7425
"2013-04-26",3.4959
"2013-04-27",2.4999
"2013-04-28",4.4508
"2013-04-29",3.8751
"2013-04-30",0.3002
"2013-05-01",6.8948
"2013-05-02",5.8976
"2013-05-03",8.1501
"2013-05-04",3.4165
"2013-05-05",12.5347
"2013-05-06",8.871
"2013-05-07",0.2469
"2013-05-08",7.5813
"2013-05-09",0.2393
"2013-05-10",2.9806
"2013-05-11",13.5404
"2013-05-12",15.8282
"2013-05-13",19.5951
"2013-05-14",0.0159
"2013-05-15",4.0305
"2013-05-16",0
"2013-05-17",0.0139
"2013-05-18",1.888
"2013-05-19",4.0805
"2013-05-20",6.006
"2013-05-21",0.2566
"2013-05-22",0
"2013-05-23",0
"2013-05-24",0
"2013-05-25",0
"2013-05-26",0
"2013-05-27",0
"2013-05-28",2.0402
"2013-05-29",0
"2013-05-30",1.9752
"2013-05-31",16.9562
"2013-06-01",1.0524
